nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN 10 PENATOI KOTA BIMA,50204695,SD,Negeri,Kec. Mpunda,236105,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,31,6,271,14,14,0,1,60,25 Apr 2026 20:00:56,4321369E6982F5B019B5
SDN 11 MANGGEMACI KOTA BIMA,50204694,SD,Negeri,Kec. Mpunda,236105,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,39,5,403,17,18,0,1,52,28 Apr 2026 13:43:23,DFD98ACB369BD0058DF8
SDN 14 SADIA KOTA BIMA,50204691,SD,Negeri,Kec. Mpunda,236105,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,28,4,261,12,12,1,1,31,22 Apr 2026 12:04:01,C8C3CF409BA705372492
SDN 25 SANTI KOTA BIMA,50204706,SD,Negeri,Kec. Mpunda,236105,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,21,4,213,9,6,0,1,31,02 Apr 2026 14:40:48,1D14EE45F84C03E96581
SDN 32 PANGGI KOTA BIMA,50204687,SD,Negeri,Kec. Mpunda,236105,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,19,3,146,6,6,1,1,53,27 Apr 2026 10:13:12,B2D9260F2D213A072EE7
SDN 40 LEWIRATO KOTA BIMA,50204663,SD,Negeri,Kec. Mpunda,236105,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,31,3,301,13,13,0,1,33,24 Apr 2026 18:37:56,B6A7B699D8FEDD92C25B
SDN 42 MANGGEMACI KOTA BIMA,50204661,SD,Negeri,Kec. Mpunda,236105,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,25,3,211,11,10,1,1,29,28 Apr 2026 11:10:54,1306AD32F88375C966C0
SDN 44 MANDE KOTA BIMA,50204659,SD,Negeri,Kec. Mpunda,236105,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,18,3,142,7,7,0,1,14,09 Apr 2026 10:42:21,BF319D27501A02D5A72C
SDN 60 SAMBINAE KOTA BIMA,50204767,SD,Negeri,Kec. Mpunda,236105,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,16,3,158,7,7,1,1,11,17 Apr 2026 14:04:18,4B243714D674652B01FB
SDN 61 KARARA KOTA BIMA,50204753,SD,Negeri,Kec. Mpunda,236105,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,23,4,126,6,8,1,1,50,28 Apr 2026 08:10:53,F9BD60C3D3C988612178
SDN 67 RABANTALA KOTA BIMA,50204747,SD,Negeri,Kec. Mpunda,236105,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,22,7,197,10,8,0,1,35,23 Apr 2026 16:50:49,765319F232F286E7F24A
SD TAHFIDZUL QUR AN AL AMIN KOTA BIMA,70004589,SD,Swasta,Kec. Mpunda,236105,Kota Bima,236100,Prov. Nusa Tenggara Barat,230000,14,1,147,9,7,0,1,19,14 Apr 2026 21:30:35,0123F56321741BEFC388
