nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 MATARAM,50204543,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,9,5,180,6,6,0,1,23,23 Apr 2026 09:53:39,CFF543ADBC69E4E27E49
SD NEGERI 10 MATARAM,50204643,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,16,2,286,12,12,0,1,11,20 Apr 2026 16:21:25,486F922F3144B5F4D456
SD NEGERI 11 MATARAM,50204655,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,12,4,304,10,8,0,1,8,04 Mar 2026 09:11:56,37974ADF07DC2A52A7C6
SD NEGERI 13 MATARAM,50204651,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,8,3,114,6,6,0,1,24,10 Apr 2026 09:11:13,85D84F4997E2BE321A0C
SD NEGERI 14 MATARAM,50204648,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,8,4,71,6,6,0,1,20,26 Jan 2026 12:09:46,C6200468AE54051CBC55
SD NEGERI 16 MATARAM,50204609,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,9,4,186,7,8,0,1,19,23 Apr 2026 09:19:58,C570ABCEEBA815161716
SD NEGERI 17 MATARAM,50204607,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,11,5,107,6,6,0,1,7,16 Mar 2026 09:20:53,38F7AE60F8C5FA22164A
SD NEGERI 18 MATARAM,50204604,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,8,1,185,6,6,0,1,7,05 Mar 2026 10:04:51,3B3D0F1E5607E050BCAC
SD NEGERI 22 MATARAM,50204625,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,15,5,237,10,9,0,1,20,16 Apr 2026 10:19:31,2CDAA944311805C6DB67
SD NEGERI 24 MATARAM,50204619,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,9,3,97,6,6,0,1,26,29 Apr 2026 09:19:28,0E23C503872AF0A2AB53
SD NEGERI 25 MATARAM,50204616,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,9,2,68,6,6,0,1,25,24 Apr 2026 07:27:35,6497914DA8BA3C5BC312
SD NEGERI 26 MATARAM,50204613,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,10,3,211,8,9,2,1,15,04 Apr 2026 12:59:47,A3BD4B212F0E1A6750FD
SD NEGERI 29 MATARAM,50204420,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,10,2,230,7,9,0,1,9,04 Apr 2026 02:54:29,892A6C0E3AA47A37D030
SD NEGERI 3 MATARAM,50204537,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,12,3,210,7,7,0,2,18,27 Apr 2026 11:03:06,59B7953F2C95655B84BD
SD NEGERI 30 MATARAM,50204417,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,8,3,152,6,5,1,1,17,22 Apr 2026 10:32:19,10F1BF367AF15EBE7C10
SD NEGERI 32 MATARAM,50204426,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,8,4,130,6,6,0,1,34,28 Apr 2026 05:20:23,207B9E8E16CFEE40B552
SD NEGERI 33 MATARAM,50204450,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,14,4,266,12,12,0,1,12,07 Apr 2026 07:06:53,AFC071BDA3511EEF86C6
SD NEGERI 34 MATARAM,50204437,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,12,3,253,10,7,0,1,41,27 Apr 2026 09:00:27,CDA59D8ED74CAE4166E9
SD NEGERI 37 MATARAM,50204428,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,8,2,136,6,6,0,1,16,30 Apr 2026 09:56:05,39F0312DA4019011111E
SD NEGERI 39 MATARAM,50204389,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,10,3,175,7,5,0,1,26,07 Apr 2026 10:08:39,3710F07C67983CA7CE4F
SD NEGERI 43 MATARAM,50204395,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,9,5,221,7,6,1,1,7,26 Mar 2026 09:07:25,CC58EFA33EA93F69980B
SD NEGERI 46 MATARAM,50204402,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,7,4,204,6,8,0,1,30,22 Apr 2026 11:34:18,0A49BC37AEF3D5B163B2
SD NEGERI 5 MATARAM,50204640,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,15,4,368,12,12,2,1,25,28 Apr 2026 07:21:01,18104C0C18954F5975E1
SD NEGERI 7 MATARAM,50204634,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,23,6,713,19,19,0,1,33,28 Apr 2026 08:53:26,21FC7C0A204FB172A54A
SD NEGERI 8 MATARAM,50204632,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,9,3,116,6,7,0,0,35,02 Apr 2026 06:38:35,10D233D924F9693D550E
SD NEGERI 9 MATARAM,50204629,SD,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,19,5,475,17,17,0,3,15,08 Apr 2026 11:04:32,6A5793EBB2FFC0EA79F6
SD AISYIYAH I MATARAM,50204520,SD,Swasta,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,9,1,69,6,6,0,1,25,15 Apr 2026 13:27:57,2AA29569BA9CCB797746
SD AL IQRA MATARAM,69759155,SD,Swasta,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,21,3,514,16,20,1,1,31,08 Apr 2026 06:29:05,EEEDA51E4B25540CAD35
SMP NEGERI 1 MATARAM,50204455,SMP,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,61,23,1378,33,33,4,1,17,28 Apr 2026 07:38:49,B7BF89038C1C66F55E3D
SMP NEGERI 13 MATARAM,50204476,SMP,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,57,18,1195,31,31,2,1,31,30 Apr 2026 08:23:15,1AD027DF43248BF70ABB
SMP NEGERI 15 MATARAM,50204474,SMP,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,56,21,1140,33,33,4,1,56,28 Apr 2026 08:58:55,2788A2AEF024D7E67C6B
SMP NEGERI 2 MATARAM,50204470,SMP,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,59,26,1386,31,31,2,1,57,30 Apr 2026 14:22:49,6D7DA7D2C6F020559853
SMP NEGERI 23 MATARAM,50219572,SMP,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,16,7,197,8,9,2,1,27,20 Apr 2026 14:09:04,1254199F64196B4BDED4
SMP NEGERI 6 MATARAM,50204483,SMP,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,64,14,1401,33,33,4,1,35,26 Apr 2026 16:30:17,7F3444CF68C7533D3D6B
SMP NEGERI 8 MATARAM,50204481,SMP,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,49,19,883,24,24,2,1,29,02 May 2026 13:57:05,0E4D15CA89699FEBBBFF
SMP MUHAMMADIYAH MATARAM,50204462,SMP,Swasta,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,3,2,20,3,3,1,1,15,23 Apr 2026 20:39:12,7269DC64FD2DEC308F2B
SMP NW MATARAM,50204461,SMP,Swasta,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,8,1,93,3,3,3,1,9,12 Apr 2026 09:39:39,3EEE6EFC085FEA4BDA80
SMA NEGERI 1 MATARAM,50204503,SMA,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,71,26,1374,37,33,7,1,40,23 Apr 2026 23:51:32,6EEB83986060AFED7856
SMAN 3 MATARAM,50204512,SMA,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,68,21,1420,40,33,7,2,98,01 May 2026 08:25:29,A6E664EECA3D2832842F
SMAN 5 MATARAM,50204515,SMA,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,59,25,1343,36,32,5,1,35,28 Apr 2026 09:12:15,9C207608A61A9EEDCA6C
SMAN 9 MATARAM,69980935,SMA,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,56,20,1062,29,29,2,1,76,02 May 2026 10:04:22,F24E508289E660A47801
SMA ISLAM TERPADU PUTRA ABU HURAIRAH,69945394,SMA,Swasta,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,8,2,83,3,3,5,1,16,29 Apr 2026 08:24:46,556481D11112B91B1A94
SMAS AL MA ARIF MATARAM,50204500,SMA,Swasta,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,7,3,32,3,7,2,1,27,28 Apr 2026 11:14:00,0630A0E452ED324E9685
SMAS MUHAMMADIYAH MATARAM,50204491,SMA,Swasta,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,2,3,0,0,0,0,0,0,,50A833C87106184ACA14
SMAS NASIONAL MATARAM,50204490,SMA,Swasta,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,6,3,8,1,5,1,1,2,26 Apr 2026 11:23:58,40E68CE7D3619AE6D47D
SMAS NW MATARAM,50204489,SMA,Swasta,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,13,5,55,4,7,4,1,17,03 Apr 2026 18:55:48,BC0857FE94935E0A41F6
SMKN 1 MATARAM,50204507,SMK,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,52,11,904,30,21,0,1,40,20 Apr 2026 08:35:48,9F6122A4033974FED84D
SMKN 2 MATARAM,50204506,SMK,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,88,27,1492,43,45,3,1,59,27 Apr 2026 07:52:22,53E122937F4888A6FCC2
SMKN 3 MATARAM,50204505,SMK,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,141,41,2004,62,39,1,1,67,27 Apr 2026 11:19:10,D3CAEDDE16F67EC578F5
SMKN 4 MATARAM,50204504,SMK,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,77,25,1233,39,30,1,1,55,28 Apr 2026 13:23:59,020C56E07C43B62830C8
SMKPP NEGERI MATARAM,50219969,SMK,Negeri,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,87,11,308,25,34,3,1,107,02 May 2026 08:36:58,4393CCF155383EF97766
SMKS BINA BANGSA MATARAM,50204510,SMK,Swasta,Kec. Selaparang,236005,Kota Mataram,236000,Prov. Nusa Tenggara Barat,230000,0,0,0,0,0,0,0,0,,615430C707494F0C29E3
