nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SD INPRES LAPANGBARU,50305858,SD,Negeri,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,11,4,76,6,6,0,1,11,27 Apr 2026 12:41:01,6C3020DD9C64014E0506
UPTD SD INPRES LATON,50305859,SD,Negeri,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,7,4,104,6,6,0,0,10,17 Apr 2026 20:45:52,2B8F688408EDBD200BFB
UPTD SD INPRES ORGEN,50305868,SD,Negeri,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,7,7,94,6,6,0,1,10,07 Apr 2026 16:40:19,37B0678C8DF32488925E
UPTD SD NEGERI BUKBUR,70003201,SD,Negeri,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,9,5,76,6,6,0,0,29,15 Apr 2026 07:55:05,33ED1A8B5B82B4432F72
UPTD SD NEGERI BUR AL,50309114,SD,Negeri,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,8,4,83,6,6,0,0,11,02 Apr 2026 16:53:03,25B4924C4C3BCFE42D7F
UPTD SD NEGERI IYAMELI,50309113,SD,Negeri,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,8,5,55,6,6,0,1,26,16 Apr 2026 20:55:20,CEF093375B2A0E7471A8
UPTD SD NEGERI KALABALA,50308951,SD,Negeri,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,9,5,65,6,6,0,0,24,11 Apr 2026 19:44:07,92B6A983A91B283AC041
SD GMIT BIAKBUKU,50305817,SD,Swasta,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,10,1,76,6,6,0,1,9,15 Apr 2026 09:28:33,1A0E300C319665CE22D0
SD GMIT BURAGA,50305819,SD,Swasta,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,5,3,119,7,10,0,0,12,02 Apr 2026 17:38:26,9EDA2E3175ABD1A8CB91
SD GMIT GENDOK,50305821,SD,Swasta,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,10,1,68,6,6,0,1,24,11 Apr 2026 05:24:11,791BE009CABF27B3D90B
SD GMIT KALABALA,50305822,SD,Swasta,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,3,1,48,6,6,0,1,14,26 Apr 2026 21:49:59,69BEC2D5C0BB50425A0F
UPTD SMP NEGERI KUIFANA,69946187,SMP,Negeri,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,13,4,36,3,3,1,1,8,02 May 2026 11:17:04,6820B737C69B946314A9
UPTD SMP NEGERI LATON,69964575,SMP,Negeri,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,17,5,56,3,3,1,1,22,06 Apr 2026 13:04:50,3197BA531861926CD62D
UPTD SMP NEGERI ORGEN,69980295,SMP,Negeri,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,13,4,42,3,4,0,1,60,02 May 2026 19:44:07,8F60DA35DC4B53E8BD6F
UPTD SMP NEGERI TRIBUR,50308973,SMP,Negeri,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,17,8,147,6,8,1,2,18,02 May 2026 07:41:42,76B015FA543273924245
UPTD SMP NEGERI WAKAPSIR,69774841,SMP,Negeri,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,10,5,39,3,6,1,1,13,03 Apr 2026 21:41:14,8538D328503C4E68FDD6
SMAN BURAGA,69759214,SMA,Negeri,Kec. Abad Selatan,240619,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,21,7,181,6,6,3,3,36,30 Apr 2026 08:53:42,E471A0B95CD78BE529F9
