nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SD INPRES 3 KALABAHI TIMUR,50301644,SD,Negeri,Kec. Teluk Mutiara,240605,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,23,6,222,12,14,0,1,46,24 Apr 2026 09:51:16,9F51D8EF3AA670281C4D
UPTD SD INPRES 4 KALABAHI BARAT,50305852,SD,Negeri,Kec. Teluk Mutiara,240605,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,16,5,110,6,6,1,1,19,29 Apr 2026 20:09:02,93EF257660751156117B
UPTD SD INPRES 6 KALABAHI TENGAH,50301659,SD,Negeri,Kec. Teluk Mutiara,240605,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,19,7,198,11,8,0,1,35,30 Apr 2026 17:58:54,3A7A5330AD1EA6A64D83
UPTD SD INPRES BUNGAWARU,50305847,SD,Negeri,Kec. Teluk Mutiara,240605,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,34,12,476,18,13,0,1,25,07 Mar 2026 20:29:50,7F901326AEE2CC570AEE
UPTD SD INPRES KAMPUNG BINONGKO,50301646,SD,Negeri,Kec. Teluk Mutiara,240605,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,27,11,362,15,17,0,1,35,06 Feb 2026 07:27:10,7872E5A077A15BEC3B5D
UPTD SD INPRES MOEPALI,50301656,SD,Negeri,Kec. Teluk Mutiara,240605,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,19,6,211,11,10,0,1,17,30 Apr 2026 12:41:32,63D795CA71C6E8C8ABBB
UPTD SD ISLAM NEGERI COKROAMINOTO 2 KALABAHI,50305798,SD,Negeri,Kec. Teluk Mutiara,240605,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,33,8,546,22,18,1,1,33,30 Apr 2026 07:49:09,4C7EE205EC5D9FC9EC84
UPTD SD NEGERI 3 LAWAHING,69864619,SD,Negeri,Kec. Teluk Mutiara,240605,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,16,5,64,6,6,0,0,28,02 May 2026 17:07:39,684765866ADE8E892046
UPTD SD NEGERI FANLAT,69820140,SD,Negeri,Kec. Teluk Mutiara,240605,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,9,6,54,6,6,0,1,43,19 Apr 2026 12:12:02,0F380A73CD4B0938EF22
UPTD SD NEGERI HOMBOL,50305776,SD,Negeri,Kec. Teluk Mutiara,240605,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,18,9,222,11,11,0,1,45,23 Apr 2026 04:03:47,32ADF74697290518F0B4
UPTD SD NEGERI KENARILANG,50301682,SD,Negeri,Kec. Teluk Mutiara,240605,Kab. Alor,240600,Prov. Nusa Tenggara Timur,240000,25,6,249,12,12,0,1,31,30 Apr 2026 15:13:43,72E12C4D24611D144C2B
