nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES BELANG,50302381,SD,Negeri,Kec. Alok Barat,240813,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,9,5,159,8,8,0,1,13,29 Apr 2026 07:12:33,3EB51604F59E7BC8760A
SD INPRES CIII WOLOMARANG,50302515,SD,Negeri,Kec. Alok Barat,240813,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,15,2,321,12,13,0,1,32,16 Apr 2026 08:45:43,3FB55EAEF377A946A4FB
SD INPRES PATISOMBA,50302471,SD,Negeri,Kec. Alok Barat,240813,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,16,4,208,12,12,0,1,29,24 Apr 2026 10:19:08,AFE0EE50D56DF4BC3441
SD INPRES PIGANG,50302486,SD,Negeri,Kec. Alok Barat,240813,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,7,3,112,6,6,0,1,30,09 Apr 2026 20:50:25,9849B18085B9227CFAFC
SD NEGERI WAILITI,50302277,SD,Negeri,Kec. Alok Barat,240813,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,19,7,349,13,13,0,1,20,28 Apr 2026 11:01:57,2FB2CB2568F1CDDB5D38
SD NEGERI XXIV WURING,50302293,SD,Negeri,Kec. Alok Barat,240813,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,17,3,270,12,12,0,1,27,13 Apr 2026 06:21:21,144E07B98713BA8FFE82
SDN AIMITAT,69882407,SD,Negeri,Kec. Alok Barat,240813,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,9,2,49,6,5,0,0,18,25 Apr 2026 09:44:57,ADFA2116AF16E03C0569
SEKOLAH DASAR NEGERI  ONA  NANGAHURE,50302191,SD,Negeri,Kec. Alok Barat,240813,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,14,1,231,12,12,0,1,16,03 Apr 2026 20:28:06,95E52CF61E8288216EC6
SMP NEGERI  PIGANG,50306089,SMP,Negeri,Kec. Alok Barat,240813,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,12,4,95,4,4,1,2,17,12 Apr 2026 23:32:27,6573E2FC527792357022
SMP NEGERI 3 MAUMERE,50302256,SMP,Negeri,Kec. Alok Barat,240813,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,36,8,421,15,15,1,1,34,27 Apr 2026 11:01:11,92793E95F3146CECA1F0
SMKN 2 MAUMERE,50306093,SMK,Negeri,Kec. Alok Barat,240813,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,27,10,163,15,18,2,1,18,28 Apr 2026 12:02:50,9977DEB56E020394ACFC
SMK St. Fransiskus Xaverius Maumere,70001991,SMK,Swasta,Kec. Alok Barat,240813,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,11,3,59,9,9,0,1,24,28 Apr 2026 12:51:12,2F5ECFF5DCE1FD5376D8
SMKS YAPEN RAYS MAUMERE,50302316,SMK,Swasta,Kec. Alok Barat,240813,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,15,5,299,12,12,1,1,12,16 Apr 2026 07:09:45,0A303ADCB25AAD4D11A6
