nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES AHUWAIR,50302387,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,15,3,244,12,12,0,1,17,08 Apr 2026 10:55:15,BD80F7596B10F90A4B7F
SD INPRES BLIDIT,50302398,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,16,2,210,11,11,0,2,10,11 Apr 2026 09:42:31,E114B14252A8412C6A76
SD INPRES NAPUNGBIRI,50302373,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,8,4,89,6,11,0,1,42,09 Apr 2026 10:53:47,2E890E5FCBF313ADCF83
SD NEGERI INPRES EGON,50302411,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,9,5,117,6,7,0,1,24,28 Apr 2026 10:46:33,67C2A3CC86EACF4F9873
SD NEGERI INPRES MOKO,50302369,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,9,2,131,7,7,0,1,18,10 Apr 2026 21:26:40,2EDEF4D8CBDDD4C152CE
SD NEGERI LIANGAWO,50302286,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,9,3,106,6,6,0,1,14,29 Apr 2026 14:44:02,44D5A55A83C58A7464D9
SD NEGERI LUAH,50310697,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,9,1,80,6,6,0,0,10,08 Apr 2026 22:44:32,81A35999768649A853D3
SDI WATUKRONG,50302516,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,8,2,62,6,6,0,0,45,28 Apr 2026 09:01:37,74FB5F51E2A980976F90
SDN HABIJANANG,50309270,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,11,2,88,6,6,0,1,13,03 Apr 2026 09:59:46,B995A39FAD3D8DD5CBED
SDN IGOT,50309170,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,8,3,91,6,6,0,1,23,30 Apr 2026 07:59:32,F268CD6BE3ABD8E6CB0F
SDN KEPIKETIK,69872152,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,6,1,29,6,6,0,0,15,06 Apr 2026 22:06:41,4E92F9DC34FF43956314
SDN KLAHIT,50309269,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,7,3,68,6,6,0,1,8,12 Apr 2026 08:48:57,BD91050D5344C648E658
SDN NAPUNGBIRI PANTE,50309267,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,10,2,66,6,6,0,1,24,30 Apr 2026 20:47:59,8D7B66FA7F96265FABD8
SDN PIGANG BEKOR,50309268,SD,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,10,2,77,6,6,0,0,12,14 Apr 2026 20:55:20,B4CFA3F7BDDB94F6C639
SD KATOLIK 064 WATUBALA,50302121,SD,Swasta,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,14,3,226,11,12,1,1,22,08 Apr 2026 11:08:31,0D176AF89BDB256E249B
SD KATOLIK 086 NANGAHALEDOI,50302168,SD,Swasta,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,10,5,194,8,8,0,1,10,02 May 2026 06:45:16,46C495ED6390C71091D4
SDK 025 KLOANGROTAT,50302467,SD,Swasta,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,9,1,128,6,6,0,1,28,28 Apr 2026 10:50:38,2F3E05047CD3A55DEAE3
SDK 051 WAIGETE,50302131,SD,Swasta,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,11,3,180,9,10,0,1,43,25 Apr 2026 09:48:35,459EC5FE5C1F92C4C0A0
SDK 065 EWA,50302443,SD,Swasta,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,10,1,200,9,19,0,0,15,24 Apr 2026 11:10:32,2E4CC4E6B19E78CE27EE
SDK KEBOT,50302461,SD,Swasta,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,7,1,61,6,6,0,1,10,28 Apr 2026 11:29:06,EE1D3DA87C741DEE8DF0
SDK KLOANGAUR,50302464,SD,Swasta,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,9,3,151,8,11,0,1,15,15 Apr 2026 07:09:29,3AA93560B4324366BD3B
SDK KUBIT,50302450,SD,Swasta,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,8,2,102,6,9,0,1,9,07 Apr 2026 09:05:23,1083F22B0FA092D5438D
SDK LIKOT,50302317,SD,Swasta,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,9,3,139,7,8,0,1,35,25 Apr 2026 09:55:56,FAD0316EAA911816D2AC
SDK TANAHIKONG,50302142,SD,Swasta,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,5,1,39,6,6,0,0,6,07 Mar 2026 15:15:16,2C3A6426AEED59DDC8B7
SDK WARUT,50302120,SD,Swasta,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,6,1,45,6,6,0,1,27,16 Apr 2026 07:41:40,CE92B956F0839F44CAD3
SMP NEGERI 2 WAIGETE,69799866,SMP,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,26,0,237,9,12,1,1,24,23 Apr 2026 10:19:07,81C6C6A1D36695214FCE
SMP NEGERI 3 WAIGETE,69988135,SMP,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,12,3,104,5,5,1,0,15,01 Apr 2026 22:30:01,FAB1EF9A162C061AEF73
SMP NEGERI 50 St. PAULUS POGON,69974971,SMP,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,7,4,29,3,4,0,1,62,24 Apr 2026 19:49:27,9478CD0064C8D22DA31F
SMPN 1 WAIGETE,50305297,SMP,Negeri,Kec. Waigete,240810,Kab. Sikka,240800,Prov. Nusa Tenggara Timur,240000,17,5,184,7,11,2,1,69,25 Apr 2026 10:19:20,6B4D80CB7A4BAA022503
