nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES BINA WATU,50305179,SD,Negeri,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,9,4,121,7,12,0,2,13,09 Apr 2026 09:20:03,5A8B45A8479466625252
SD INPRES PARAI KAMARU,50304138,SD,Negeri,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,15,3,213,10,18,0,1,15,11 Apr 2026 09:11:54,D6FA5DA369B1F3E4336A
SD INPRES SAWI RARA,50305194,SD,Negeri,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,10,3,102,6,15,0,1,30,11 Apr 2026 09:09:17,D7EC22D7E87EC27A81D8
SD NEGERI BONDU WANGGA,70053997,SD,Negeri,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,8,0,57,6,6,0,0,7,07 Apr 2026 20:09:13,8ECBC5D95805D263BDB4
SD NEGERI KAMBERA LAJA,50308319,SD,Negeri,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,9,3,109,6,6,0,1,17,29 Apr 2026 07:15:55,8541ECB4BCDC537438C6
SD NEGERI PARAIWUNGA,50304096,SD,Negeri,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,12,1,130,10,11,0,1,35,29 Apr 2026 21:21:19,D8C3D1747DEF526D08CC
SD Negeri Tama Desa,60726624,SD,Negeri,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,10,4,141,7,8,0,1,33,13 Mar 2026 13:28:38,321F8B0AA698DF5DB478
SD Negeri Wanno Mema,70026712,SD,Negeri,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,9,1,56,6,6,0,0,16,31 Mar 2026 17:17:48,1F60F857A3B1DE99348F
SD NEGERI WATU LADE,69874383,SD,Negeri,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,7,1,35,6,6,0,0,26,06 Mar 2026 12:27:22,974CD6D4ACE7FD7AC34F
SD NEGERI WEE PABOBA,69874384,SD,Negeri,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,11,2,31,6,6,0,0,9,25 Apr 2026 09:19:07,FDE9301F9D8783FBCDAA
SD NEGERI WEE PABOWI,50308324,SD,Negeri,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,11,3,91,6,9,0,1,30,10 Mar 2026 21:47:14,C6830D74FF3B04916049
SD Negeri Wunga,70009634,SD,Negeri,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,11,2,106,6,6,0,1,30,14 Apr 2026 09:13:28,1A4A5AE8DA121C3F8C74
SD ISLAM MANANGA,50304290,SD,Swasta,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,18,3,235,12,13,0,1,20,27 Apr 2026 07:31:53,02F2ACEF59581AAA828C
SD MASEHI BONDO KANDELU,50304228,SD,Swasta,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,4,1,88,6,8,0,1,22,09 Apr 2026 08:12:45,3CCCC3C23A817DE5305D
SD MASEHI MAMBORO,50304256,SD,Swasta,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,10,3,115,6,10,1,2,37,24 Apr 2026 09:30:01,277395C43C63423E8036
SD MASEHI SANGUMATA,50303989,SD,Swasta,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,8,3,184,7,14,1,1,9,16 Apr 2026 08:53:31,297EA4CE8D38434136B7
SD MASEHI TANA BARA,50303991,SD,Swasta,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,6,1,37,6,7,0,1,16,04 Mar 2026 09:34:04,BE37AD25819C25A3EA9D
SD MASEHI WAWARONGU,50304033,SD,Swasta,Kec. Mamboro,241802,Kab. Sumba Tengah,241800,Prov. Nusa Tenggara Timur,240000,9,2,108,6,8,1,1,13,13 Apr 2026 03:02:48,BD909FE1A9BFA3C0A5A1
