nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES LAIRURU,50303828,SD,Negeri,Kec. Umalulu,241211,Kab. Sumba Timur,241200,Prov. Nusa Tenggara Timur,240000,8,4,117,6,10,0,1,20,20 Apr 2026 11:10:04,A1B189CBC93C8A2A66D7
SD INPRES MUTUNGGEDING,50303841,SD,Negeri,Kec. Umalulu,241211,Kab. Sumba Timur,241200,Prov. Nusa Tenggara Timur,240000,8,3,113,6,6,0,1,40,25 Apr 2026 13:40:11,BED3898DD5EE75FF406F
SD INPRES UMABARA,50303940,SD,Negeri,Kec. Umalulu,241211,Kab. Sumba Timur,241200,Prov. Nusa Tenggara Timur,240000,10,4,201,7,10,0,1,18,24 Apr 2026 23:36:29,78DDC2AAEC4B3772606C
SD INPRES WAIMARANG,50303935,SD,Negeri,Kec. Umalulu,241211,Kab. Sumba Timur,241200,Prov. Nusa Tenggara Timur,240000,11,4,200,8,8,0,1,37,27 Apr 2026 10:05:49,75257633C89C8CF830D7
SD INPRES WATUPUDA,50303896,SD,Negeri,Kec. Umalulu,241211,Kab. Sumba Timur,241200,Prov. Nusa Tenggara Timur,240000,13,4,201,10,11,0,1,12,14 Apr 2026 11:57:04,112A04EAAE453AA2437D
SD NEGERI KANDANGU BUKU,50303717,SD,Negeri,Kec. Umalulu,241211,Kab. Sumba Timur,241200,Prov. Nusa Tenggara Timur,240000,14,4,251,10,11,1,1,31,29 Apr 2026 09:48:12,4AFB4543BA5EE0815E39
SD NEGERI LAIMANDAR,70029946,SD,Negeri,Kec. Umalulu,241211,Kab. Sumba Timur,241200,Prov. Nusa Tenggara Timur,240000,8,1,85,6,6,0,0,26,29 Apr 2026 08:37:35,E367AAC4E786C21CF314
SD NEGERI PADAMMU,50303800,SD,Negeri,Kec. Umalulu,241211,Kab. Sumba Timur,241200,Prov. Nusa Tenggara Timur,240000,8,3,176,7,7,1,1,16,07 Apr 2026 07:56:23,5BEFCFA55593FDED5068
SD NEGERI PRAIWANGGA,69774682,SD,Negeri,Kec. Umalulu,241211,Kab. Sumba Timur,241200,Prov. Nusa Tenggara Timur,240000,7,4,64,6,6,0,1,11,05 Mar 2026 21:21:59,E1E1DA047FB60A7E3F06
SD KATOLIK NGARU KANORU,50303884,SD,Swasta,Kec. Umalulu,241211,Kab. Sumba Timur,241200,Prov. Nusa Tenggara Timur,240000,5,2,98,6,6,0,1,9,11 Mar 2026 11:14:46,FD1942D8B74D8F32DB07
SD KATOLIK WANGA,50303898,SD,Swasta,Kec. Umalulu,241211,Kab. Sumba Timur,241200,Prov. Nusa Tenggara Timur,240000,6,2,108,6,6,0,1,16,02 May 2026 07:45:22,745EC8BC3D0AB5839139
SD MASEHI MELOLO 1,50303745,SD,Swasta,Kec. Umalulu,241211,Kab. Sumba Timur,241200,Prov. Nusa Tenggara Timur,240000,6,2,143,6,7,0,1,12,22 Apr 2026 18:00:26,31DF8C695E77B0534DBC
SD MASEHI MELOLO 2,50303746,SD,Swasta,Kec. Umalulu,241211,Kab. Sumba Timur,241200,Prov. Nusa Tenggara Timur,240000,11,1,199,8,6,0,1,26,14 Apr 2026 00:08:00,2F4E50AFA987581DF026
