nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES BAKIHOI,50300723,SD,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,17,3,145,6,6,0,0,15,29 Apr 2026 11:22:51,9EC339AEB4AEF48F8460
SD INPRES NOEBAUN,50306944,SD,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,9,2,80,6,6,0,1,34,01 May 2026 22:30:05,8480C679FDAF398CF6E8
SD INPRES OEOH,50306964,SD,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,10,4,145,6,7,0,1,7,07 Mar 2026 16:12:36,BEE9C31812346CB1E499
SD INPRES TAELEU,50300559,SD,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,11,2,89,6,6,0,1,33,08 Apr 2026 08:55:24,C9734F57DE0C12F9ADA5
SD NEGERI NES,50307084,SD,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,6,2,78,6,6,0,0,27,17 Mar 2026 20:37:04,BFB79393A0ABD942AB1B
SD NEGERI NETULINAH,50307085,SD,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,8,3,114,6,6,0,1,21,30 Apr 2026 20:21:53,300497A6D8F439E1E3C1
SD NEGERI NIFUKANI,50307087,SD,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,10,0,93,6,6,0,0,13,25 Apr 2026 18:39:30,BA679124E0343FEF10E2
SD NEGERI NIKI-NIKI UN,69728269,SD,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,12,3,109,6,7,0,1,10,07 Mar 2026 16:06:28,A6B51DA2CA6481272110
SD NEGERI OENINO,50307119,SD,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,12,2,125,6,6,0,1,24,15 Apr 2026 12:59:41,F73B3B644F957183DF1B
SD NEGERI TAEKAS,69987582,SD,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,8,4,53,6,6,0,0,13,30 Apr 2026 09:05:19,AE30DFC49CD266C13406
SD GMIT HOI,50300754,SD,Swasta,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,4,1,81,6,6,0,1,20,02 May 2026 19:31:48,07C999AFCF59C1C35F53
SD GMIT NEKE,50300774,SD,Swasta,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,9,9,70,6,3,0,1,29,29 Apr 2026 06:23:06,98E8744A43036016BBF9
SD GMIT NOENONI,50300702,SD,Swasta,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,3,3,117,6,6,0,1,11,08 Apr 2026 14:26:02,BA065BED884CF89C454B
SD GMIT PENE UTARA,50306856,SD,Swasta,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,8,1,119,6,9,0,0,5,26 Feb 2026 13:12:21,47726F523992B2B2C67A
SMP NEGERI 2 AMANUBAN TENGAH,50307208,SMP,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,15,5,131,6,8,1,1,17,24 Apr 2026 20:35:30,EB496CBC158A2D1BB883
SMP NEGERI ABI,70060536,SMP,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,0,0,0,0,0,0,0,0,,AA5E3D85747C511FF45F
SMP NEGERI NOELIU,70039689,SMP,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,11,4,45,3,3,1,1,50,30 Apr 2026 22:46:31,CB9384D87B87E9DB7617
SMP NEGERI OENINO,50309184,SMP,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,15,3,143,6,6,2,1,37,30 Apr 2026 19:09:04,24233E2B4844AD3776EE
SMP NEGERI SATU ATAP NOEBAUN,50307245,SMP,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,13,2,97,4,6,1,1,9,28 Feb 2026 21:08:07,7004605BC7592BA4DA93
SMAN OENINO,69987673,SMA,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,18,3,112,5,7,0,1,50,19 Apr 2026 20:43:18,F0FA50F045DA856E5D6E
SMK NEGERI NOEBAUN,70006493,SMK,Negeri,Kec. Oenino,240319,Kab. Timor Tengah Selatan,240300,Prov. Nusa Tenggara Timur,240000,9,3,84,3,4,1,0,36,23 Apr 2026 09:06:48,77ABACCA04CA4420E238
