nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SD INPRES BTK OEBOBO 2,50305020,SD,Negeri,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,22,3,306,13,11,1,1,72,30 Apr 2026 10:28:06,B71F7CCA0C5507CEBF6B
UPTD SD INPRES LILIBA,50305028,SD,Negeri,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,44,5,788,28,19,0,1,28,01 May 2026 09:16:11,C74C96EBE28EA0141FDD
UPTD SD INPRES OEBOBO 1,50305079,SD,Negeri,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,20,5,258,12,12,0,1,21,16 Apr 2026 08:47:39,4788767B69317B1904E7
UPTD SD INPRES OEBUFU,50305080,SD,Negeri,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,28,3,365,17,17,0,1,10,06 Apr 2026 12:36:19,79D50AB85DDE1D4035E6
UPTD SD INPRES OEPOI,50305081,SD,Negeri,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,33,4,567,21,13,0,1,20,13 Apr 2026 01:12:34,6FE09C5FE43A49E29214
UPTD SD INPRES OETETE 2,50304963,SD,Negeri,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,10,3,133,6,6,0,1,9,07 Mar 2026 21:43:15,3A6E480DD7E6DCD0F880
UPTD SD INPRES OETETE 3,50305250,SD,Negeri,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,19,3,293,12,8,0,1,15,14 Apr 2026 09:02:51,B2614E1BA19C06BF9FF6
UPTD SD NEGERI OEBOBO 1,50304959,SD,Negeri,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,17,3,186,11,7,0,1,39,16 Apr 2026 11:39:28,AAB6CB728E1CA9E81401
UPTD SD NEGERI OEBOBO 2,50304960,SD,Negeri,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,21,6,298,12,6,0,1,47,20 Apr 2026 08:01:57,CBF42EE37B8947763012
UPTD SD NEGERI OETETE 1,50304962,SD,Negeri,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,17,3,180,10,10,0,1,42,30 Apr 2026 07:36:49,1391617B6C0713E9D862
UPTD SD NEGERI TUAK DAUN MERAH,50309005,SD,Negeri,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,22,4,368,16,9,0,1,17,01 May 2026 10:09:50,D41EA274F6922194BD0F
SD Agape Indah,69787681,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,9,4,98,7,7,0,1,28,16 Apr 2026 13:28:14,E073168F172149C0B0BB
SD Chrismas,70001100,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,14,7,149,8,9,1,1,41,25 Apr 2026 11:59:23,1FEB8BAC1D3CAE9B624C
SD DIAN HARAPAN,69968625,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,27,2,426,15,15,2,1,18,13 Mar 2026 08:28:35,DDA0FF733D82F791DADA
SD GMIT No.7 OEBUFU,50305032,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,26,5,403,17,12,0,1,32,30 Apr 2026 20:31:07,FEE535C8DEBC48B0C195
SD GMIT OEBOBO,50305031,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,8,4,140,6,6,0,1,8,26 Jan 2026 20:36:45,8256E25FD01DD376FB7A
SD Islam Terpadu Al-Muttaqin,69787677,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,26,4,348,15,15,1,1,33,17 Apr 2026 13:35:51,F20CA35751F631E247B7
SD Kasih Yobel,69990063,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,34,7,552,18,19,1,1,31,28 Apr 2026 10:32:43,3A0BA5B40DCDA96AB6A5
SD KATHOLIK MUDER TERESA,50305272,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,12,3,159,8,7,0,1,22,21 Apr 2026 08:01:55,F965B57D0C4CA73B7AB9
SD KATHOLIK ROSA MYSTICA,50305101,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,17,6,355,12,13,2,1,21,22 Apr 2026 17:35:12,FA436BCC065F7964616C
SD KATHOLIK STA. MARIA ASSUMPTA,50305059,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,38,6,742,27,23,0,1,16,23 Apr 2026 10:35:55,1C15546EBEA94AA77FAD
SD KRISTEN CITRA BANGSA MANDIRI,69727869,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,44,5,690,27,28,2,1,264,02 May 2026 07:57:16,94DD3454D4B102B08B21
SD MUHAMMADIYAH 2,50305102,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,25,3,406,18,13,0,1,48,02 May 2026 12:02:03,9C765F552D5367A67F76
SD Pelita Hidup,69787680,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,8,1,37,4,6,0,1,13,14 Apr 2026 19:23:02,C826D64633C2AFFD2FCE
SD SOLID ROCK KUPANG,70045873,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,5,4,28,3,3,1,1,6,05 Mar 2026 06:25:17,4A28C4D65CFC122BECE5
SD Stella Gracia,69990845,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,9,3,156,6,6,1,1,19,11 Apr 2026 09:24:33,4BDD56B59F77250735A2
SD Swasta Buoyant Montessori,69990844,SD,Swasta,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,16,3,157,8,6,1,1,21,30 Apr 2026 15:21:29,9219E716134873E57F5C
UPTD SMPN 1 KUPANG,50304976,SMP,Negeri,Kec. Oebobo,246003,Kota Kupang,246000,Prov. Nusa Tenggara Timur,240000,78,11,1049,33,38,7,1,23,29 Apr 2026 09:08:47,EF7AD54B4B58C55D07E3
