nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 2 WAISAI,60401855,SD,Negeri,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,43,4,667,25,24,1,1,34,15 Apr 2026 21:32:20,352D86104B8DB65AA6B3
SD NEGERI 29 Perum 100,69728398,SD,Negeri,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,25,1,355,14,9,1,1,32,12 Apr 2026 13:44:33,312D551C943F6461DB63
SD NEGERI 33 WAIMNIR,60403852,SD,Negeri,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,11,1,114,6,6,0,1,42,06 Apr 2026 06:26:32,308DA348B1A78D156CBD
SD NEGERI 35 KIMINDORES,69728416,SD,Negeri,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,19,4,257,12,6,0,1,60,30 Apr 2026 06:59:59,AD65326CE1102760CB73
SD PERSIAPAN WARBARIAM,70056984,SD,Negeri,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,0,0,0,0,0,0,0,0,,21EB501B9674BA775393
SDN 25 MOKO,60403851,SD,Negeri,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,15,4,251,11,8,1,1,34,23 Apr 2026 09:00:30,3144538C812567EC4DEE
SD AISYIYAH 01 Raja Ampat,69976674,SD,Swasta,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,7,1,142,6,6,0,1,110,01 May 2026 21:31:37,A82B920B15474D5509A4
SDS ST MARIA REGINA WAISAI,69728412,SD,Swasta,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,10,1,203,7,8,2,1,11,17 Apr 2026 05:17:21,D8042C5EEDCB4F2C1F5A
SDS YPK ALFA OMEGA WAISAI,69728409,SD,Swasta,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,10,1,426,17,9,0,0,127,30 Apr 2026 22:43:21,310259BDCD40241B02EC
SMP NEGERI 14 RAJA AMPAT,60401868,SMP,Negeri,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,41,6,633,21,23,1,1,224,21 Apr 2026 09:35:46,38924FB5A27DD896EFB0
SMP NEGERI 21 RAJA AMPAT,60403792,SMP,Negeri,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,16,2,183,7,7,2,1,1,05 Apr 2026 09:22:31,3DF809E3E994285720BB
SMP IT AL IKHLAS,69986923,SMP,Swasta,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,5,1,79,3,3,1,0,58,16 Mar 2026 05:59:24,68BEB9FAD3A9C4ACEB20
SMP YPPK SANTA MARIA REGINA,69979064,SMP,Swasta,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,8,2,96,4,6,1,1,110,16 Apr 2026 07:46:45,BEF9B127FE0CAC8C89E7
SMPS YPK ALFA OMEGA WAISAI,60404145,SMP,Swasta,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,14,4,389,12,14,2,0,24,18 Apr 2026 13:13:01,3BE13A7F69D49F48F5C8
SMA NEGERI 1 RAJA AMPAT,60401876,SMA,Negeri,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,68,16,1143,33,35,1,1,55,01 May 2026 19:06:54,AD4CE90C26EDBFAD1AD0
SMA Negeri 14 Raja Ampat,60404140,SMA,Negeri,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,21,5,122,6,6,3,1,126,23 Apr 2026 08:01:47,4F627109AB41131C4391
SMK NEGERI 2 RAJA AMPAT,60403788,SMK,Negeri,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,34,3,148,16,17,2,1,42,16 Apr 2026 12:29:19,A278A70D8870ADBF3DCA
SMK DKV YANURAF KHIDIRRAJA,69942220,SMK,Swasta,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,4,3,15,5,6,1,0,8,24 Jan 2026 15:40:50,23E3D534A97AA28EC75A
SMKS YPK BUKIT ZAITUN WAISAI,69830685,SMK,Swasta,Kec. Kota Waisai,390218,Kab. Raja Ampat,390200,Prov. Papua Barat Daya,390000,23,7,350,13,14,3,1,28,28 Apr 2026 21:32:08,A6B4BDD304DFAE03E1D8
