nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES KABE,60303124,SD,Negeri,Kec. Minyamur,370309,Kab. Mappi,370300,Prov. Papua Selatan,370000,6,1,257,9,6,0,0,4,27 Jan 2026 22:52:48,EFCC98E1E729EC1AA97E
SD INPRES KAYAGAE,60303129,SD,Negeri,Kec. Minyamur,370309,Kab. Mappi,370300,Prov. Papua Selatan,370000,6,1,370,13,6,0,0,13,29 Apr 2026 07:19:54,BE62EF45FCE2112C98A2
SD INPRES KOFAR,60303139,SD,Negeri,Kec. Minyamur,370309,Kab. Mappi,370300,Prov. Papua Selatan,370000,4,2,283,10,6,0,0,19,28 Apr 2026 18:03:57,C8CD1417CAD9C828C07B
SD INPRES SUMURAMAN,60303153,SD,Negeri,Kec. Minyamur,370309,Kab. Mappi,370300,Prov. Papua Selatan,370000,8,3,213,8,6,1,0,10,11 Apr 2026 10:51:38,22ED332A62FB9B7AE71D
SD INPRES TARAGAI,60303155,SD,Negeri,Kec. Minyamur,370309,Kab. Mappi,370300,Prov. Papua Selatan,370000,6,1,90,6,3,0,0,21,23 Apr 2026 18:49:51,FE3889A6743E342206A0
SD NEGERI ATTI,60303165,SD,Negeri,Kec. Minyamur,370309,Kab. Mappi,370300,Prov. Papua Selatan,370000,4,3,87,6,6,0,0,8,20 Feb 2026 13:14:26,70E7D0211AAD1C7652A9
SD NEGERI KHAUMI,60303172,SD,Negeri,Kec. Minyamur,370309,Kab. Mappi,370300,Prov. Papua Selatan,370000,7,1,160,8,8,0,0,33,08 Apr 2026 21:41:13,489D156A90CD988D27AB
SD NEGERI KOGIR,70011477,SD,Negeri,Kec. Minyamur,370309,Kab. Mappi,370300,Prov. Papua Selatan,370000,6,1,188,9,3,0,0,38,27 Apr 2026 09:59:02,50937BF139151B285824
SD NEGERI PANNO,60303178,SD,Negeri,Kec. Minyamur,370309,Kab. Mappi,370300,Prov. Papua Selatan,370000,3,2,108,6,3,0,0,45,17 Apr 2026 19:06:23,02BCC4F46B62DA5E55C4
SD NEGERI UPIN,60303183,SD,Negeri,Kec. Minyamur,370309,Kab. Mappi,370300,Prov. Papua Selatan,370000,4,3,95,6,3,0,0,11,10 Mar 2026 18:27:11,A96FA7DF9B4F4003944E
SD YPPK SENE,60303205,SD,Swasta,Kec. Minyamur,370309,Kab. Mappi,370300,Prov. Papua Selatan,370000,2,1,77,6,6,0,0,28,04 Mar 2026 07:16:04,F575F946ADBAE73D8AFE
SD YPPK Sta. SISILIA KOMURU,60303226,SD,Swasta,Kec. Minyamur,370309,Kab. Mappi,370300,Prov. Papua Selatan,370000,2,2,135,6,3,0,0,10,27 Apr 2026 20:07:12,DEAC94AE7FB9EF9EFA75
SMP NEGERI 1 MINYAMUR,70014255,SMP,Negeri,Kec. Minyamur,370309,Kab. Mappi,370300,Prov. Papua Selatan,370000,4,2,76,4,3,0,0,25,26 Apr 2026 08:41:03,188687684E5DDFB1EC64
