nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES MUTING 10,69725726,SD,Negeri,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,4,1,38,6,3,0,0,14,25 Apr 2026 05:50:13,9A9454DC8ED5F63F053A
SD INPRES MUTING 11,60300759,SD,Negeri,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,4,1,43,6,3,0,0,14,06 Apr 2026 20:23:46,F77D546D40F4D7E2ECAD
SD INPRES MUTING 6,60300754,SD,Negeri,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,8,1,125,6,6,0,0,20,16 Apr 2026 10:17:49,1D9796923191C9BF739F
SD INPRES MUTING 7,69725727,SD,Negeri,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,8,1,133,6,7,0,0,45,20 Apr 2026 10:39:15,68C5E2995ADFA6AFE968
SD INPRES MUTING 9,60300751,SD,Negeri,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,3,1,95,6,6,1,1,6,22 Feb 2026 16:31:25,48C99E1E47C2C685E72D
SD INPRES MUTING VIII,60300752,SD,Negeri,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,7,1,121,6,6,0,0,17,25 Apr 2026 02:57:22,5F81D3BEFBBC0425F835
SD YPK PAKHAS,60300537,SD,Swasta,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,7,1,57,6,8,0,0,6,28 Mar 2026 21:08:51,4C9F1FEE13FAAF0FA97F
SD YPK WAAN,69727982,SD,Swasta,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,0,1,57,6,3,0,0,12,20 Apr 2026 14:01:51,B6FF651DEF0555D5731B
SD YPPK BOHA,60300543,SD,Swasta,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,3,1,54,6,3,0,0,11,01 May 2026 08:42:18,2534C1A11D7C6FAD86A2
SD YPPK KOLAM,60300582,SD,Swasta,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,2,1,100,6,3,0,0,9,04 Mar 2026 18:51:09,EEB73C860482BB77777A
SD YPPK MUTING,69727981,SD,Swasta,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,7,2,245,10,9,1,2,13,22 Apr 2026 16:36:28,7450CFF98BE6E783B1C2
SD YPPK SELAUW,60303707,SD,Swasta,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,6,1,146,7,3,0,0,12,24 Apr 2026 20:03:10,40AC358F958E1219C439
SMP NEGERI 1 MUTING,60300604,SMP,Negeri,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,16,5,149,7,6,2,1,25,21 Apr 2026 08:18:10,50562E56D99312D8CBCC
SMP NEGERI 4 MUTING,60300620,SMP,Negeri,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,15,2,205,8,6,1,1,22,22 Apr 2026 04:15:24,F8377E5546D335D4186F
SMA NEGERI 1 MUTING,60300638,SMA,Negeri,Kec. Muting,370102,Kab. Merauke,370100,Prov. Papua Selatan,370000,25,6,321,11,9,3,2,22,21 Apr 2026 15:42:38,6CDB81B17A74C8285EE1
