nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES SP 2 YAPSI,60300136,SD,Negeri,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,9,2,166,6,6,0,1,27,27 Apr 2026 06:04:43,498290CEC5F5623598C9
SD INPRES SP 3 YAPSI,60300270,SD,Negeri,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,10,1,88,6,6,0,1,20,30 Apr 2026 15:32:06,F16936E2BC3836FB78B0
SD INPRES SP 4 YAPSI,60300219,SD,Negeri,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,7,1,80,6,6,0,1,9,14 Apr 2026 20:15:46,60B346CE2ABD0F21A12D
SD INPRES SP 5 YAPSI,60300146,SD,Negeri,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,10,1,81,6,6,0,1,10,25 Apr 2026 07:30:51,E91024F7BA10A2D9E919
SD INPRES SP 6 YAPSI,60300145,SD,Negeri,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,8,1,47,6,6,0,1,25,15 Mar 2026 15:55:19,EF8C6209C531B7DFB8DA
SD INPRES SP I YAPSI,60300144,SD,Negeri,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,13,1,263,11,8,1,1,28,29 Apr 2026 06:54:11,29C8E959540B6F676612
SD NEGERI BUNDRU,69771417,SD,Negeri,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,5,2,79,6,3,0,1,11,30 Apr 2026 11:35:06,D45A485D89A213A71426
SD NEGERI INPRES TAJA,60300142,SD,Negeri,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,7,1,73,6,4,0,0,5,04 Mar 2026 04:43:48,0F137783E93BED68B56E
SMP NEGERI 1 YAPSI,60300161,SMP,Negeri,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,10,2,120,6,6,1,1,54,22 Apr 2026 07:19:31,66161CB6A4CF4A9CFEE6
SMP NEGERI 2 YAPSI,60303581,SMP,Negeri,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,16,2,217,8,6,2,2,20,10 Apr 2026 21:04:58,27665028096C93E61DD2
SMP SATU ATAP SP 3 KAUREH,60303991,SMP,Negeri,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,8,1,60,3,3,1,1,46,30 Apr 2026 08:24:50,69588036586F6B391039
SMAN KAUREH,60300152,SMA,Negeri,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,15,2,33,6,7,3,1,32,15 Apr 2026 08:10:10,5202F08501C1A562C612
SMA PERSIAPAN BUMI SAHAJA,60300151,SMA,Swasta,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,3,4,28,3,3,0,1,5,20 Apr 2026 07:05:43,813AFA378F56CE5785CC
SMK Negeri 4 Agribisnis Dan Agroteknologi Yapsi  Kabupaten Jayapura,60303595,SMK,Negeri,Kec. Yapsi,250126,Kab. Jayapura,250100,Prov. Papua,250000,14,2,156,9,12,4,1,30,23 Apr 2026 05:50:21,D740E9B388AAB1BDC902
