nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI BASO I,60304758,SD,Negeri,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,5,1,60,6,3,0,0,5,25 Feb 2026 08:24:42,0CB7F617D928874762F9
SD NEGERI DABRA,60304837,SD,Negeri,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,14,1,314,12,12,0,0,38,24 Apr 2026 09:27:53,193A2375F0B4DDCB078D
SD NEGERI FUAO,60304764,SD,Negeri,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,1,1,119,6,6,0,0,35,28 Apr 2026 23:16:38,D9D25D3365135FDAD404
SD NEGERI INPRES TAIYEVE,60304775,SD,Negeri,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,3,1,60,6,1,0,0,21,02 May 2026 18:27:50,210FB8C935125866251C
SD NEGERI PAPASENA,60304788,SD,Negeri,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,6,1,130,7,3,0,0,21,29 Apr 2026 16:00:23,1AF83648E6FEDC9002DD
SD NEGERI PAPASENA II,60304790,SD,Negeri,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,2,1,72,6,6,0,0,22,01 May 2026 12:39:58,96DEA2D0020D7E0A6F15
SD NEGERI PERSIAPAN DORMAN,60304840,SD,Negeri,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,3,0,69,6,6,0,0,40,30 Apr 2026 10:45:50,060235907E34EBCC64B8
SD NEGERI PERSIAPAN KWA,60304796,SD,Negeri,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,2,0,103,5,6,0,0,9,24 Mar 2026 14:50:01,C3D8658277D40D5B0BEF
SD ADVENT BASO II,60304754,SD,Swasta,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,1,0,27,6,3,0,0,35,29 Apr 2026 12:58:36,8C0F998EC7F9D77D3BB0
SD INENU ARUWAK,70043231,SD,Swasta,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,3,0,0,0,0,0,0,0,,573D2003427A5D57A2E9
SD YAYASAN PESAT DOUW,60304816,SD,Swasta,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,4,0,119,7,6,0,0,12,29 Mar 2026 09:11:06,1B9E3DFAF64E265982CE
SMP NEGERI 1 MAMBERAMO HULU,60304828,SMP,Negeri,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,11,4,213,7,5,2,1,27,10 Apr 2026 23:29:51,2A78599D7AB39D35BA30
SMP NEGERI 3 PAPASENA,70005623,SMP,Negeri,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,1,1,0,0,0,0,0,0,,F87F97C97D9E95DF0669
SMP NEGERI DOUW,69927191,SMP,Negeri,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,7,0,53,3,2,0,1,30,08 Apr 2026 23:20:07,D416F750DC7A49DDEB28
SMP ADVEN BASO,60304826,SMP,Swasta,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,1,0,33,3,3,0,0,37,08 Apr 2026 13:11:42,581FC87D371EA6163788
SMAN 2 DABRA,60304836,SMA,Negeri,Kec. Mamberamo Ulu (hulu),252808,Kab. Mamberamo Raya,252800,Prov. Papua,250000,17,1,157,6,6,1,1,31,30 Apr 2026 10:39:27,F65F5B502795286BBB5B
