nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 HAMADI,60301149,SD,Negeri,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,27,2,537,21,17,0,1,22,17 Apr 2026 06:31:29,4A935F0B146937653684
SD NEGERI 2 HAMADI,60301151,SD,Negeri,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,26,3,573,19,15,0,1,40,16 Apr 2026 05:43:45,DBA77EFBB33EB8252589
SD NEGERI ENTROP,60301154,SD,Negeri,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,27,9,707,21,20,0,1,95,02 May 2026 16:59:22,E52AC41B64F1CAFED339
SD NEGERI INPRES ARDIPURA I,60301127,SD,Negeri,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,13,3,246,10,8,0,1,197,29 Apr 2026 05:40:46,E9B419D9B7FE4FC32525
SD NEGERI INPRES ARDIPURA II,60301128,SD,Negeri,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,11,6,329,12,12,0,1,25,01 May 2026 08:45:56,C4B76B572C76209A771E
SD NEGERI INPRES ARDIPURA III,60301129,SD,Negeri,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,14,5,321,12,12,0,1,43,30 Apr 2026 10:33:15,CBC73F696A75EBB65940
SD NEGERI INPRES BUCEND II,60301132,SD,Negeri,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,18,4,419,13,13,1,1,31,29 Apr 2026 17:42:52,4427A0FC25470217DA22
SD NEGERI INPRES MEGAPURA,60301140,SD,Negeri,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,15,6,261,11,7,0,1,26,02 May 2026 02:26:43,6DD8E0BDA3056207D5E9
SD NEGERI INPRES TASANGKAPURA,60301027,SD,Negeri,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,15,6,372,14,17,0,1,26,29 Apr 2026 13:16:10,0AC3E58110E3E5A00D01
SD NEGERI INPRES TOBATI,60301028,SD,Negeri,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,8,2,46,6,6,0,1,76,08 Apr 2026 08:03:06,EB2FEA791B8D32662EB4
SD ADVENT ARGAPURA,60301078,SD,Swasta,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,7,2,123,6,7,0,1,17,16 Apr 2026 08:37:26,EF02F048F26664C6B596
SD ANAK HEBAT PAPUA,69981870,SD,Swasta,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,9,3,192,8,3,2,1,33,29 Apr 2026 14:36:58,50588D364576DFFAC8B6
SD INTEGRAL HIDAYATULLAH,69881034,SD,Swasta,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,13,1,160,6,10,0,1,51,31 Mar 2026 07:26:58,2F3EA30E3FBF2E02303B
SD ISLAM TERPADU PERMATA HATI,60301631,SD,Swasta,Kec. Jayapura Selatan,256003,Kota Jayapura,256000,Prov. Papua,250000,18,2,291,12,13,1,1,22,12 Apr 2026 16:43:03,A4D86E0AA12A95F12262
