nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 003 LUBUK BESAR,10401930,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,9,1,161,7,7,0,1,17,24 Feb 2026 07:34:08,3494B0CC1EAE37FE1A74
SD NEGERI 004 BATU AMPAR,10401892,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,15,2,255,12,12,0,1,22,20 Apr 2026 09:03:31,26CDFDB28688138CB0FD
SD NEGERI 006 KEMUNING MUDA,10401844,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,8,2,74,6,6,0,0,22,06 Apr 2026 12:03:59,148865637017039E074F
SD NEGERI 007 TUKJIMUN,10401840,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,7,1,128,6,8,0,1,5,06 Apr 2026 11:37:29,596155D6F86FD6093336
SD NEGERI 009 AIRBALUI,10402112,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,14,3,341,13,14,0,2,27,26 Apr 2026 17:05:06,780AA2385BABAE50AE1D
SD NEGERI 010 KERITANG HULU,10402128,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,8,1,252,7,7,0,1,19,16 Apr 2026 20:49:38,220B1D0B58778AB386DB
SD NEGERI 012 KERITANG HULU,10402548,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,22,4,564,23,16,0,0,15,28 Apr 2026 09:40:47,BA1BAA45CE10562755BA
SD NEGERI 013 KERITANG HULU,10402561,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,7,1,149,6,11,0,1,21,14 Apr 2026 20:20:52,BD32DEE74E51241936D5
SD NEGERI 014 BATU AMPAR,10402565,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,16,4,388,14,9,0,1,23,29 Apr 2026 10:23:14,79B73E60606F1959F4F6
SD NEGERI 017 Kemuning Tua,10497177,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,14,1,241,10,6,0,1,39,04 Mar 2026 08:35:23,0B5817D4DB4F7BCE81C8
SD NEGERI 018 KERITANG HULU,10404703,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,8,1,161,6,6,0,1,9,07 Apr 2026 21:52:04,273A0842BFE7431E8188
SD NEGERI 020 Selensen,10497305,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,13,3,258,12,11,0,1,10,13 Apr 2026 00:19:20,F43996B1344E5A171205
SDN 001 Kemuning Muda,10401934,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,11,1,255,10,10,0,1,14,03 Mar 2026 08:11:47,863DCF464B79D3E6DF2A
SDN 002 SELENSEN,10404626,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,16,3,351,13,12,1,1,32,01 May 2026 07:09:40,0AC166F83CAB167E5863
SDN 005 SEKARA,10496898,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,9,2,237,10,14,0,0,15,11 Apr 2026 11:42:30,C713E58BCE449DAEAE18
SDN 008 KERITANG HULU,10401834,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,15,2,368,13,12,0,1,16,28 Apr 2026 15:22:40,37CCE1BF69735CC1B14C
SDN 011 KERITANG HULU,10402552,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,10,6,287,12,12,0,1,19,24 Apr 2026 01:35:38,365BF5353493917BAFAA
SDN 015 LIMAU MANIS,10402550,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,7,2,174,6,5,0,1,13,04 Mar 2026 09:50:51,B614368A57034EB8E52F
SDN 016 TALANG JANGKANG,10402562,SD,Negeri,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,9,1,125,7,5,0,1,6,27 Feb 2026 09:29:00,8F50DBA41CC30849F241
SD IT HAJI SOEGIANTO,70043842,SD,Swasta,Kec. Kemuning,090513,Kab. Indragiri Hilir,090500,Prov. Riau,090000,5,2,64,6,6,0,0,4,28 Apr 2026 08:48:34,DADF3149A07111B3AB03
