nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 001 PANGKALAN KASAI,10493954,SD,Negeri,Kec. Seberida,090404,Kab. Indragiri Hulu,090400,Prov. Riau,090000,17,3,243,11,17,0,1,34,10 Apr 2026 00:01:48,D799C771A6CFE8211DDA
SD NEGERI 002 PAYA RUMBAI,10493955,SD,Negeri,Kec. Seberida,090404,Kab. Indragiri Hulu,090400,Prov. Riau,090000,9,2,186,7,8,0,0,7,12 Mar 2026 19:39:36,DB40D071D187ED69596B
SD NEGERI 003 BELIGAN,10493956,SD,Negeri,Kec. Seberida,090404,Kab. Indragiri Hulu,090400,Prov. Riau,090000,11,1,155,6,9,0,1,50,12 Mar 2026 10:16:25,C788D0431E4E2AF7511D
SD NEGERI 004 BELILAS,10493957,SD,Negeri,Kec. Seberida,090404,Kab. Indragiri Hulu,090400,Prov. Riau,090000,14,2,227,10,10,0,1,8,22 Apr 2026 07:52:43,62DD0344EE6FCC042307
SD NEGERI 005 TITIAN RESAK,10493958,SD,Negeri,Kec. Seberida,090404,Kab. Indragiri Hulu,090400,Prov. Riau,090000,18,2,298,12,12,0,2,13,25 Apr 2026 08:21:24,EAC8C74618B65AF5E9A7
SD NEGERI 006 BULUH RAMPAI,10493959,SD,Negeri,Kec. Seberida,090404,Kab. Indragiri Hulu,090400,Prov. Riau,090000,14,4,242,11,9,0,1,33,26 Mar 2026 20:26:15,3E22E780AC36FB33E9DF
SD NEGERI 007 LUBUK BANGKO,10493960,SD,Negeri,Kec. Seberida,090404,Kab. Indragiri Hulu,090400,Prov. Riau,090000,9,1,123,7,9,1,0,13,04 Mar 2026 05:50:09,44DC212C85882C5A2B3B
SD NEGERI 008 BULUH RAMPAI,10493961,SD,Negeri,Kec. Seberida,090404,Kab. Indragiri Hulu,090400,Prov. Riau,090000,8,2,135,6,6,0,0,12,17 Apr 2026 18:33:59,14293BE3B1DAAAEC543A
SD NEGERI 009 PETALA BUMI,10493962,SD,Negeri,Kec. Seberida,090404,Kab. Indragiri Hulu,090400,Prov. Riau,090000,17,2,173,10,12,0,1,23,21 Apr 2026 11:55:54,F1AF1087F7AEE70C3178
SD NEGERI 010 SERESAM,10493963,SD,Negeri,Kec. Seberida,090404,Kab. Indragiri Hulu,090400,Prov. Riau,090000,22,3,368,15,14,0,1,15,27 Mar 2026 12:57:18,05255BF01E290A8EABB8
