nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPT SD NEGERI 001 BULUH CINA,10400410,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,8,4,160,6,10,0,1,9,10 Apr 2026 16:08:16,919D287EEAAC18D56DA7
UPT SD NEGERI 002 PANGKALAN BARU,10400592,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,16,4,261,11,11,1,1,26,18 Apr 2026 09:49:03,1364BE1DAA6F397D5BC2
UPT SD NEGERI 003 BULUH NIPIS,10400598,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,10,3,162,9,9,0,0,19,27 Apr 2026 21:35:50,73C607DDAAB652631DD6
UPT SD NEGERI 004 TERATAK BULUH,10400419,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,16,3,328,12,14,0,1,39,07 Apr 2026 08:51:21,30B4AD5D3078714F4779
UPT SD NEGERI 005 DESA BARU,10400531,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,19,2,422,16,16,0,1,74,29 Apr 2026 09:02:12,C073F4A71913C1E22A51
UPT SD NEGERI 006 TERPADU KUBANG JAYA,10494633,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,34,3,829,25,24,0,1,42,25 Apr 2026 09:54:46,54B50138AA3E0CBA9C0B
UPT SD NEGERI 007 PANGKALAN BARU,10494636,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,15,3,192,9,9,0,2,101,02 May 2026 13:26:33,4754C37E6CFF9444BDDD
UPT SD NEGERI 008 LUBUK SIAM,10400575,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,8,3,173,6,7,0,1,26,25 Apr 2026 09:34:15,E799DF4EE700F6C4F270
UPT SD NEGERI 009 KEPAU JAYA,10400606,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,20,4,428,16,11,0,1,25,29 Apr 2026 12:08:05,A09D1F44757355FCB2F8
UPT SD NEGERI 010 PANGKALAN SERIK,10494631,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,11,4,166,9,7,0,1,20,11 Apr 2026 10:06:22,00B1EE3FE4FFC307CD86
UPT SD NEGERI 011 DESA BARU,10400524,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,52,9,1162,35,22,1,1,70,30 Apr 2026 11:07:44,5E45B49BA6D78A05C757
UPT SD NEGERI 012 PANGKALAN BARU,10494638,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,18,4,286,12,12,0,1,63,02 May 2026 09:19:16,3E42F07002E4A5CAA613
UPT SD NEGERI 013 TERATAK BULUH,10494635,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,8,3,74,6,6,0,1,13,24 Apr 2026 20:41:46,EB5D4736C0B81EEC2EA8
UPT SD NEGERI 014 TERATAK BULUH,10494642,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,6,5,134,6,6,0,1,19,10 Apr 2026 08:10:35,A671572F27CD5C8A8202
UPT SD NEGERI 015 TERATAK BULUH,10494644,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,7,2,114,6,6,0,0,5,01 Mar 2026 22:48:56,94DE397DF4D35118C7D5
UPT SD NEGERI 016 TANAH MERAH,10494646,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,25,4,469,18,12,0,1,21,24 Apr 2026 09:25:55,9861CCD7B80257032D2B
UPT SD NEGERI 017 PANDAU JAYA,10400189,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,35,3,770,25,22,1,1,28,02 May 2026 12:02:11,C8C8A73755D3E95ED052
UPT SD NEGERI 018 KUBANG JAYA,10400223,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,37,4,802,27,21,1,1,25,25 Apr 2026 10:03:53,00F911424BC179E8B02C
UPT SD NEGERI 019 PANDAU JAYA,10400119,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,32,4,829,24,18,0,1,60,13 Apr 2026 10:15:00,9308764C055F6A1059B1
UPT SD NEGERI 020 PANGKALAN BARU,10495513,SD,Negeri,Kec. Siak Hulu,090107,Kab. Kampar,090100,Prov. Riau,090000,7,2,71,6,7,0,0,73,02 May 2026 08:56:53,6FCEC80A529A2DB8C490
