nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 001 SINABOI,10404853,SD,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,11,3,145,8,9,1,1,32,17 Apr 2026 12:23:15,D145D53DE6D24C4067ED
SD NEGERI 002 RAJA BEJAMU,10404856,SD,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,20,3,199,11,11,0,0,22,13 Apr 2026 07:59:34,3C31BAE122BCC0B0777D
SD NEGERI 003 SEI BAKAU,10404858,SD,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,26,5,474,17,17,1,1,37,27 Apr 2026 17:02:30,651EDA23AA05A6C397F4
SD NEGERI 004 SINABOI,10404861,SD,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,10,6,217,9,9,1,1,14,23 Apr 2026 09:21:53,845B373F35E0A5B2512F
SD NEGERI 005 RAJA BEJAMU,10404862,SD,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,11,4,162,7,8,1,1,13,26 Apr 2026 21:16:36,76C218C1DE1E7B4D19FB
SD NEGERI 006 RAJA BEJAMU,10404863,SD,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,20,10,381,15,15,1,1,22,06 Apr 2026 19:31:17,1FD6FA2D21936C2CDEA5
SD NEGERI 007 SERUSA MATI,10404864,SD,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,37,7,760,27,21,0,1,62,27 Apr 2026 18:42:44,E8A102824D9990AD82D0
SD NEGERI 008 SEI BAKAU,10498662,SD,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,9,2,62,6,6,0,0,11,10 Apr 2026 09:22:55,21B2B64C63FD6BC1F08D
SD NEGERI 009 SEI BAKAU,10404866,SD,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,12,4,175,6,6,1,1,21,26 Apr 2026 23:04:59,45D654C1E6EDE0ACDD53
SDN 010 DARUSSALAM,69881039,SD,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,23,25,310,12,8,0,0,28,26 Apr 2026 23:11:52,79BABAA985CF171367DE
SDS METHODIST,10404865,SD,Swasta,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,10,2,127,6,7,0,0,6,09 Mar 2026 10:07:52,DBA9B3A9D069BF61899E
SMP NEGERI 1 SINABOI SATU ATAP,10496659,SMP,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,18,4,228,9,9,1,0,26,22 Apr 2026 10:59:39,6FC786175EB90BDF24C8
SMP NEGERI 2 SINABOI,69734143,SMP,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,17,2,243,9,9,1,1,42,05 Apr 2026 21:00:19,C2C11B2A84AADF84AF23
SMPN 3 SINABOI,10405625,SMP,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,11,2,118,5,6,2,0,17,09 Apr 2026 19:48:01,7C5CAD401C992C3BA429
SMP SATU ATAP DARUSSALAM,69982213,SMP,Swasta,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,4,3,78,3,1,0,0,6,09 Mar 2026 22:11:55,BFC4B3A40F0AC4EAB4DB
SMAN 1 SINABOI,10405628,SMA,Negeri,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,26,11,521,15,14,2,1,23,16 Apr 2026 08:24:53,83A4666F3719AB9BF904
SMK AL-WASHLIYAH,69946764,SMK,Swasta,Kec. Sinaboi,091007,Kab. Rokan Hilir,091000,Prov. Riau,090000,13,3,249,10,4,0,0,14,08 Apr 2026 09:40:55,1E1CD44169E0EA0DE49C
