nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 51 BUSSU,69972940,SD,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,11,6,23,6,6,0,0,47,26 Apr 2026 20:04:36,4B6093475961B95DB523
SD NEGERI NO 11 KAREMA,40601183,SD,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,10,4,51,6,6,0,1,11,10 Apr 2026 08:34:08,4BF22F82545281B84D4B
SD NEGERI NO 12 PELATTOANG,40601185,SD,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,9,7,84,6,7,0,1,34,28 Apr 2026 17:21:02,D45F80746139595BC804
SD NEGERI NO 13 ULIDANG,40601186,SD,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,15,10,180,6,6,0,1,1,29 Apr 2026 20:17:00,85C0C897E18460100D59
SD NEGERI NO 22 INPRES PELATTOANG,40601354,SD,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,10,4,115,6,6,0,1,23,12 Apr 2026 03:00:23,84FEA4B9D43A4BDE5EE2
SD NEGERI NO 23 SEPPONG,40601405,SD,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,11,4,152,6,6,0,1,8,10 Apr 2026 17:55:19,5DE443ED2540ECB2DE8E
SD NEGERI NO 30 INPRES ULIDANG,40601357,SD,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,13,7,116,6,9,0,1,22,04 Apr 2026 10:20:22,299F751C2FDC954F0D03
SD NEGERI NO 31 RATTE PADANG,40601469,SD,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,10,4,59,6,6,0,1,10,09 Apr 2026 15:06:48,5679F67B39B633361BC4
SD NEGERI NO 38 PANGALEROANG,40601432,SD,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,10,2,126,7,7,0,1,10,06 Mar 2026 20:41:22,153DDE87D3575C922427
SD NEGERI NO 39 MANYAMBA,40601169,SD,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,12,3,154,8,8,0,1,14,20 Apr 2026 13:12:24,B98D227B1D52825DAA00
SD NEGERI NO 44 LEBA-LEBA,40601438,SD,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,12,6,133,6,6,0,1,12,02 Apr 2026 06:25:23,FFC0A3C68B4BACD9A1C9
SD NEGERI NO 49 INPRES RATTETARRING,40601498,SD,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,11,3,31,6,6,0,1,19,30 Apr 2026 09:00:21,FF98E0E11B4E281EBA06
SD NEGERI NO 50 TALONGGA,40601441,SD,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,10,3,59,6,6,0,1,23,01 Apr 2026 05:12:32,7E514FE149C85DFCEF32
SMP NEGERI 4 SENDANA,40601301,SMP,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,23,11,217,9,12,2,2,39,24 Apr 2026 19:20:18,B6727882062877552F2A
SMP NEGERI 7 SATU ATAP TALONGGA SENDANA,69787951,SMP,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,14,8,47,3,3,1,1,26,05 Apr 2026 19:34:19,D6469FFEE33BAAE3358E
UPTD SMA NEGERI 1 TAMMERODO,40601193,SMA,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,19,5,102,4,4,0,1,23,25 Apr 2026 18:34:40,9C475D0C245EA9ABF082
UPTD SMKN 7 MAJENE,40605754,SMK,Negeri,Kec. Tammerodo Sendana,330506,Kab. Majene,330500,Prov. Sulawesi Barat,330000,49,24,547,20,19,6,1,54,28 Apr 2026 11:54:08,ADC17F6831AEB4185572
