nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD K. 015 PEBASSIAN,40602604,SD,Negeri,Kec. Mamasa,330403,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,7,2,43,6,6,0,2,5,30 Apr 2026 07:54:35,CB69AE2349E46CEB801D
SD N. 006 RAMBUSARATU,40601137,SD,Negeri,Kec. Mamasa,330403,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,22,12,155,9,6,0,1,39,21 Apr 2026 15:43:42,D723016827F625FD7436
SD N. 013 PENA,40602640,SD,Negeri,Kec. Mamasa,330403,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,12,2,138,8,8,0,1,9,31 Jan 2026 17:38:46,9D16C8883CC92EE34652
SD N. 014 LOKO,40600981,SD,Negeri,Kec. Mamasa,330403,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,10,3,83,6,6,0,1,16,14 Apr 2026 20:02:53,976537E38DF067EF4781
SD NEGERI 001 Mamasa,40601083,SD,Negeri,Kec. Mamasa,330403,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,41,3,636,24,18,0,0,60,30 Apr 2026 11:14:42,F37B916436F1C724D8AB
SD NEGERI 002 MAMASA,40601151,SD,Negeri,Kec. Mamasa,330403,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,33,18,528,22,14,1,1,140,01 May 2026 06:48:05,FCA3CFDF96539B7BE64A
SD NEGERI 003 OSANGO,40601164,SD,Negeri,Kec. Mamasa,330403,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,13,4,115,6,8,0,5,22,15 Apr 2026 01:52:10,36D9A3BA6712CAE45A93
SD NEGERI 005 RANTEBUDA,40601133,SD,Negeri,Kec. Mamasa,330403,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,11,4,94,6,6,0,1,11,19 Apr 2026 20:52:25,3EC0FDCA80AA9570A2D6
SD NEGERI 008 BUNTUBUDA,40601004,SD,Negeri,Kec. Mamasa,330403,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,12,3,109,6,6,0,1,37,24 Apr 2026 07:59:09,674E1FA653C6151735FB
SD NEGERI 011 TATOA,40601015,SD,Negeri,Kec. Mamasa,330403,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,20,12,169,9,8,1,1,48,02 May 2026 16:09:44,7854162D1B7FE621570E
SD NEGERI 012 BARRA-BARRA,40601002,SD,Negeri,Kec. Mamasa,330403,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,10,14,96,6,7,0,1,20,24 Apr 2026 09:09:57,47FF0CAD59E0540D2D42
SD NEGERI 10 PAKKASSASAN,40601379,SD,Negeri,Kec. Mamasa,330403,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,19,3,96,6,7,1,1,25,08 Apr 2026 13:29:22,74FFD67CDED3C9CA1C44
