nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD N. 005 TABANG,40601142,SD,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,8,2,111,6,6,1,1,13,11 Apr 2026 09:02:31,2116B683F7952FFA3BC5
SD N. 006 KALAMA,40601023,SD,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,12,10,84,6,6,0,1,16,28 Apr 2026 09:48:25,89F9F1A1B7D4CD5C4F1D
SD N. 008 BUTTU BUTTU,40602632,SD,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,10,2,57,6,6,0,1,19,04 Mar 2026 20:51:52,43F7A6D0DE58E126B97E
SD NEGERI 002 TANDUNG,40602613,SD,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,18,1,48,6,6,0,1,9,14 Apr 2026 17:58:09,DFE8836C11CE41CFB1D3
SD NEGERI 011 RARUNAN,69754235,SD,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,12,0,37,6,4,0,1,40,24 Apr 2026 07:36:37,3C6C508AEC2DA5C4CFE3
SDK 010 TINUA TONDON TALODO,40604835,SD,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,8,6,17,6,3,0,0,12,23 Apr 2026 09:21:59,8419A9932C43F704341B
SDK 012 BUTTU DEWATA,69758936,SD,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,12,4,43,6,6,0,0,11,04 Mar 2026 12:52:46,AB6313775828EBE0E98A
SDK. 009 RATTEBAKARU,40604834,SD,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,11,2,40,6,3,0,0,34,01 May 2026 18:26:25,FE3534842C8FD60B39FE
SDN 003 MAWA,40601160,SD,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,11,3,59,6,7,0,0,46,10 Apr 2026 09:03:46,61CE15C93035A02B26DB
SDN 004 LAMBA,40601127,SD,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,6,7,77,6,8,0,0,8,09 Feb 2026 19:28:11,1C34322AF7E9BE45694F
SDN 013 TULLU,69947841,SD,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,12,4,53,6,4,0,0,12,08 Apr 2026 20:48:38,C20F5B02D2CF523632BB
SDN. 001 LIMBONG,40601121,SD,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,13,4,49,6,6,0,1,8,06 Feb 2026 18:59:28,06937FCBFE5E6F9DA25E
SDN. 007 TIMBAAN,40602631,SD,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,14,4,58,6,6,0,1,21,10 Mar 2026 20:26:49,6E11783CCF0B9C4FE592
SMP NEGERI 003 SATAPTABANG,40605582,SMP,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,11,0,34,3,2,0,0,41,27 Apr 2026 09:00:32,42F3FA6DA11D57071109
SMP NEGERI 004 SATAP TABANG,40605583,SMP,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,14,4,80,3,4,0,1,31,24 Apr 2026 18:29:57,93F36CC55A61A7BEF49A
SMPN 1 TABANG,40601036,SMP,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,13,7,136,6,7,2,2,16,02 May 2026 10:05:14,58157AFE24F30E77A9CB
SMPN SATAP KALAMA,69819422,SMP,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,10,9,45,3,3,1,1,44,15 Apr 2026 22:27:00,C3E02A37851343602AA5
SMPN. 2 SATAP TABANG,40604264,SMP,Negeri,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,12,9,39,3,3,2,1,56,30 Apr 2026 18:21:01,1EFBE1B799F7602B1C2F
SMKS PELITA HARAPAN,69786288,SMK,Swasta,Kec. Tabang,330406,Kab. Mamasa,330400,Prov. Sulawesi Barat,330000,9,1,45,3,3,2,0,6,22 Apr 2026 17:44:47,555B9CBEB9228FD27568
