nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 005 PAMBUSUANG,40600917,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,12,3,244,10,8,0,1,17,24 Apr 2026 08:46:18,A53680755EABD75E768F
SD NEGERI 006 PAMBUSUANG,40600895,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,9,3,148,7,6,1,1,18,04 Mar 2026 04:04:15,8EE0395D2EE55B7AED1D
SD NEGERI 007 SABANG SUBIK,40600903,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,14,3,231,11,7,0,0,14,28 Apr 2026 12:29:49,1D6F73BE86EB99EC8D17
SD NEGERI 019 BALANIPA,40600612,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,10,2,56,6,6,0,1,40,04 Mar 2026 12:52:49,33DDCB2A80B9F411800B
SD NEGERI 020 PALLIS,40600576,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,9,3,30,6,6,0,1,10,11 Mar 2026 11:32:58,C52CA5642E9A2503F60B
SD NEGERI 021 TAMMANGALLE,40601523,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,7,4,97,6,6,0,1,4,31 Jan 2026 08:24:40,A0D75D2E6100E6825FE6
SD NEGERI 022 LAMBANAN,40600540,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,7,3,68,6,6,0,1,37,04 Mar 2026 08:09:28,8A8913154EAA63D1A7B1
SD NEGERI 025 MOSSO,40600523,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,8,3,41,6,6,0,1,9,05 Mar 2026 03:54:38,1BF76EC16435096B084B
SD NEGERI 032 PAMBUSUANG,40600803,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,17,3,243,12,6,0,0,12,13 Feb 2026 09:51:25,EB254434494BFDD7D779
SD NEGERI 033 TAMMANGALLE,40600778,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,10,3,172,6,6,0,1,5,05 Mar 2026 18:37:45,069EB93D9B17D0768A01
SD NEGERI 042 PANGALLOANG,40600943,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,7,3,21,6,4,0,0,15,06 Mar 2026 08:31:55,C761F0AEB3873508A47C
SD NEGERI 044 KAMPUNG BARU SUBIK,40602492,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,9,2,194,8,6,0,0,15,18 Apr 2026 22:19:28,AEBEBBF5F313998BDA4A
SD NEGERI 046 BARU PARAPPE,40602497,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,14,4,240,12,6,0,1,8,29 Apr 2026 08:36:55,F2FCF0538388CC7973CA
SD NEGERI 050 PANDEWULAWANG,40600932,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,9,1,43,6,6,0,1,23,07 Mar 2026 07:43:24,40FC98A6137E9F051411
SD NEGERI 056 LAMASARIANG,40600977,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,9,3,157,6,10,0,1,26,30 Apr 2026 11:08:35,0E19C4BF3AFE8538FC48
SD NEGERI 057 LAMBEPADA,40600974,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,8,3,94,6,6,0,1,22,18 Apr 2026 07:00:14,87135CE9AA9886806AEF
SD NEGERI 058 GALUNG LEGO,40600741,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,7,3,146,6,6,0,1,7,09 Apr 2026 18:40:10,C6599F25E06EE5A8D164
SD NEGERI 063 SAWANG,40600863,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,8,3,132,7,6,0,1,7,10 Feb 2026 11:57:18,4DF083760C83457E8D10
SD NEGERI 064 KAMPUNG TULU,40600878,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,15,4,215,10,7,0,1,9,18 Apr 2026 09:50:18,68974EABC572A28FCBFF
SD NEGERI 065 BALA,40600880,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,12,4,220,10,7,0,1,28,21 Apr 2026 09:06:59,CC9D069D57525C8464A5
SD NEGERI 069 TAMMEJARRA,40600725,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,8,4,118,6,6,1,1,4,30 Jan 2026 09:54:36,4B3616CE6A739125C828
SD NEGERI 070 TONDO,40605145,SD,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,9,1,22,6,3,0,0,13,06 Mar 2026 20:37:56,279819AA1221E5D0A653
SMP NEGERI 2 BALANIPA,40605035,SMP,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,12,5,116,5,6,1,2,9,23 Apr 2026 05:40:23,FBEC15F94F4CBD207E8D
SMP NEGERI 2 TINAMBUNG,40600680,SMP,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,36,6,520,18,20,4,1,20,29 Apr 2026 20:49:02,C7E43959ED2BBC510E5D
UPTD SMAN 1 TINAMBUNG,40600651,SMA,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,70,23,1015,29,29,5,1,70,28 Apr 2026 11:48:59,10FA6BECFD24BF3102E6
UPTD SMKN BALANIPA,40605523,SMK,Negeri,Kec. Balanipa,330307,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,23,14,278,13,15,2,1,34,30 Apr 2026 11:47:35,979958C0A0199046AEE8
