nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 026 BULO,40600526,SD,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,15,2,129,12,12,1,1,60,25 Apr 2026 08:30:21,1F70F2EE116EB68D55F8
SD NEGERI 038 KANUSUANG,40600559,SD,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,16,2,277,13,13,1,1,41,10 Mar 2026 10:35:38,B8B3C8BA873C5F5C6EFF
SD NEGERI 057 PULLIWA,40600740,SD,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,8,1,129,6,7,0,1,26,10 Apr 2026 05:31:39,2FA5771EDE0353740892
SD NEGERI 059 SABURA,40600952,SD,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,8,3,134,6,6,0,1,28,16 Apr 2026 10:23:07,2E023C996041EF5FD3DD
SD NEGERI 070 KAROMBANG,40602516,SD,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,9,2,104,6,6,0,1,15,11 Apr 2026 21:52:51,F9B793F0645ED8B8B3B1
SD NEGERI 071 LENGGO,40602518,SD,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,14,2,110,12,12,0,0,28,25 Apr 2026 18:42:08,1A4FD4264D6751BF9487
SD NEGERI 072 DAALA,40600727,SD,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,8,2,28,6,4,0,1,8,05 Mar 2026 12:53:38,99478B12B3EA71C98A43
SD NEGERI GALU GALUNG,69961685,SD,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,8,1,49,6,6,0,1,28,20 Apr 2026 11:16:53,839F8D1BB52BF9959BCC
SD NEGERI TALANGGA,40605733,SD,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,9,4,87,6,5,0,1,26,13 Apr 2026 19:41:03,4C492FF1645E7DADCF88
SD NEGERI TRANSMIGRASI PATAMBANUA,40604486,SD,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,8,2,56,6,4,1,1,15,29 Apr 2026 20:17:15,6215C30BA6C255C894D6
SD DDI TOPPONG,40602684,SD,Swasta,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,5,1,41,6,3,0,0,14,07 Apr 2026 06:50:10,A314A6A2D8D754B4578C
SMP NEGERI 6 WONOMULYO,40600667,SMP,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,18,4,256,10,11,2,1,49,25 Apr 2026 09:51:27,F4313DAA6CC1D8B0264A
SMP NEGERI BULO,40605036,SMP,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,12,4,95,5,6,2,1,110,02 May 2026 11:34:43,34417D2D5CA627E6D044
SMP NEGERI SATAP DAALA TIMUR,40605719,SMP,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,12,1,72,3,3,0,0,16,05 Apr 2026 15:31:13,42C31337B58F8EB5690D
SMP NEGERI SATAP LENGGO,40605522,SMP,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,11,0,37,3,3,0,1,17,10 Apr 2026 10:22:04,5BC8C58E415428C3099D
SMP NEGERI SATAP SABURA,69894352,SMP,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,9,5,31,3,3,0,0,10,16 Mar 2026 09:11:03,2316B8824E843F17AF50
UPTD SMKN BULO,40605505,SMK,Negeri,Kec. Bulo,330316,Kab. Polewali Mandar,330300,Prov. Sulawesi Barat,330000,33,6,297,13,11,5,1,63,01 May 2026 19:44:18,57E43A2C35F5318B1C62
