nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES DAMPANG,40304115,SD,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,10,6,125,6,6,1,1,11,28 Apr 2026 08:44:00,37FD2BC411057F74E4D1
SD INPRES KALAMMASSANG,40304124,SD,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,11,2,118,6,6,0,1,16,23 Apr 2026 15:01:07,1B30A64C1A55DB553E9A
SD INPRES KALOLING,40304122,SD,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,10,2,103,6,7,0,1,16,28 Apr 2026 07:15:22,989D0B729F82C5167C16
SD INPRES KAMPUNG BERU,40304121,SD,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,14,2,152,8,11,0,2,23,19 Apr 2026 11:32:33,A01ACE5A630543197C06
SD INPRES LAYOA,40304102,SD,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,21,4,69,6,6,0,1,1,02 Apr 2026 17:54:20,93A6C92F0C73DD479CC4
SD INPRES MOTI,40304083,SD,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,13,4,181,8,12,0,1,11,09 Apr 2026 06:58:59,2939E075A45C7FA2A8A2
SD INPRES PALANJONG,40304081,SD,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,13,4,68,6,6,1,1,11,21 Apr 2026 07:04:54,CFC0BCA897A64EE8BAE9
SD NEGERI 44 PASSANGARRANG,40304013,SD,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,15,3,114,6,6,0,1,5,21 Jan 2026 21:51:49,5EBB360778CD7214FB35
SD NEGERI 45 TOMBOLO,40310843,SD,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,12,4,92,6,6,0,1,7,13 Apr 2026 19:20:14,36442FAFF052CBEC3ED4
SD NEGERI 46 KADANGKUNYI,40304011,SD,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,13,2,129,6,7,0,1,42,30 Apr 2026 20:05:18,85142A44A488EB6662CD
SD NEGERI 48 KALOLING,40304009,SD,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,11,3,85,6,6,0,1,10,20 Apr 2026 16:53:59,8D129177438A08E33743
SD NEGERI 49 ERASAYYA,40304008,SD,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,13,2,65,6,6,0,1,12,03 Apr 2026 20:01:47,EB5F176FBC249CBAB454
SD NEGERI 51 GANGANG BAKU,40304005,SD,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,10,3,156,7,7,1,1,14,14 Mar 2026 13:20:25,B079AD8D3E5B2FF58006
SMP NEGERI 1 GANTARANGKEKE,40303996,SMP,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,17,5,163,7,8,4,1,21,27 Apr 2026 11:31:07,FC664D06948ECD92696E
SMP NEGERI 2 GANTARANGKEKE,40303991,SMP,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,12,6,68,3,15,2,1,22,27 Apr 2026 09:27:46,CFC82D70FFF49DE3BC13
SMP NEGERI 3 GANTARANGKEKE,69772956,SMP,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,20,3,109,6,6,3,1,17,29 Apr 2026 09:16:04,CA8517D3E12860BF422E
SMP NEGERI 4 GANTARANGKEKE,69962092,SMP,Negeri,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,22,1,223,9,10,2,1,31,29 Apr 2026 07:28:54,253CDE9C04A3F304498C
SMP INSAN MUBARAK,69973226,SMP,Swasta,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,8,1,23,3,3,0,0,19,14 Feb 2026 20:36:03,9C4F63B42B1BE21BDA50
SMP IT AS ADIYAH KALOLING,69982476,SMP,Swasta,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,24,1,150,6,6,1,1,23,23 Apr 2026 10:15:14,A9A8605353E2842C599F
SMK DARUL ULUM LAYOA,69900541,SMK,Swasta,Kec. Gantarang Keke,191007,Kab. Bantaeng,191000,Prov. Sulawesi Selatan,190000,20,5,203,9,6,1,1,28,09 Apr 2026 08:55:00,666730612F846BE06D90
