nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPT SDI BARUGAIYA NO 63 KEPULAUAN SELAYAR,40304864,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,15,2,123,6,6,0,1,23,16 Apr 2026 11:04:04,62FC6F3D1BB2EDDD2F37
UPT SDI BATURAPA NO 97 KEPULAUAN SELAYAR,40304875,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,11,3,24,6,6,0,1,33,02 Apr 2026 05:20:21,D0419A9290F31615D80B
UPT SDI BONEA UTARA NO 88 KEPULAUAN SELAYAR,40304879,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,15,1,58,6,6,0,1,13,16 Apr 2026 10:39:10,F67A470A2713EE401BBE
UPT SDI BONTOMARANNU NO. 54 KEPULAUAN SELAYAR,40304807,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,11,1,31,6,6,0,1,11,11 Apr 2026 18:21:51,FD6891D76EDF44D43092
UPT SDI DALLEMAMBUA NO 102 KEPULAUAN SELAYAR,40304944,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,10,2,33,6,6,0,1,16,16 Apr 2026 17:49:59,A0B123FC15088CD89987
UPT SDI GOLLEK NO 98 KEPULAUAN SELAYAR,40304940,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,8,1,45,6,6,0,1,10,08 Apr 2026 17:09:57,97EEA38AA50A9992AE00
UPT SDI LALOASA NO. 101 KEPULAUAN SELAYAR,40304951,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,8,0,23,6,6,0,1,11,02 May 2026 09:29:16,43D0BC36E1B42756417A
UPT SDI LEMBANG MATENE NO 76 KEPULAUAN SELAYAR,40304934,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,12,3,39,6,6,0,1,13,21 Apr 2026 21:50:46,71909D75DEE2136D38B8
UPT SDI MARE-MARE NO 51 KEPULAUAN SELAYAR,40304918,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,10,2,82,6,6,1,1,7,24 Apr 2026 18:46:12,AD90B48CDF850546A084
UPT SDI PARADAIYA NO 99 KEPULAUAN SELAYAR,40304913,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,8,4,28,6,6,0,1,11,07 Apr 2026 23:05:51,C7EE6126521E643A5017
UPT SDI POLEBUNGING NO 53 KEPULAUAN SELAYAR,40304782,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,12,1,76,6,6,1,1,6,08 Apr 2026 07:44:57,E559A9D67A15E734AAA8
UPT SDI TEKO NO 100 KEPULAUAN SELAYAR,40304928,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,10,0,35,6,6,0,1,22,28 Apr 2026 10:04:14,A0A955E6EFBE76A8ACA3
UPT SDN CINIMABELA NO 27 KEPULAUAN SELAYAR,40304792,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,14,2,56,6,6,0,1,8,02 Apr 2026 13:26:47,ED4BA1E506E7DCB2FD3C
UPT SDN GANTARANG KEKE NO 25 KEPULAUAN SELAYAR,40304775,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,9,1,45,6,4,0,1,28,16 Apr 2026 10:29:44,BAE30DF3117EA6F1A49D
UPT SDN KABURU NO 28 KEPULAUAN SELAYAR,40304773,SD,Negeri,Kec. Bontomanai,191306,Kab. Kepulauan Selayar,191300,Prov. Sulawesi Selatan,190000,13,1,121,6,6,0,1,14,15 Apr 2026 20:16:32,FC5D69CCE387940E92C6
