nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPT SD NEGERI 072 ENO,40307075,SD,Negeri,Kec. Seko,192416,Kab. Luwu Utara,192400,Prov. Sulawesi Selatan,190000,9,3,116,6,6,0,1,33,02 May 2026 12:16:37,99DB47424AD1AF558DFD
UPT SD NEGERI 073 RANTEKASUMMONG,40307074,SD,Negeri,Kec. Seko,192416,Kab. Luwu Utara,192400,Prov. Sulawesi Selatan,190000,8,1,41,6,6,0,0,32,14 Apr 2026 00:20:53,178CD0A98D1828EC51B2
UPT SD NEGERI 074 SINGKALONG,40307073,SD,Negeri,Kec. Seko,192416,Kab. Luwu Utara,192400,Prov. Sulawesi Selatan,190000,8,4,71,6,6,0,1,23,20 Apr 2026 09:56:09,61F368114A103D4FF8AC
UPT SD NEGERI 075 LENGKONG,40307072,SD,Negeri,Kec. Seko,192416,Kab. Luwu Utara,192400,Prov. Sulawesi Selatan,190000,7,2,40,6,6,0,0,20,29 Apr 2026 13:30:43,D198F4320FBA7F745498
UPT SD NEGERI 076 PARAHALEANG,40307071,SD,Negeri,Kec. Seko,192416,Kab. Luwu Utara,192400,Prov. Sulawesi Selatan,190000,5,2,30,5,6,0,0,15,10 Mar 2026 12:47:10,273632B73F6635192E23
UPT SD NEGERI 077 PADANG BALUA,40307070,SD,Negeri,Kec. Seko,192416,Kab. Luwu Utara,192400,Prov. Sulawesi Selatan,190000,8,3,63,6,6,0,1,16,24 Apr 2026 18:04:12,D9F14CA8F4EBD9A9081A
UPT SD NEGERI 078 BANA,40307069,SD,Negeri,Kec. Seko,192416,Kab. Luwu Utara,192400,Prov. Sulawesi Selatan,190000,6,3,13,6,6,0,0,10,20 Apr 2026 09:56:46,2AB8893B89D957A18BD5
UPT SD NEGERI 079 TANETE,40307068,SD,Negeri,Kec. Seko,192416,Kab. Luwu Utara,192400,Prov. Sulawesi Selatan,190000,7,1,63,6,6,0,1,11,06 Mar 2026 09:41:36,5642FD0A7D6D0AAD42D0
UPT SD NEGERI 080 TURONG,40307067,SD,Negeri,Kec. Seko,192416,Kab. Luwu Utara,192400,Prov. Sulawesi Selatan,190000,8,2,68,6,6,0,1,9,23 Apr 2026 00:06:06,2CBEDFDA4AD56D2BD715
UPT SD NEGERI 081 BUSAK,40307066,SD,Negeri,Kec. Seko,192416,Kab. Luwu Utara,192400,Prov. Sulawesi Selatan,190000,7,3,35,6,6,0,1,9,04 Mar 2026 14:51:41,0C92FC1D07FBBAD3DBAB
UPT SD NEGERI 082 LODANG,40307083,SD,Negeri,Kec. Seko,192416,Kab. Luwu Utara,192400,Prov. Sulawesi Selatan,190000,9,2,120,6,6,0,1,30,24 Apr 2026 12:05:19,F820BC94AFC0AB388BDC
UPT SD NEGERI 083 LAMBIRI,40307084,SD,Negeri,Kec. Seko,192416,Kab. Luwu Utara,192400,Prov. Sulawesi Selatan,190000,7,2,49,6,5,0,0,5,06 Mar 2026 09:51:36,51159029C2A4755666D2
