nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SDN 137 INPRES KAEMBA,40300173,SD,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,31,5,735,24,14,0,1,14,17 Apr 2026 09:23:40,51323A7DB0DFB389CC1B
UPTD SDN 145 INPRES PAMPANGAN,40300186,SD,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,17,2,410,13,10,0,1,42,30 Apr 2026 08:40:57,A90987004DF63D51EE7F
UPTD SDN 162 INPRES KAMPALA,40300144,SD,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,8,3,192,6,6,0,1,29,02 May 2026 09:04:15,B3EB406C8F636EFC0540
UPTD SDN 192 INPRES TAKKALASI,40300105,SD,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,24,3,526,18,7,1,1,47,30 Apr 2026 07:27:51,2EDBAE0FEC941F947BB4
UPTD SDN 194 INPRES SOSSOE,40300145,SD,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,9,4,168,7,6,1,1,25,10 Apr 2026 20:13:09,ABA77AF4AF58489D2060
UPTD SDN 57 BULU-BULU,40300446,SD,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,31,3,752,24,24,1,1,52,02 May 2026 10:40:35,96CC94A915CC70D3A981
UPTD SDN 62 PALISI,40300442,SD,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,23,4,484,17,7,0,1,53,30 Apr 2026 08:55:17,A392C173AD84E10AC9B0
UPTD SDN 79 MAMBUE,40300454,SD,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,11,3,329,12,13,0,1,41,12 Apr 2026 04:39:05,BFA94171B927E2D54BE1
UPTD SDN 80 KURI LOMPO,40300450,SD,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,8,3,155,6,5,1,1,19,27 Mar 2026 06:58:39,8D1625DE8BB18F4EF5C8
UPTD SDN 82 PATTENE,40300482,SD,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,22,4,489,18,9,0,2,22,21 Apr 2026 10:57:25,71AB6519C2EF572A9EFB
SDI BAIT QURANY NURUL ANWAR,69983818,SD,Swasta,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,9,1,174,9,12,1,1,17,11 Mar 2026 11:44:50,5D7C4BE5FBAC15E880A9
UPTD SMPN 17 MARUSU,40300237,SMP,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,17,5,402,13,12,2,1,39,20 Apr 2026 09:06:29,5193DE01CC3A170EB1E0
UPTD SMPN 42 SATAP PAMPANGAN,69759138,SMP,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,10,5,186,7,7,0,0,24,27 Apr 2026 11:28:40,682198DF72FDE7D6E3EC
UPTD SMPN 9 MARUSU,40300231,SMP,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,29,11,684,22,23,1,1,26,29 Apr 2026 19:26:03,06E7AD7E03B9C383362F
SMP ISLAM AL WASI,40300223,SMP,Swasta,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,10,1,122,6,5,2,1,60,20 Apr 2026 20:15:47,0A52347CAB37C345EFC1
SMAN 9 MAROS,40308326,SMA,Negeri,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,48,7,776,23,23,9,2,36,19 Apr 2026 19:37:04,78A865967320E0E3F483
SMKS TRIS,40315455,SMK,Swasta,Kec. Marusu,190110,Kab. Maros,190100,Prov. Sulawesi Selatan,190000,9,1,42,6,9,2,1,14,25 Apr 2026 14:24:41,439A45EECB4C47DE8677
