nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPT SDN 11 MARANGANCANG,40300697,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,7,2,46,6,6,0,1,13,02 May 2026 09:03:14,EB1BAE545C5A47001972
UPT SDN 13 BENTENG,40300735,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,8,2,28,6,6,0,1,8,11 Apr 2026 15:10:20,58642224C635727A874E
UPT SDN 15 PESENG,40300744,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,8,2,109,6,6,0,1,17,30 Apr 2026 12:49:47,3DA5CAF71171B6AE7B49
UPT SDN 16 MANGGALUNG,40300867,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,7,1,37,6,6,0,1,14,16 Apr 2026 20:20:12,BFB264267EA5ABE230E8
UPT SDN 19 TAMARUPA,40300894,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,6,3,70,6,7,1,1,8,11 Apr 2026 11:09:45,BC748A2FB0A28C659458
UPT SDN 20 MANDALLE,40300878,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,7,2,160,6,8,1,1,18,08 Apr 2026 18:55:02,4D3D5E38ED78CABAD87D
UPT SDN 21 GALLA RAYA,40300882,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,8,3,79,6,7,0,1,10,08 Apr 2026 13:39:01,B321A65441D98B8CF538
UPT SDN 29 BENTENG,40300833,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,7,1,139,6,6,0,1,27,06 Apr 2026 10:38:52,AD84EC0B6F03D486001F
UPT SDN 30 MANGGALUNG,40300548,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,7,1,68,6,6,1,1,14,09 Apr 2026 11:13:50,B5C2B9009C483A35EDDE
UPT SDN 31 LEMPANGANG,40300543,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,7,2,56,6,6,0,1,11,08 Apr 2026 04:35:47,9402E3623C1D6813C244
UPT SDN 33 BODDIE,40300583,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,7,3,86,6,6,1,1,26,06 Apr 2026 19:29:41,8D09254C19913D6DDB56
UPT SDN 38 TAMARUPA,40300501,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,7,3,102,6,6,1,1,19,08 Apr 2026 15:02:41,024227A60569F37B947E
UPT SDN 41 AKKOBANG,40300489,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,5,2,50,6,6,0,1,6,06 Apr 2026 07:34:02,7C5B24BF50C79DE9509B
UPT SDN 43 LAMASA,40300495,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,7,0,39,6,6,0,1,13,05 Apr 2026 19:55:32,CDC7C5D5C19C42B853A0
UPT SDN 44 COPPO TOMPONG,40300511,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,8,1,46,6,6,0,1,10,05 Apr 2026 12:44:16,DD598F66686C86407AC2
UPT SDN 45 MANDALLE,40300526,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,6,1,94,6,6,1,1,1,22 Apr 2026 03:12:04,4C2EFC6D807CD8C4E92A
UPT SDN 46 WAE TUO,40300528,SD,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,7,3,48,6,6,0,0,11,21 Apr 2026 18:22:05,F511787777177A014798
UPT SMPN 1 MANDALLE,40300614,SMP,Negeri,Kec. Mandalle,190212,Kab. Pangkajene Dan Kepulauan,190200,Prov. Sulawesi Selatan,190000,19,10,235,9,11,3,1,59,30 Apr 2026 08:38:24,B5E1FD6612D2CE9A9D54
