nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPT SD NEGERI 163 PINRANG,40305362,SD,Negeri,Kec. Cempa,191406,Kab. Pinrang,191400,Prov. Sulawesi Selatan,190000,7,3,112,6,6,0,1,11,01 May 2026 15:45:15,B84FDC045A3F2C0EB61A
UPT SD NEGERI 221 PINRANG,40305301,SD,Negeri,Kec. Cempa,191406,Kab. Pinrang,191400,Prov. Sulawesi Selatan,190000,7,3,101,6,6,0,1,7,28 Apr 2026 10:14:54,0A1A451CC13FD6FF63F4
UPT SD NEGERI 222 PINRANG,40305302,SD,Negeri,Kec. Cempa,191406,Kab. Pinrang,191400,Prov. Sulawesi Selatan,190000,7,3,115,6,6,0,1,14,22 Apr 2026 10:40:55,36A081D4D8C32A95E6A2
UPT SD NEGERI 264 PINRANG,40305059,SD,Negeri,Kec. Cempa,191406,Kab. Pinrang,191400,Prov. Sulawesi Selatan,190000,7,2,58,6,6,0,1,10,02 Apr 2026 20:28:57,0EA093F614457FEAA8BC
UPT SD NEGERI 265 PINRANG,40305060,SD,Negeri,Kec. Cempa,191406,Kab. Pinrang,191400,Prov. Sulawesi Selatan,190000,7,4,144,6,9,0,1,11,23 Apr 2026 11:57:52,7D3FA443CBC027F53110
UPT SD NEGERI 33 PINRANG,40305001,SD,Negeri,Kec. Cempa,191406,Kab. Pinrang,191400,Prov. Sulawesi Selatan,190000,9,2,85,6,6,1,1,32,21 Apr 2026 10:20:50,1AFF1A07DF980D21E60B
UPT SD NEGERI 34 PINRANG,40305002,SD,Negeri,Kec. Cempa,191406,Kab. Pinrang,191400,Prov. Sulawesi Selatan,190000,8,1,129,6,6,0,1,16,22 Apr 2026 08:46:40,93D38D18F08D90A074DE
UPT SD NEGERI 35 PINRANG,40305003,SD,Negeri,Kec. Cempa,191406,Kab. Pinrang,191400,Prov. Sulawesi Selatan,190000,7,3,110,6,6,0,1,13,25 Apr 2026 10:24:07,FA9E23FA195FFE11150D
UPT SD NEGERI 37 PINRANG,40305005,SD,Negeri,Kec. Cempa,191406,Kab. Pinrang,191400,Prov. Sulawesi Selatan,190000,14,2,197,12,6,0,1,53,22 Apr 2026 20:38:25,8C34D6430289EBA91466
UPT SD NEGERI 40 PINRANG,40305009,SD,Negeri,Kec. Cempa,191406,Kab. Pinrang,191400,Prov. Sulawesi Selatan,190000,8,1,163,6,6,0,1,20,30 Apr 2026 01:26:26,DFC5FCD9E3BBDEA19732
UPT SD NEGERI 41 PINRANG,40304997,SD,Negeri,Kec. Cempa,191406,Kab. Pinrang,191400,Prov. Sulawesi Selatan,190000,8,2,81,6,6,1,1,13,25 Apr 2026 10:27:45,A451C9C7C99C04C1F8E1
