nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 16 SAMPODDO,40307885,SD,Negeri,Kec. Wara Selatan,196203,Kota Palopo,196200,Prov. Sulawesi Selatan,190000,14,4,294,11,8,0,1,15,16 Apr 2026 10:20:50,6E1C06AC10227F04761C
SD NEGERI 29 SONGKA,40307870,SD,Negeri,Kec. Wara Selatan,196203,Kota Palopo,196200,Prov. Sulawesi Selatan,190000,15,3,335,12,10,0,1,24,13 Apr 2026 12:45:24,61A23E91C7A4557F4081
SD NEGERI 43 TAKKALALA,40307866,SD,Negeri,Kec. Wara Selatan,196203,Kota Palopo,196200,Prov. Sulawesi Selatan,190000,10,3,274,11,9,0,1,19,30 Apr 2026 08:37:59,A9F3FA788D5682E013AF
SD Islam Terpadu Insan Madani,40320338,SD,Swasta,Kec. Wara Selatan,196203,Kota Palopo,196200,Prov. Sulawesi Selatan,190000,61,9,623,24,25,0,3,11,06 Mar 2026 07:48:11,D99BF75F10DC423B4C34
SMP NEGERI 10 PALOPO,40307830,SMP,Negeri,Kec. Wara Selatan,196203,Kota Palopo,196200,Prov. Sulawesi Selatan,190000,17,7,182,8,14,3,2,12,21 Apr 2026 12:08:37,10405AD43309043712CC
SMP ISLAM TERPADU INSAN MADANI,69988133,SMP,Swasta,Kec. Wara Selatan,196203,Kota Palopo,196200,Prov. Sulawesi Selatan,190000,39,9,454,16,18,2,1,31,02 May 2026 12:56:36,9125DA389FEBA57FDBC6
SMPIT DARUL QURAN INSAN MADANI PALOPO,70053218,SMP,Swasta,Kec. Wara Selatan,196203,Kota Palopo,196200,Prov. Sulawesi Selatan,190000,3,2,28,2,3,0,0,16,21 Apr 2026 09:33:26,0D725DEB3A365F3427B3
SMAN 5 PALOPO,40310361,SMA,Negeri,Kec. Wara Selatan,196203,Kota Palopo,196200,Prov. Sulawesi Selatan,190000,52,7,706,22,21,4,1,42,29 Apr 2026 14:45:16,E275F7F5D5DCFE3DA3EC
SMAIT INSAN MADANI PALOPO,70034096,SMA,Swasta,Kec. Wara Selatan,196203,Kota Palopo,196200,Prov. Sulawesi Selatan,190000,20,4,118,5,6,0,0,36,08 Apr 2026 09:30:08,6F33D04531503CE91254
SMKN 4 PALOPO,40318580,SMK,Negeri,Kec. Wara Selatan,196203,Kota Palopo,196200,Prov. Sulawesi Selatan,190000,31,6,212,13,19,2,1,47,29 Apr 2026 09:25:31,DC1E436777C545FD6256
