nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES BATUI KAYOA SPA,40201780,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,8,2,65,6,6,0,1,27,27 Apr 2026 09:21:54,6ACCA15ABA4604FBDC2D
SD INPRES BATUI KAYOA SPB,40201821,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,7,4,72,6,6,0,1,33,15 Apr 2026 15:12:05,4FB41F0AA24F17B48546
SD INPRES BATUI KAYOA SPC,40201896,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,9,3,128,7,7,0,1,23,06 Apr 2026 09:07:10,B76D7C95AE4A47D38A24
SD INPRES BONEBALANTAK,40201918,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,10,3,188,8,9,0,1,1,23 Apr 2026 17:49:31,1340739E0802BC4664A5
SD INPRES MALEO JAYA 3,40201771,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,8,2,113,6,6,1,1,14,20 Apr 2026 20:53:20,149BD4C638AEF8ED4799
SD INPRES MALEO JAYA 4,40201767,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,3,3,55,6,6,0,1,21,25 Mar 2026 15:32:33,DDDB2E25769015B24BD0
SD INPRES MANAMPAK,40201925,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,8,5,118,6,6,0,1,30,23 Apr 2026 11:49:36,698481BBAF15281CA31C
SD INPRES MASING,40201930,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,6,3,84,6,7,0,1,17,21 Apr 2026 14:29:50,96B5F0CB9F345FA65D09
SD INPRES PAISUBULOLI,40201838,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,8,3,143,6,6,0,1,21,02 Apr 2026 07:10:45,7E6B6A0C4694DE2F75EE
SD INPRES SINORANG,40201841,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,7,4,76,6,6,1,1,26,27 Apr 2026 10:50:24,CAF3E7EB557E56BEF9F5
SD INPRES TUMPU JAYA 1,40201748,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,5,4,22,6,6,0,1,25,30 Apr 2026 22:21:37,B63A0467397EF133C855
SD NEGERI 2 SINORANG,40204314,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,6,5,36,6,6,0,1,30,16 Apr 2026 16:31:07,B7F6323ED6A33B2284C0
SD NEGERI SINORANG,40201674,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,7,3,114,6,6,0,1,12,11 Mar 2026 10:52:38,6935DC90B99BA0272B6D
SD NEGERI TRIJADI 1 SUKAMAJU,40204354,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,8,3,49,6,6,0,1,15,09 Apr 2026 21:38:37,D3E1921B628546BFB4E1
SD NEGERI TUMPU JAYA 2,40201585,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,5,1,43,6,6,0,1,10,06 Mar 2026 07:29:40,BED87C6D727E76320D46
SDN 3 SINORANG,69765047,SD,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,8,2,48,6,3,0,1,23,20 Apr 2026 09:20:18,8D51C6D38F620F716089
SD MUHAMMADIYAH TOMBIOBONG,70040233,SD,Swasta,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,4,2,27,6,1,0,0,3,02 Feb 2026 13:53:56,7807F03568F50888BD71
SD-IT DARUL KHAIR GORI GORI,70042922,SD,Swasta,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,3,2,61,3,3,0,0,6,03 Apr 2026 10:07:53,AA7457F403D18037CDD7
SMP NEGERI 2 BATUI,40201664,SMP,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,19,3,286,10,12,1,1,26,29 Apr 2026 12:17:58,3D84DE8A86699ACDAA0F
SMP NEGERI 3 BATUI,40204301,SMP,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,21,3,140,6,8,1,1,12,15 Apr 2026 12:31:29,598987EF18BE0899DFAE
SMP NEGERI SATAP TUMPU JAYA 2,69945062,SMP,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,11,1,14,3,3,0,1,52,08 Apr 2026 21:52:44,AC04F16BA8FA1996BBCA
SMP DARUL KHAIR MASING,40201614,SMP,Swasta,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,8,1,63,3,3,2,0,13,07 Mar 2026 00:00:13,C309F39AE0C218F90EBA
SMAN 1 Batui Selatan,69978146,SMA,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,24,6,316,12,8,4,1,41,20 Apr 2026 12:56:30,05957B764E3EEA7495B9
SMKN 1 BATUI SELATAN,69775323,SMK,Negeri,Kec. Batui Selatan,180415,Kab. Banggai,180400,Prov. Sulawesi Tengah,180000,22,4,188,10,14,1,1,36,05 Mar 2026 10:45:23,7510A346342FDEB565B8
