nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN 1 BANAWA,40200926,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,8,2,135,6,7,0,1,21,28 Apr 2026 06:32:06,6843AF7F54825DBB871B
SDN 10 BANAWA,40200465,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,8,4,138,6,10,0,1,28,30 Apr 2026 17:57:09,01354FB0DF4A1378A35C
SDN 11 BANAWA,40201102,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,10,7,146,6,10,0,1,35,20 Apr 2026 13:50:07,1F6289135F066A785E60
SDN 12 BANAWA,40201057,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,7,4,151,7,6,0,1,48,22 Apr 2026 06:43:37,BAEEFFBF2BF94E17F186
SDN 13 BANAWA,40200437,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,13,6,248,12,9,0,1,31,30 Apr 2026 07:19:25,73D27A79DCA547BE0AA9
SDN 14 BANAWA,40201097,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,13,2,209,10,10,0,1,31,02 Mar 2026 11:24:34,E74AB3592F37E6B3C07E
SDN 15 BANAWA,40200955,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,8,4,81,6,6,1,2,53,22 Apr 2026 09:02:30,70413A80726F95545160
SDN 16 BANAWA,40201043,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,9,4,104,6,7,0,3,19,28 Apr 2026 09:18:33,35BDCD12DF3B425F3A23
SDN 17 BANAWA,40201098,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,16,4,225,12,10,0,1,99,30 Mar 2026 18:51:53,EF102BE8103B232B7C46
SDN 18 BANAWA,40201085,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,8,4,63,6,6,0,1,19,24 Apr 2026 09:12:23,2D6EAF5AD9EBB13F0192
SDN 19 BANAWA,40201060,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,7,4,134,6,6,0,1,17,08 Apr 2026 06:59:16,6BC3E91AAD5478E1938D
SDN 2 BANAWA,40200420,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,13,4,185,9,8,0,1,274,30 Apr 2026 07:49:03,7BA6B70410EAC761AD03
SDN 20 BANAWA,40201055,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,7,4,83,6,7,0,1,313,30 Apr 2026 11:40:29,E8D879CF01B703F623A5
SDN 21 BANAWA,40201096,SD,Negeri,Kec. Banawa,180208,Kab. Donggala,180200,Prov. Sulawesi Tengah,180000,8,3,114,6,6,0,1,14,29 Apr 2026 18:35:58,8228F6FB27910D94AE4C
