nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD INPRES 1 WANAMUKTI,40203071,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,8,3,135,6,6,0,1,9,29 Apr 2026 07:45:36,4E5D4A208901DAFE7F16
SD INPRES 2 WANAMUKTI,40203244,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,7,2,158,6,6,0,0,9,29 Apr 2026 10:53:32,3DE1E28EF053459B1E61
SD INPRES 3 WANAMUKTI,40203170,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,7,1,146,6,6,1,1,7,01 Mar 2026 21:57:50,F6E09C0AB994752473B4
SD INPRES BAJO,40203156,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,8,4,116,6,7,0,1,27,16 Apr 2026 12:45:13,156B0D781831716233F2
SD INPRES BERINGIN JAYA,40203158,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,7,4,176,6,6,0,0,13,23 Apr 2026 07:19:50,626503B7E047ADF699D7
SD INPRES BOLANO,40203160,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,5,2,86,6,7,1,1,22,21 Apr 2026 11:44:00,6ACDEC00CAB100305F32
SD INPRES BOMBAN,40203175,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,7,2,98,6,6,0,0,1,05 Mar 2026 06:01:35,3395DB390CF61EB5485E
SD INPRES SRITABAANG,40203202,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,7,3,130,6,7,0,1,8,16 Apr 2026 09:19:48,C102CA0871D54084ABA0
SD KECIL BANGKARA,40205217,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,6,1,66,6,6,1,1,30,01 May 2026 10:25:43,69BC4FFCCD7AE5918310
SD KECIL BOLANO,40205216,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,5,4,26,6,5,0,0,11,05 Mar 2026 05:50:08,9DA624EB08E34C59916E
SD KECIL BOMBAN,40206220,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,3,1,20,6,5,0,0,12,05 Mar 2026 05:53:41,206051EEF8A84CC38074
SD KECIL TALUNDANG,40205214,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,6,1,29,6,6,0,0,7,27 Mar 2026 08:12:07,DFCCA9B90F0AE551592A
SD NEGERI 1 BOLANO,40202917,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,9,3,182,7,6,0,1,15,20 Apr 2026 10:24:45,1A3337B2559EC3455B9A
SD NEGERI 2 BOLANO,40202911,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,6,1,119,6,6,1,1,21,18 Apr 2026 13:08:12,B5F0D1005C968B8B4121
SD NEGERI WANAMUKTI UTARA,69947875,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,6,1,52,6,4,0,1,24,28 Apr 2026 09:31:07,A03D815CB878BC8D8314
SDN BAJO,69878004,SD,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,7,2,159,6,5,0,0,18,27 Apr 2026 17:09:43,9E96F0E3466D316F1D90
SD SMP SATU ATAP NEGERI BOMBAN,69856253,SMP,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,9,1,34,3,3,0,0,10,30 Jan 2026 20:20:08,B38B2B42EBEE58E7BEB2
SMP NEGERI 2 BOLANO,69946188,SMP,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,9,1,150,6,7,4,3,33,27 Apr 2026 09:32:15,92CFA02764D1FF6528AE
SMP NEGERI 4 BOLANO LAMBUNU,40202966,SMP,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,14,2,194,8,10,3,1,24,27 Apr 2026 10:04:00,67A332B11B5FD3E1AA20
SMAN 1 BOLANO,69786421,SMA,Negeri,Kec. Bolano,180891,Kab. Parigi Moutong,180800,Prov. Sulawesi Tengah,180000,27,4,399,12,11,3,1,44,29 Apr 2026 09:40:16,B05F00EA528EA3496B6A
