nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 MEKO,40201477,SD,Negeri,Kec. Pamona Barat,180316,Kab. Poso,180300,Prov. Sulawesi Tengah,180000,10,2,169,7,12,0,1,31,13 Apr 2026 18:43:28,5B7191AB12BA0730044F
SD NEGERI 1 SALUKAIA,40201151,SD,Negeri,Kec. Pamona Barat,180316,Kab. Poso,180300,Prov. Sulawesi Tengah,180000,8,1,64,6,13,0,1,48,31 Mar 2026 06:56:15,C88DB01FBF7AD797D527
SD NEGERI 1 TOINASA,40201469,SD,Negeri,Kec. Pamona Barat,180316,Kab. Poso,180300,Prov. Sulawesi Tengah,180000,11,2,82,6,7,0,1,30,21 Apr 2026 06:24:46,042E16EC5849949B73F5
SD NEGERI 2 MEKO,40201486,SD,Negeri,Kec. Pamona Barat,180316,Kab. Poso,180300,Prov. Sulawesi Tengah,180000,8,2,88,6,6,0,1,17,15 Apr 2026 07:53:54,BCA8FB298D195C402C31
SD NEGERI 2 SALUKAIA,40203882,SD,Negeri,Kec. Pamona Barat,180316,Kab. Poso,180300,Prov. Sulawesi Tengah,180000,9,3,134,6,9,0,1,31,01 May 2026 17:37:58,FFAC7A1D81E41E349685
SD NEGERI 2 TOINASA,40201441,SD,Negeri,Kec. Pamona Barat,180316,Kab. Poso,180300,Prov. Sulawesi Tengah,180000,8,2,69,6,8,1,1,20,04 Mar 2026 16:48:34,2C300857BE51110F3424
SD NEGERI 3 MEKO,40204647,SD,Negeri,Kec. Pamona Barat,180316,Kab. Poso,180300,Prov. Sulawesi Tengah,180000,9,2,54,6,7,0,0,29,09 Apr 2026 07:39:27,72019B4856B65592B5CF
SD NEGERI 3 TOINASA,40203884,SD,Negeri,Kec. Pamona Barat,180316,Kab. Poso,180300,Prov. Sulawesi Tengah,180000,10,1,120,6,7,0,1,14,14 Apr 2026 11:04:02,814CBC810CB6FE2B10DF
SD NEGERI OWINI,40201124,SD,Negeri,Kec. Pamona Barat,180316,Kab. Poso,180300,Prov. Sulawesi Tengah,180000,10,0,57,6,6,1,1,8,07 Mar 2026 06:44:51,C3FE63DFAA802A460B81
SD NEGERI TAIPA,40201143,SD,Negeri,Kec. Pamona Barat,180316,Kab. Poso,180300,Prov. Sulawesi Tengah,180000,8,2,32,6,6,0,0,26,16 Mar 2026 21:11:17,A92D53BB0E2F365BE5A3
SMP NEGERI 1 PAMONA BARAT,40201300,SMP,Negeri,Kec. Pamona Barat,180316,Kab. Poso,180300,Prov. Sulawesi Tengah,180000,19,7,210,8,11,3,1,25,21 Apr 2026 08:04:44,3908EFBB03338417EE2D
SMP NEGERI 2 PAMONA BARAT,40201307,SMP,Negeri,Kec. Pamona Barat,180316,Kab. Poso,180300,Prov. Sulawesi Tengah,180000,13,3,176,7,9,1,1,21,20 Apr 2026 09:06:09,FDCBFB198184DF212226
SMAN 1 PAMONA BARAT,40203907,SMA,Negeri,Kec. Pamona Barat,180316,Kab. Poso,180300,Prov. Sulawesi Tengah,180000,22,5,291,10,8,4,1,34,30 Apr 2026 09:28:27,4CC062F5A0FC32F5E928
