nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 05 ENANO,40402491,SD,Negeri,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,13,0,50,6,6,0,1,18,10 Feb 2026 09:12:29,6BD55C041554686DA5F7
SD NEGERI 109 LENGORA PANTAI,40402437,SD,Negeri,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,11,4,57,6,6,0,1,49,02 Mar 2026 21:59:26,474C0D7F6EB883DD0EF8
SD NEGERI 131 LENGORA PANTAI,40405715,SD,Negeri,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,8,1,81,6,6,0,0,35,28 Apr 2026 21:13:18,457C21922C684E93A42F
SD NEGERI 149 LENGORA SELATAN,40404992,SD,Negeri,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,12,3,51,6,6,0,1,15,07 Apr 2026 18:34:12,433802300FE3E92C8FEE
SD NEGERI 25 ULUNGKURA,40404047,SD,Negeri,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,11,2,77,6,6,0,1,22,25 Apr 2026 19:11:35,67C2CF06540F2F731A3C
SD NEGERI 55 LENGORA,40403754,SD,Negeri,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,12,0,65,6,6,0,1,19,09 Apr 2026 08:28:39,89D837ACDC7784F424E5
SD NEGERI 63 TANGKENO,40404056,SD,Negeri,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,10,0,32,6,7,0,1,18,05 Apr 2026 04:46:23,CEC7B54C069B08512640
SD NEGERI 95 LAMONGGI,40402436,SD,Negeri,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,9,2,52,6,6,0,1,17,17 Apr 2026 06:56:49,715C6330CDDEFBD8BD4C
SDS LANTIMOASI,40405144,SD,Swasta,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,5,1,23,5,5,0,0,19,28 Apr 2026 10:23:48,03540313789A12EBC4F3
SD-SMP SATAP NEGERI 02 KABAENA TENGAH,40404093,SMP,Negeri,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,11,3,37,3,3,1,1,68,23 Apr 2026 07:46:10,AADF7FE8BA5EBB265611
SD-SMP SATAP NEGERI 13 KABAENA TENGAH,40404724,SMP,Negeri,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,9,2,13,3,3,1,1,41,29 Apr 2026 20:22:38,02654A2EF48E8FC1D6DB
SMP NEGERI 11 KABAENA TENGAH,40402453,SMP,Negeri,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,19,9,122,6,5,3,1,129,24 Apr 2026 07:45:47,240EDF6F7A89621221BF
SMA NEGERI 08 BOMBANA,40404221,SMA,Negeri,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,15,5,81,3,5,3,1,17,03 Mar 2026 12:35:17,1B8D825BA26737977EC8
SMK NEGERI 08 BOMBANA,70004747,SMK,Negeri,Kec. Kabaena Tengah,200716,Kab. Bombana,200700,Prov. Sulawesi Tenggara,200000,28,9,95,12,9,0,1,20,27 Apr 2026 10:03:19,FAC2F60E1668C603548F
