nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD Negeri 1 Kodeoha,40402270,SD,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,11,1,136,8,9,0,1,27,23 Apr 2026 17:53:09,1948D26C02046FA4212D
SD Negeri 10 Kodeoha,40405239,SD,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,5,3,19,6,6,0,1,41,28 Feb 2026 09:44:39,71AE00CD0412C05519BC
SD Negeri 11 Kodeoha,40402272,SD,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,8,4,123,6,6,0,1,10,15 Apr 2026 18:45:08,A572FF5E2F9A672148A6
SD Negeri 12 Kodeoha,40405236,SD,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,9,3,124,6,7,0,1,32,29 Apr 2026 07:48:28,DCD248CFDFA0585314F0
SD Negeri 2 Kodeoha,40402217,SD,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,10,3,110,6,6,0,1,10,27 Apr 2026 15:41:47,62D03A62DEFE3757A255
SD Negeri 3 Kodeoha,40402215,SD,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,10,3,135,6,9,0,1,10,15 Apr 2026 13:34:45,A3199D63EEEFF7E68E39
SD Negeri 4 Kodeoha,40402157,SD,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,8,4,75,6,6,1,1,18,02 May 2026 08:06:32,635CF8482F910EA6CF2E
SD Negeri 5 Kodeoha,40402213,SD,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,8,3,92,6,6,0,1,15,19 Apr 2026 23:09:24,A39891FF31B317951BAC
SD Negeri 6 Kodeoha,40402177,SD,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,10,2,126,7,7,1,1,12,16 Apr 2026 18:51:52,89D7F5A41B8284937CBE
SD Negeri 7 Kodeoha,40402247,SD,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,9,2,91,6,6,0,0,13,27 Apr 2026 05:40:14,3D64B0F8D2B1661E87E5
SD Negeri 8 Kodeoha,40402214,SD,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,8,2,77,6,6,0,1,9,06 Mar 2026 08:10:17,F54FF27117DEB1A8C392
SD Negeri 9 Kodeoha,40404993,SD,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,9,3,100,6,7,0,1,12,24 Apr 2026 06:02:42,B1BD24862F6DA9D27C63
SMP Negeri 6 Kolaka Utara,40402186,SMP,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,20,6,242,9,14,2,1,19,10 Apr 2026 18:38:05,B1B0E3A61B627679325F
SMAN 1 KODEOHA,40403524,SMA,Negeri,Kec. Kodeoha,200805,Kab. Kolaka Utara,200800,Prov. Sulawesi Tenggara,200000,35,4,420,13,20,4,1,17,02 Apr 2026 16:11:44,DAA1A347C1EDE6805111
