nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 OHEO,40403882,SD,Negeri,Kec. Oheo,200908,Kab. Konawe Utara,200900,Prov. Sulawesi Tenggara,200000,14,1,81,6,6,0,1,18,17 Apr 2026 22:03:00,ABF6C87E72A1571D5777
SD NEGERI 2 OHEO,40403949,SD,Negeri,Kec. Oheo,200908,Kab. Konawe Utara,200900,Prov. Sulawesi Tenggara,200000,11,1,63,6,6,0,1,16,04 Apr 2026 23:53:25,89664C66503B217F483C
SD NEGERI 3 OHEO,40403943,SD,Negeri,Kec. Oheo,200908,Kab. Konawe Utara,200900,Prov. Sulawesi Tenggara,200000,13,1,104,6,6,0,1,18,23 Apr 2026 20:20:10,30DC10861AD3A1B8372F
SD NEGERI 4 OHEO,40403889,SD,Negeri,Kec. Oheo,200908,Kab. Konawe Utara,200900,Prov. Sulawesi Tenggara,200000,16,1,91,6,8,0,1,25,04 Mar 2026 22:40:03,DE478296307A403E0A18
SD NEGERI 5 OHEO,40403884,SD,Negeri,Kec. Oheo,200908,Kab. Konawe Utara,200900,Prov. Sulawesi Tenggara,200000,11,1,114,6,6,0,1,20,24 Apr 2026 09:38:38,8C8368F40ED40940105C
SD NEGERI 6 OHEO,40404824,SD,Negeri,Kec. Oheo,200908,Kab. Konawe Utara,200900,Prov. Sulawesi Tenggara,200000,12,1,29,6,6,0,1,38,06 Mar 2026 07:18:44,C347F3D8535F04DCDE4D
SD NEGERI 7 OHEO,40403897,SD,Negeri,Kec. Oheo,200908,Kab. Konawe Utara,200900,Prov. Sulawesi Tenggara,200000,10,1,74,6,6,0,3,33,11 Apr 2026 20:31:04,8E4ECA62DBDC39FF6F4E
SD NEGERI 8 OHEO,40404753,SD,Negeri,Kec. Oheo,200908,Kab. Konawe Utara,200900,Prov. Sulawesi Tenggara,200000,12,1,33,6,6,0,1,9,28 Feb 2026 22:02:57,EE692278CAB905191288
SD NEGERI 9 OHEO,69962338,SD,Negeri,Kec. Oheo,200908,Kab. Konawe Utara,200900,Prov. Sulawesi Tenggara,200000,16,3,23,6,6,0,1,29,28 Feb 2026 10:30:00,6D61D7977469EB677358
SMP NEGERI 1 OHEO,40403963,SMP,Negeri,Kec. Oheo,200908,Kab. Konawe Utara,200900,Prov. Sulawesi Tenggara,200000,12,2,103,5,6,3,1,33,22 Apr 2026 08:56:20,93F350C9BC38C8501B87
SMP NEGERI 2 OHEO,40403985,SMP,Negeri,Kec. Oheo,200908,Kab. Konawe Utara,200900,Prov. Sulawesi Tenggara,200000,19,2,123,6,6,2,1,26,21 Apr 2026 09:44:00,ABFDBD7A00A5C081A174
SMP NEGERI SATAP 7 OHEO,40404826,SMP,Negeri,Kec. Oheo,200908,Kab. Konawe Utara,200900,Prov. Sulawesi Tenggara,200000,13,1,27,3,3,1,1,11,30 Apr 2026 09:18:01,C421AA21CD3E11A77E04
SMAN 1 OHEO,40403968,SMA,Negeri,Kec. Oheo,200908,Kab. Konawe Utara,200900,Prov. Sulawesi Tenggara,200000,16,11,177,6,11,4,1,23,23 Apr 2026 15:00:15,093A3A4440FBA8E444B4
