nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SD NEGERI 1 KABANGKA,40400872,SD,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,13,3,37,6,6,0,1,6,25 Feb 2026 20:51:47,AAD67F3CF1AAE140B863
UPTD SD NEGERI 10 KABANGKA,40400809,SD,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,12,3,109,8,6,0,0,30,30 Apr 2026 11:09:26,9E4E0D0943951FAF854A
UPTD SD NEGERI 2 KABANGKA,40400652,SD,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,13,1,82,6,6,0,1,22,06 Mar 2026 22:34:55,97969EC3CC76859115D9
UPTD SD NEGERI 3 KABANGKA,40400640,SD,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,13,4,138,8,6,0,1,38,17 Apr 2026 10:35:47,4485664C023EBD819228
UPTD SD NEGERI 4 KABANGKA,40400558,SD,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,13,2,66,6,6,0,1,66,01 May 2026 16:26:12,4D703E7E3832E47C9776
UPTD SD NEGERI 5 KABANGKA,40400578,SD,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,17,2,224,12,12,1,1,26,02 May 2026 05:43:50,D64D54AC139EA6F81FB3
UPTD SD NEGERI 6 KABANGKA,40400735,SD,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,14,4,139,6,6,0,1,48,02 May 2026 04:35:30,15B5CD2D1D84F37AA294
UPTD SD NEGERI 7 KABANGKA,40400792,SD,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,19,1,66,6,6,1,1,27,01 May 2026 18:22:07,19BF594B58E992678CFA
UPTD SD NEGERI 8 KABANGKA,40400779,SD,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,16,2,155,8,6,0,1,81,31 Mar 2026 07:29:58,EE9282DDE91E8DBA5982
UPTD SD NEGERI 9 KABANGKA,40400824,SD,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,12,2,88,6,6,0,1,20,02 Mar 2026 10:50:44,2A1FE02D7143F0CB5049
UPTD SMP NEGERI 1 KABANGKA,40400672,SMP,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,38,15,265,10,12,2,1,40,30 Apr 2026 08:21:29,BB450B0DBEC307A2A04A
UPTD SMP NEGERI 2 KABANGKA,40400693,SMP,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,17,1,102,6,8,3,1,12,20 Apr 2026 06:26:01,C291A355F5BE5CE3524B
UPTD SMP NEGERI SATU ATAP 1 KABANGKA,69905499,SMP,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,38,4,88,4,4,1,1,24,05 Apr 2026 21:57:55,BF82E1A79CBFE3C18C07
SMA NEGERI 1 KABANGKA,40400765,SMA,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,38,10,374,12,15,3,1,23,14 Apr 2026 06:47:43,62C6EB37BA2DC3227A02
SMKN 4 MUNA,40403159,SMK,Negeri,Kec. Kabangka,200219,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,39,11,182,13,12,4,1,32,22 Apr 2026 15:15:49,95C7B343227E508D14AC
