nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SD NEGERI 1 KABAWO,40400860,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,15,5,120,6,6,1,1,26,03 Mar 2026 13:59:43,CAF00230899C009BDF67
UPTD SD NEGERI 10 KABAWO,40400825,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,12,4,103,6,6,0,1,11,13 Apr 2026 11:11:40,BC281C6398ECA8CB05F2
UPTD SD NEGERI 11 KABAWO,40400810,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,12,2,76,6,6,0,0,30,28 Apr 2026 18:02:49,C0FBF73A041F7F7D32D8
UPTD SD NEGERI 12 KABAWO,40400966,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,10,3,99,6,6,0,0,9,04 Mar 2026 11:42:36,5593D5B655398EDBE7E1
UPTD SD NEGERI 13 KABAWO,40400949,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,12,2,116,7,7,0,0,8,05 Mar 2026 21:40:01,67F8AD03C76A8569FF68
UPTD SD NEGERI 14 KABAWO,40400989,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,11,3,22,6,6,0,1,27,28 Apr 2026 17:58:22,82FBC5316901B7C4208F
UPTD SD NEGERI 15 KABAWO,40400997,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,14,4,87,6,6,0,1,21,29 Apr 2026 08:52:56,FB26246A0E248DFDA3E5
UPTD SD NEGERI 16 KABAWO,60726711,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,12,2,73,6,6,1,1,27,07 Mar 2026 20:19:17,8BA2710A0B940EC143DB
UPTD SD NEGERI 2 KABAWO,40400891,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,13,3,158,8,10,0,1,9,24 Apr 2026 09:47:53,6577ED652B9C02519B16
UPTD SD NEGERI 3 KABAWO,40400653,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,15,2,171,10,9,0,1,1,10 Apr 2026 22:30:40,812203DEF1E92171B5AE
UPTD SD NEGERI 4 KABAWO,40400641,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,10,6,57,6,6,0,1,17,02 May 2026 05:10:15,38B5D3BDF3DD26E48E58
UPTD SD NEGERI 5 KABAWO,40400575,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,17,3,166,10,9,0,1,55,06 Mar 2026 23:12:07,6F610DC5E822C5ED1A7C
UPTD SD NEGERI 6 KABAWO,40400579,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,16,4,70,6,6,0,1,33,30 Apr 2026 07:54:18,6338579D6E4DF5CA1313
UPTD SD NEGERI 7 KABAWO,40400736,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,12,3,146,7,7,0,0,29,23 Apr 2026 11:00:38,1F04D6D59CEE50E9AD8A
UPTD SD NEGERI 8 KABAWO,40400793,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,15,3,118,7,7,0,1,17,07 Apr 2026 20:36:27,A9FB134B8BE00355D1B2
UPTD SD NEGERI 9 KABAWO,40400780,SD,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,12,2,118,6,7,0,1,15,20 Apr 2026 10:14:46,852C4D522AD27D2EEB40
UPTD SMP NEGERI 1 KABAWO,40400679,SMP,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,71,15,472,17,20,2,1,40,29 Apr 2026 23:15:04,66541BCCB0D16227087D
UPTD SMP NEGERI 2 KABAWO,40400713,SMP,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,46,6,150,6,9,1,1,20,11 Apr 2026 09:07:21,1DD8DA1F92CB8E55AE3E
UPTD SMP NEGERI SATU ATAP 1 KABAWO,40403984,SMP,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,14,3,108,6,6,1,1,17,30 Apr 2026 21:01:03,EAEECBD40B3FCC71724C
UPTD SMP NEGERI SATU ATAP 2 KABAWO,40405136,SMP,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,36,15,104,5,6,2,1,16,29 Mar 2026 20:17:58,A4D270AE2A94CC4B5F7D
SMA NEGERI 1 KABAWO,40400766,SMA,Negeri,Kec. Kabawo,200203,Kab. Muna,200200,Prov. Sulawesi Tenggara,200000,56,16,631,19,23,4,1,29,30 Apr 2026 19:16:09,A149712AE86ED0C1761F
