nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 1 GOGAGOMAN,40100458,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,19,2,271,12,12,0,1,62,30 Apr 2026 07:55:55,7D763D7B8980AA02F2B2
SD NEGERI 1 KOTAMOBAGU,40100435,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,19,1,344,12,13,0,0,26,13 Apr 2026 11:42:50,147999C034087C542F97
SD NEGERI 1 MOGOLAING,40100491,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,20,2,314,12,11,0,1,10,14 Apr 2026 07:32:25,A5D0C72E5DD463879834
SD NEGERI 1 MOLINOW,40100492,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,18,2,302,12,12,1,1,12,06 Apr 2026 05:56:35,9490E257E33D51D352A3
SD NEGERI 1 MONGKONAI,40100495,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,10,2,164,7,7,0,1,20,29 Apr 2026 12:15:01,5E8315515EC631E351E7
SD NEGERI 2 GOGAGOMAN,40100732,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,15,3,210,10,11,0,1,14,23 Apr 2026 07:09:40,C84DC536D8EC3CD27A1E
SD NEGERI 2 KOTAMOBAGU,40100708,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,17,2,235,10,10,0,1,23,04 Apr 2026 21:50:36,0DC858FE3A4745671F90
SD NEGERI 2 MOGOLAING,40100608,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,16,0,204,12,12,0,1,29,07 Apr 2026 08:41:14,3C7573AC630639F0A22B
SD NEGERI 2 MOLINOW,40100612,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,10,1,108,6,7,0,1,27,22 Apr 2026 07:47:03,5E29AD68AD4FE22A9639
SD NEGERI 2 MONGKONAI,40100617,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,11,1,66,6,6,0,1,17,04 Apr 2026 10:01:13,3F2340D8A8FCB67AB09B
SD NEGERI 3 GOGAGOMAN,40100211,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,20,1,355,12,16,0,1,11,15 Apr 2026 10:45:00,53ADBB30A3EC544BD37B
SD NEGERI 3 KOTAMOBAGU,40100219,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,14,1,190,9,11,0,1,11,29 Apr 2026 13:48:37,684D494EC2C16D642576
SD NEGERI 3 MOGOLAING,40100207,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,11,2,61,6,7,0,1,53,14 Apr 2026 21:26:04,D1F41BB79602220630D0
SD NEGERI 3 MONGKONAI,40100192,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,9,2,104,6,7,0,1,20,30 Apr 2026 22:02:17,2E535870F4AD0DB7D959
SD NEGERI 4 MOGOLAING,40100263,SD,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,10,1,51,6,6,0,1,13,29 Apr 2026 07:52:16,0E3509557C865E5A4FF4
SD ALAM INSAN MULIA KOTAMOBAGU,70012609,SD,Swasta,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,5,1,37,6,5,0,1,11,22 Apr 2026 11:45:21,144C104E543B836256AA
SD COKROAMINOTO MOLINOW,40100522,SD,Swasta,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,8,0,97,6,6,1,0,32,22 Apr 2026 09:20:48,64F9093CBC97C5A39630
SD ISLAM GREEN MONTESSORI,70048474,SD,Swasta,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,3,2,24,4,4,0,0,7,07 Apr 2026 19:41:58,3ABA1BB53C4ED6683DF1
SD KATOLIK CHRISTI REGIS,40100574,SD,Swasta,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,18,4,425,15,15,1,1,38,15 Apr 2026 07:26:57,64731B42BE64FCA75EE9
SD KRISTEN II KOTAMOBAGU,40100584,SD,Swasta,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,8,1,84,6,6,0,1,15,23 Apr 2026 08:20:41,FD4A8868CFD701C82DC4
SD KRISTEN X KOTAMOBAGU,40100547,SD,Swasta,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,9,0,159,6,6,0,1,26,02 Mar 2026 09:58:02,DAB0119458594950DB6C
SMP NEGERI 1 KOTAMOBAGU,40100426,SMP,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,43,6,608,21,32,3,1,27,27 Apr 2026 13:14:45,EFC0F8C83F6C9D712703
SMP NEGERI 3 KOTAMOBAGU,40100274,SMP,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,17,2,163,7,13,2,1,22,23 Apr 2026 10:53:19,ECF2FDE0B91B26F00C7A
SMP NEGERI 4 KOTAMOBAGU,40100283,SMP,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,56,4,931,30,34,2,1,40,16 Apr 2026 09:36:48,D8891D5A4476F8836F28
SMP Cokroaminoto Kotamobagu,40100422,SMP,Swasta,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,10,3,163,6,10,3,1,46,30 Apr 2026 20:22:00,8A9FACF77E3980060EE5
SMP KRISTEN KOTAMOBAGU,40100407,SMP,Swasta,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,16,4,274,10,14,2,1,27,30 Apr 2026 13:15:35,128418358FD1AD1E63ED
SMP Maarif Sainstren Kotamobagu,69989734,SMP,Swasta,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,1,2,4,2,3,0,1,5,02 Feb 2026 21:27:37,46D56FDE0955A6967E7C
SMP Muhammadiyah Kotamobagu,69888728,SMP,Swasta,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,7,2,43,3,4,1,1,53,28 Apr 2026 06:48:40,99B953D9E393AC3DEEF9
SMA NEGERI 2 KOTAMOBAGU,40100323,SMA,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,52,11,1138,33,29,5,1,33,29 Apr 2026 14:16:19,45C01D9D30E7A222B305
SMA NEGERI 3 KOTAMOBAGU,40100343,SMA,Negeri,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,59,13,985,28,26,2,1,95,30 Apr 2026 08:46:02,D8D38B0F457FFA02B441
SMAS ISLAM BAITUL HIKMAH KOTAMOBAGU,40100310,SMA,Swasta,Kec. Kotamobagu Barat,176301,Kota Kotamobagu,176300,Prov. Sulawesi Utara,170000,5,2,35,4,6,2,1,34,28 Apr 2026 08:05:58,B33870DCF9EDE4DA993B
