nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SD NEGERI 01 ANDIANG,10301407,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,8,3,78,6,7,0,1,16,06 Apr 2026 08:52:17,BA7447C8948849C39E9D
UPTD SD NEGERI 01 KURAI,10301311,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,8,0,51,6,5,0,1,16,18 Apr 2026 13:14:24,3B18CCACBF837EAFDD52
UPTD SD NEGERI 01 LIMBANANG,10301309,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,6,3,73,6,6,0,0,32,11 Apr 2026 11:10:30,1D5661CCCC5A23432893
UPTD SD NEGERI 01 SULIKI,10301397,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,10,4,102,7,7,0,1,19,06 Apr 2026 13:21:26,F7765AA848458F620C42
UPTD SD NEGERI 01 SUNGAI RIMBANG,10301365,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,7,2,47,6,7,0,1,15,28 Apr 2026 08:56:58,B6B5DDB1C99C9E134421
UPTD SD NEGERI 01 TANJUANG BUNGO,10301390,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,6,1,19,6,6,0,0,11,26 Apr 2026 21:42:34,58E3E7CD746BAB4EDEC9
UPTD SD NEGERI 02 ANDIANG,10301126,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,8,2,48,6,6,0,1,6,06 Mar 2026 23:54:24,C195EBEDAF35EDB7E5F8
UPTD SD NEGERI 02 KURAI,10301409,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,6,2,46,6,7,0,0,11,16 Apr 2026 10:07:08,A33D11CE6DC30471A9B9
UPTD SD NEGERI 02 LIMBANANG,10304309,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,7,3,72,6,6,0,1,17,13 Apr 2026 10:43:45,9A07DDB0AF5B814E0CFF
UPTD SD NEGERI 02 SULIKI,10301367,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,10,1,22,6,6,0,0,18,03 Mar 2026 09:21:12,1AC1D635C0B0E6FB4ED5
UPTD SD NEGERI 02 SUNGAI RIMBANG,10301098,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,6,1,37,6,6,0,1,10,11 Apr 2026 23:29:08,5171243585E08C1D27BF
UPTD SD NEGERI 02 TANJUANG BUNGO,10301361,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,7,1,65,6,6,0,1,22,25 Apr 2026 11:09:24,9E21C4D70B783A6FDAB2
UPTD SD NEGERI 03 ANDIANG,10301168,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,9,1,52,6,7,1,1,23,09 Apr 2026 09:56:13,E14F404B818632429BC5
UPTD SD NEGERI 03 KURAI,10301380,SD,Negeri,Kec. Suliki,080305,Kab. Lima Puluh Kota,080300,Prov. Sumatera Barat,080000,8,2,41,6,7,0,1,11,03 Mar 2026 10:42:56,7D635F84031218F83E6D
