nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPT SDN 01 ATAR,10302525,SD,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,8,3,100,6,6,0,1,9,02 Apr 2026 06:06:37,A1700CF4DF9607CADF56
UPT SDN 02 PADANG GANTING,10302547,SD,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,9,4,117,6,6,0,1,33,27 Apr 2026 08:33:44,9F826097B26FBD34116C
UPT SDN 03 PADANG GANTING,10302707,SD,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,8,4,68,6,6,0,1,18,25 Apr 2026 12:36:02,2A0F95F006168989AF02
UPT SDN 04 PADANG GANTING,10302622,SD,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,7,2,94,6,6,0,0,27,30 Apr 2026 10:45:30,7820379813C5A07A26E9
UPT SDN 05 PADANG GANTING,10302630,SD,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,8,2,103,6,6,0,1,66,18 Apr 2026 08:34:26,0CCCB8E8799F01853501
UPT SDN 06 PADANG GANTING,10302614,SD,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,7,4,80,6,6,0,1,14,30 Apr 2026 11:57:55,A1131488127893687E66
UPT SDN 07 ATAR,10302653,SD,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,7,3,107,6,6,0,1,21,29 Apr 2026 10:03:17,8E1611D9223C4ED44DAB
UPT SDN 08 ATAR,10302320,SD,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,7,2,84,6,6,0,1,10,15 Apr 2026 08:32:25,C03373AE114301BC1A70
UPT SDN 09 PADANG GANTING,10302376,SD,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,11,2,184,8,10,0,1,24,02 Apr 2026 09:46:39,2CC294D91A0FA8EECFA3
UPT SDN 10 ATAR,10302357,SD,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,8,2,101,6,7,0,1,13,30 Apr 2026 20:25:14,E92AD50975706543A228
UPT SDN 11 PADANG GANTING,10302285,SD,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,6,3,83,6,7,0,1,8,12 Apr 2026 10:17:43,6DFC35234CCF3466C146
UPT SDN 12 ATAR,10302261,SD,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,7,3,51,6,6,0,1,16,22 Apr 2026 08:56:10,5ED4B842598A8E49BD0E
UPT SDN 13 PADANG GANTING,10302312,SD,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,8,3,80,6,6,0,1,12,13 Apr 2026 11:27:03,85AF000B0580D9884CFF
UPT SMPN 1 PADANG GANTING,10302387,SMP,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,20,5,263,10,13,3,1,21,30 Apr 2026 08:37:52,4F38CF41B2302AB128B5
UPT SMPN 2 PADANG GANTING,10302426,SMP,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,13,3,152,6,9,1,1,21,20 Apr 2026 16:52:10,AE1147B7A5A8CDAF6D10
SMAN 1 PADANG GANTING,10302492,SMA,Negeri,Kec. Padang Ganting,080707,Kab. Tanah Datar,080700,Prov. Sumatera Barat,080000,27,6,378,12,13,4,1,26,22 Apr 2026 07:54:35,BB2EDD3FB4C80CAD0661
