nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN 1 PAGAR GUNUNG,10601423,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,16,1,50,6,7,0,1,9,29 Apr 2026 11:16:55,5A54FE99458F3348C056
SDN 10 PAGAR GUNUNG,10643869,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,10,3,105,6,6,0,1,22,10 Apr 2026 22:09:09,C1273F601A031951E56C
SDN 11 PAGAR GUNUNG,10601101,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,15,2,17,6,6,0,1,13,28 Apr 2026 08:55:48,8EC2966CB279A8C0C463
SDN 12 PAGAR GUNUNG,10601484,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,14,2,27,6,6,0,1,20,03 Mar 2026 11:01:30,A090F6E05B1ECE3FF50F
SDN 13 PAGAR GUNUNG,10601185,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,15,3,24,6,6,0,0,25,07 Apr 2026 10:25:00,BD12E25F6D27246444C8
SDN 14 PAGAR GUNUNG,10601091,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,10,4,45,6,6,0,0,30,09 Apr 2026 01:49:40,EE3C9E239708D5F0F7B2
SDN 15 PAGAR GUNUNG,10601470,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,12,4,41,6,6,0,3,19,26 Apr 2026 10:49:45,4D260E5193BC3855DA1C
SDN 2 PAGAR GUNUNG,10601409,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,13,1,50,6,6,0,1,23,11 Apr 2026 08:19:21,03FE83F21B52BF6F1FD0
SDN 3 PAGAR GUNUNG,10643861,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,12,3,33,6,6,0,1,17,03 Apr 2026 09:21:51,D45B0724464B0FE52458
SDN 4 PAGAR GUNUNG,10643863,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,13,4,96,6,7,0,1,59,27 Apr 2026 08:45:32,9647B95D902AAA8F7082
SDN 5 PAGAR GUNUNG,10601131,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,17,2,120,6,6,0,1,20,15 Apr 2026 20:36:40,3CAD3C6DD7FEB5FCBBAD
SDN 6 PAGAR GUNUNG,10601184,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,13,1,41,6,6,0,1,21,02 Apr 2026 12:33:10,A1047797CF494696A8A8
SDN 7 PAGAR GUNUNG,10601478,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,12,3,55,6,6,0,1,16,12 Mar 2026 07:48:01,E57C119E4BBF568154BC
SDN 8 PAGAR GUNUNG,10601130,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,13,3,85,6,6,0,1,30,04 Apr 2026 22:38:05,ACA7684B26B5D511F7AC
SDN 9 PAGAR GUNUNG,10601128,SD,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,12,5,63,6,6,0,1,39,30 Apr 2026 10:20:22,BC40C7C2373753252D1B
SMPN 1 PAGAR GUNUNG,10645039,SMP,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,33,6,291,11,15,1,1,59,26 Apr 2026 14:05:41,087AEFF30D6D2F735F51
SMPN 2 PAGAR GUNUNG,10645040,SMP,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,14,7,149,6,5,2,1,28,09 Apr 2026 11:08:49,6C16019BE5E12B38BC2F
SMAN 1 PAGAR GUNUNG,10644268,SMA,Negeri,Kec. Pagar Gunung,110528,Kab. Lahat,110500,Prov. Sumatera Selatan,110000,30,9,341,11,15,3,1,20,26 Apr 2026 20:32:02,6415220C61108F412241
