nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD N AIR PUTIH ILIR,10605268,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,8,5,150,7,6,0,1,1,09 Apr 2026 08:43:14,10752CAABC36DDCC53C8
SDN 1 AIR PUTIH ULU,10605073,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,9,4,188,7,6,1,1,1,08 Apr 2026 22:26:28,9670F8211047A697B357
SDN 1 BANGUN HARJA,10605077,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,7,5,72,6,6,1,1,3,06 Feb 2026 13:49:54,EFE3511D576BDD045211
SDN 1 BUKIT INDAH,10605082,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,9,3,185,7,8,0,1,6,30 Apr 2026 08:21:26,8BF27A17C72531ED35CB
SDN 1 SIDO RAHAYU,10605128,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,19,4,355,15,13,0,1,14,25 Mar 2026 17:00:32,9281EE4422828455EBC4
SDN 1 SUKA MAJU,10605132,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,8,3,116,6,6,0,1,10,13 Apr 2026 18:51:37,C850AD382650AC960A9A
SDN 1 TANJUNG KEPUTRAN,10605137,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,7,4,130,6,6,0,1,7,16 Apr 2026 11:19:10,BE2A3BD2974D28DA3672
SDN 2 AIR PUTIH ULU,10605146,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,9,4,197,7,7,0,1,12,17 Apr 2026 08:39:26,84226A1BFB75C5E56337
SDN 2 BANGUN HARJA,10605150,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,7,4,92,6,6,0,0,13,24 Apr 2026 10:38:15,A5C3800DD24E14FEF3CC
SDN 2 BUKIT INDAH,10605155,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,15,4,280,12,12,0,1,29,22 Apr 2026 15:10:41,FD53792115E94AE84622
SDN 2 SUKAMAJU,10605199,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,8,3,91,6,6,1,2,8,04 Mar 2026 15:07:12,410155D38E9AD0555761
SDN 2 TANJUNG KEPUTRAN,10605206,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,7,3,123,6,6,1,1,11,04 Mar 2026 08:51:08,D6AF99DD441885A0891C
SDN CINTA KARYA,10605291,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,7,4,118,6,6,0,1,17,21 Apr 2026 10:23:35,75D8DDF9343CCEE55002
SDN SIALANG AGUNG,10605378,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,9,4,83,6,6,0,1,6,20 Apr 2026 23:51:51,E196BACF2FA88DFC68EA
SDN SIDO MUKTI,10605379,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,12,5,269,10,10,1,1,11,28 Apr 2026 08:50:16,4F7072ACE721CFF74FC9
SDN SUKADAMAI,10606496,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,18,5,321,14,14,0,1,14,06 Apr 2026 20:04:56,C6CDB9420CA431264B01
SDN SUKAJAYA,10608962,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,14,2,232,10,9,1,1,18,11 Mar 2026 08:49:53,AA53D7FE4CC81910591E
SDN SUKAMAKMUR,10605397,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,12,3,202,9,9,0,1,6,05 Mar 2026 11:46:41,4DE7B13220FB436BC0BD
SDN SUMBER REJEKI,10605196,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,7,3,153,6,7,0,1,6,07 Apr 2026 20:18:09,DB2951E2D35AD011678B
SDN WARGA MULYA,10605439,SD,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,7,2,150,6,6,0,1,1,23 Apr 2026 08:41:09,4C38D1519801B68973D2
SMP NEGERI 3 PLAKAT TINGGI,10646196,SMP,Negeri,Kec. Plakat Tinggi,110116,Kab. Musi Banyuasin,110100,Prov. Sumatera Selatan,110000,10,6,92,5,5,1,1,8,20 Apr 2026 14:25:21,BF7D240BB6D870938B17
