nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN 1 ABS PERIGI,10602076,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,9,1,73,6,6,1,2,22,04 Mar 2026 19:21:40,79668412B7C1B4A48A6F
SDN 1 AIR LESING,10645282,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,10,1,173,9,5,0,1,22,24 Apr 2026 07:56:12,4A4339BFFED73C1E6E02
SDN 1 BANPRES,10602097,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,7,1,129,6,6,0,1,15,21 Apr 2026 20:37:19,4906C8FA81F8CBE087FC
SDN 1 PETUNANG,10602279,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,8,1,105,6,6,0,1,21,04 Apr 2026 20:28:24,DDA8E2A485F19D8EF1BB
SDN 2 ABS PERIGI,10644769,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,9,0,136,6,6,0,1,14,06 Apr 2026 19:15:53,224617CE7C058C622126
SDN 2 AIR LESING,10602319,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,9,1,119,6,7,0,1,23,06 Mar 2026 06:33:17,43E5A8D274C02E593D19
SDN 2 BANPRES,10602316,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,9,0,82,6,6,0,0,23,10 Apr 2026 22:12:28,206568298BE62954C50C
SDN 2 PETUNANG,10602192,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,7,2,179,7,6,0,1,45,18 Apr 2026 10:04:35,A288E1DD5BBA4FAEA016
SDN AIR BELITI,10601919,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,16,3,250,11,12,1,1,21,16 Apr 2026 11:40:13,320203D4248D14229E42
SDN BAMASCO BOR 12,10645141,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,8,0,140,6,6,0,1,14,04 Mar 2026 09:23:31,D1907DD93CE0F82D9672
SDN BANDUNG BANPRES,10601924,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,8,1,89,6,6,0,1,27,08 Apr 2026 10:02:15,4601A7565145667DBE40
SDN JAYA TUNGGAL,10644768,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,9,1,101,6,6,0,1,29,22 Apr 2026 08:25:04,8351D5CBD1828A24453D
SDN KM 7 BAMASCO,10601836,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,9,1,153,8,7,0,1,23,29 Apr 2026 09:28:06,F52DF469E4F3793B2F85
SDN KM 9 BAMASCO,10645142,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,8,1,105,6,6,0,1,13,25 Apr 2026 08:26:37,E6AB188D0118F2522929
SDN LUBUK RUMBAI,10601873,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,7,2,117,6,6,0,1,19,11 Apr 2026 05:50:47,8F47F6323C6BF8316764
SDN REMAYU,10644766,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,11,0,148,8,12,0,1,14,07 Apr 2026 15:12:36,CA493BE5D185261950BC
SDN SERIANG,10644764,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,7,0,30,6,6,0,0,8,07 Apr 2026 16:18:53,F119540B767ED655722E
SDN SIMPANG SEMAMBANG,10644834,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,8,0,127,6,6,1,1,8,07 Apr 2026 07:52:11,915918141D20EEF29C4A
SDN SUBAN JAYA,10602013,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,7,1,118,6,6,0,1,14,04 Apr 2026 09:19:32,924175CB5D49ECBA4FD1
SDN SUKAMULYA,10644767,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,8,0,106,6,8,0,1,27,13 Apr 2026 12:11:55,138E5DEC3A27FD396AEA
SDN SUNGAI KRAMBIL,69955420,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,8,0,130,6,6,0,1,21,19 Apr 2026 10:39:51,332FEF762327FF2683C0
SDN TALANG UBI,10602042,SD,Negeri,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,10,1,101,6,5,0,1,22,07 Apr 2026 18:55:06,93500029FB5BC5C4E8E8
SD IT Al - Ishlah,70005277,SD,Swasta,Kec. Tuah Negeri,110621,Kab. Musi Rawas,110600,Prov. Sumatera Selatan,110000,10,3,149,6,3,0,1,21,07 Apr 2026 08:31:00,803234042A05F22056C7
