nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 01 LUBUK KELIAT,10605818,SD,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,11,2,165,8,9,0,1,9,15 Apr 2026 10:51:15,4C9442D5AE099CD58385
SD NEGERI 02 LUBUK KELIAT,10605634,SD,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,16,1,219,10,7,0,1,11,24 Apr 2026 10:15:19,7260D1309AFD97630A8F
SD NEGERI 03 LUBUK KELIAT,10605808,SD,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,11,3,190,8,8,0,1,13,10 Apr 2026 16:23:12,030EC2954D24BB607AA3
SD NEGERI 04 LUBUK KELIAT,10605798,SD,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,8,2,78,6,6,0,0,25,20 Apr 2026 21:26:34,0C523481135950A220A4
SD NEGERI 05 LUBUK KELIAT,10605901,SD,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,8,1,146,6,7,0,1,18,05 Apr 2026 17:01:38,8163261A48D9471C7BE4
SD NEGERI 06 LUBUK KELIAT,10605812,SD,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,13,2,188,9,6,0,1,14,06 Mar 2026 21:32:50,55F717A87577A8443ADD
SD NEGERI 07 LUBUK KELIAT,10605872,SD,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,9,0,71,6,5,1,1,39,23 Apr 2026 08:27:48,7A304F371FD96FA82A0D
SD NEGERI 08 LUBUK KELIAT,10605645,SD,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,11,1,59,6,6,0,1,12,18 Apr 2026 18:58:16,A0D1C4C2E9F9EF02EB60
SD NEGERI 09 LUBUK KELIAT,10605695,SD,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,10,1,147,6,8,0,1,17,02 May 2026 08:30:47,414423493DB211848FE3
SD NEGERI 10 LUBUK KELIAT,10605706,SD,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,15,3,183,9,9,0,1,9,27 Apr 2026 11:48:04,B147BDC571B3CFF0E0B8
SD NEGERI 11 LUBUK KELIAT,10648162,SD,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,13,1,132,6,6,0,1,69,01 May 2026 23:27:14,AADA55D2B69555379D6B
SD CINTA MANIS,10605907,SD,Swasta,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,15,3,248,11,10,0,0,17,06 Mar 2026 08:23:29,751F997309599908F0A6
SMP NEGERI 1 LUBUK KELIAT,10644391,SMP,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,14,4,101,5,5,2,1,18,01 May 2026 11:16:29,B88F1873CDB034F87BEF
SMP NEGERI 2 LUBUK KELIAT,10643770,SMP,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,10,3,77,3,3,2,1,9,16 Mar 2026 13:18:07,7C6742F40072B36F0437
SMP AL YUZZAKYAH,69989636,SMP,Swasta,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,7,2,18,3,3,0,0,14,16 Apr 2026 22:49:11,0ED1A23C816164E51520
SMP CINTA MANIS,10643773,SMP,Swasta,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,21,2,458,12,12,3,1,23,28 Apr 2026 12:53:42,732893D7430FCE234001
SMA NEGERI 1 LUBUK KELIAT,10643842,SMA,Negeri,Kec. Lubuk Keliat,111008,Kab. Ogan Ilir,111000,Prov. Sumatera Selatan,110000,25,3,267,9,11,4,1,54,11 Mar 2026 21:17:49,DC649A9210DD5C5AA554
