nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 01 CAHYA NEGERI,10606084,SD,Negeri,Kec. Semendawai Suku III,110810,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,9,1,106,6,12,0,0,8,12 Feb 2026 11:33:37,F45E93B93CB5BADE0707
SD NEGERI 01 GUNUNG SUGIH,10606091,SD,Negeri,Kec. Semendawai Suku III,110810,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,13,1,184,8,9,0,1,10,06 Mar 2026 09:21:30,8065DB0FEE9AA0AB1157
SD NEGERI 01 JAYA MULYA,10606097,SD,Negeri,Kec. Semendawai Suku III,110810,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,17,2,226,10,12,0,2,24,30 Apr 2026 10:54:09,113D5B1B304EECB87D38
SD NEGERI 01 KARANG ENDAH,10606102,SD,Negeri,Kec. Semendawai Suku III,110810,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,9,3,80,6,6,0,1,10,15 Apr 2026 10:53:51,30698E09924758AE577E
SD NEGERI 01 KARANG NONGKO,10606382,SD,Negeri,Kec. Semendawai Suku III,110810,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,9,3,77,6,3,0,1,16,25 Apr 2026 07:26:10,5E0E8AA04B610925F162
SD NEGERI 01 KERUJON,10606114,SD,Negeri,Kec. Semendawai Suku III,110810,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,8,3,57,6,6,0,0,7,10 Feb 2026 23:21:18,E3F9040D692047DC831F
SD NEGERI 01 MARGO DADI,10606394,SD,Negeri,Kec. Semendawai Suku III,110810,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,15,4,220,11,9,0,1,33,12 Apr 2026 10:32:24,1ED728369DFAF1F152FA
SD NEGERI 01 MARGO REJO,10606118,SD,Negeri,Kec. Semendawai Suku III,110810,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,9,1,60,6,6,0,0,18,10 Mar 2026 11:14:16,B5D2FC179DE829E3710D
SD NEGERI 01 SRI WANGI,10606158,SD,Negeri,Kec. Semendawai Suku III,110810,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,9,2,101,6,6,0,1,16,06 Apr 2026 11:19:35,5121D6370B463C7688BA
SD NEGERI 01 SUKA MULYA,10606160,SD,Negeri,Kec. Semendawai Suku III,110810,Kab. Ogan Komering Ulu Timur,110800,Prov. Sumatera Selatan,110000,8,2,117,6,6,0,0,23,02 May 2026 14:34:22,B647BB9BEF20BF155BDA
