nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 040515 TIGAJUMPA,10202180,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,8,2,140,6,7,0,1,20,17 Apr 2026 11:52:45,23B07E8243169D0940EB
SD NEGERI 040516 TIGAJUMPA,10202181,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,7,1,94,6,12,0,2,14,16 Apr 2026 08:03:49,0229FAC6BD63BA1A3087
SD NEGERI 040517 TIGAJUMPA,10202182,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,7,1,144,6,6,0,2,47,28 Apr 2026 09:33:16,A0511ADEAE04F3309159
SD NEGERI 040518 PERTUMBUKEN,10202174,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,8,2,86,6,7,0,1,1,15 Feb 2026 03:47:19,F2F66F8B087B549F9A15
SD NEGERI 040519 TANJUNG BARUS,10202173,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,9,2,101,6,10,0,1,12,06 Apr 2026 09:06:05,31FBB7298E985B6FEB51
SD NEGERI 040520 TANJUNG BARUS,10202172,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,6,2,64,6,6,0,1,23,22 Apr 2026 14:40:17,3101D16D59A0A79B7C64
SD NEGERI 040521 SINAMAN,10202164,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,8,0,91,6,16,0,1,24,20 Apr 2026 19:31:02,E2F13AC086F8B53242A8
SD NEGERI 040522 TAMBUNAN,10202165,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,8,1,142,6,6,0,1,18,30 Apr 2026 09:16:42,3D4B66185B616456B852
SD NEGERI 040523 SUKANALU,10202166,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,7,2,129,6,9,0,2,8,06 Apr 2026 11:13:52,5D8014D3240B5116CFBF
SD NEGERI 040525 PENAMPEN B,10202167,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,7,2,72,6,9,0,1,30,22 Apr 2026 08:22:33,7081BC440ACD525E2F0D
SD NEGERI 040526 BARUSJAHE,10259048,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,5,2,81,6,6,0,1,13,05 Mar 2026 11:04:58,8B5C7778F3DC84D2D44D
SD NEGERI 043946 SUKANALU,10202141,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,9,2,163,8,14,0,1,23,10 Apr 2026 09:55:10,6BD3558BA9B1CC2C1B9D
SD NEGERI 043947 TANJUNG BARUS,10202153,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,7,2,136,6,6,0,1,21,14 Apr 2026 09:56:36,9AD721D80C3FF324E964
SD NEGERI 044838 TANGKIDIK,10202161,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,9,1,53,6,6,0,1,12,14 Apr 2026 11:15:25,F42100EC1DD14F264C45
SD NEGERI 044839 BULANJAHE,10201897,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,6,2,106,6,6,0,1,10,10 Apr 2026 09:01:11,936164D678154DE281AA
SD NEGERI 044840 TALIMBARU,10201909,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,7,1,54,6,7,0,1,7,07 Apr 2026 09:12:50,8E3E466F7BBF3D5B8D8E
SD NEGERI 045964 BULUH BELANGKE,10201938,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,2,2,66,6,9,0,1,17,05 Mar 2026 10:35:45,BB7D392164B639246F88
SD NEGERI 046419 SERDANG,10201924,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,6,1,51,6,6,0,1,9,03 Mar 2026 19:27:27,A0DA39859090A59C247D
SD NEGERI 047170 BULAN JULU,10220343,SD,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,5,2,40,5,6,0,1,6,11 Apr 2026 12:15:54,63C5EC9CE8E9C0E90903
SD SWASTA ADVENT BARUS JULU,10202077,SD,Swasta,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,7,1,199,6,7,0,1,14,15 Apr 2026 09:12:05,2CD14F4C9DF1C7F54CE2
SMP NEGERI 1 BARUSJAHE,10201943,SMP,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,21,5,305,12,12,2,1,29,16 Apr 2026 09:32:09,967A53724ABEB83B0C89
SMP NEGERI 2 BARUSJAHE,10201978,SMP,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,14,4,106,5,11,2,1,14,06 Apr 2026 12:21:26,393422332076E73D63CA
SMP NEGERI 3 BARUSJAHE,10201966,SMP,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,13,2,131,6,10,2,1,31,02 May 2026 09:19:05,92D2D25FF020FD26E187
SMP NEGERI SATU ATAP 4 BARUSJAHE,10261156,SMP,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,10,1,52,3,6,2,1,14,21 Apr 2026 11:17:50,C1DE4A27AE269FAD4D40
SMP SWASTA ADVENT BARUS JULU,10202020,SMP,Swasta,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,7,1,85,4,6,1,1,22,10 Apr 2026 09:44:11,82A2E76951EC300DC01C
SMA NEGERI 1 BARUSJAHE,10201995,SMA,Negeri,Kec. Barusjahe,070313,Kab. Karo,070300,Prov. Sumatera Utara,070000,33,4,407,13,18,4,1,21,30 Apr 2026 14:36:06,22DCFEA414BDE4508569
