nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 125 TEBINGTINGGI,10208224,SD,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,3,109,6,9,0,1,14,06 Mar 2026 11:00:02,9DB0C16CBA2C75B2FAAC
SD NEGERI 126 GUNUNGBARINGIN,10208231,SD,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,14,1,191,10,10,0,1,13,28 Apr 2026 20:32:42,B57DAB3909623ED48B2E
SD NEGERI 127 PAGUR,10208232,SD,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,14,1,227,11,11,0,1,4,07 Feb 2026 10:02:12,CD76BEFE06C40DC531DB
SD NEGERI 128 SIRANGKAP,10208233,SD,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,25,1,456,21,11,0,1,46,02 May 2026 09:04:16,D4DF69CDFB9320BEE1F5
SD NEGERI 129 HUTARIMBARU,10208251,SD,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,8,2,158,7,8,0,1,14,24 Apr 2026 10:17:17,D23EF3DBBE506C1E209E
SD NEGERI 130 RANTO NATAS,10208382,SD,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,8,1,114,6,6,0,1,15,05 Apr 2026 07:13:57,5CE2302A3CF617B30063
SD NEGERI 131 TANJUNG,10208401,SD,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,17,1,242,12,12,0,1,12,17 Apr 2026 18:01:46,0BDE4CB72FCA161646EB
SD NEGERI 132 HUTATUA,10208001,SD,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,9,2,112,6,6,0,1,11,27 Feb 2026 22:39:05,C2011AAF7F60DD18F75A
SD NEGERI 133 PARMOMPANG,10208003,SD,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,13,1,131,7,7,1,1,30,09 Apr 2026 19:25:27,CB8FC3A93FB8D053CAA7
SD NEGERI 134 BANJAR LANCAT,10207955,SD,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,12,1,29,6,6,0,0,28,07 Mar 2026 18:31:44,34A099C75D9CE0933316
SDN 397 PADANG LARU,69728372,SD,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,1,112,6,6,0,1,17,02 May 2026 12:25:06,A8820E28A9A2A9719692
SMP NEGERI 1 PANYABUNGAN TIMUR,10259552,SMP,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,19,3,232,9,11,2,1,17,18 Apr 2026 09:10:51,DEB726B859C2B8AAA3A2
SMP NEGERI 2 SATU ATAP PANYABUNGAN TIMUR,10257683,SMP,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,12,1,120,6,6,1,1,60,30 Mar 2026 18:59:36,7D874839ECEE29AF4C54
SMAN 1 PANYABUNGAN TIMUR,10261718,SMA,Negeri,Kec. Panyabungan Timur,071511,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,21,4,200,7,9,2,1,37,23 Apr 2026 19:17:27,205A5DBAFD7A33F9CB8B
