nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD N 399 GUNUNG GODANG,69887364,SD,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,1,89,6,6,0,0,15,18 Apr 2026 10:06:53,27C8191900D3306F2585
SD NEGERI 308 HUTARAJA,10208349,SD,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,2,138,7,7,0,1,17,04 Apr 2026 13:49:07,F52242B4C8E64F35EC0D
SD NEGERI 309 MANISAK,10208350,SD,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,17,1,233,10,9,0,0,15,20 Apr 2026 13:34:17,A406BFA0116FC2796805
SD NEGERI 310 TANDIKEK,10208367,SD,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,21,2,280,12,8,0,0,30,06 Apr 2026 16:10:16,DA456970CAD983CE7919
SD NEGERI 311 SAMPURAN,10208368,SD,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,11,3,138,6,7,0,1,16,28 Apr 2026 09:12:35,DEE55842BE02A68C8D4D
SD NEGERI 312 MUARA BANGKO,10208371,SD,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,14,1,220,10,10,0,1,6,04 Mar 2026 12:56:21,52810C10839C7C2E41F2
SD NEGERI 313 RANTONALINJANG,10208376,SD,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,9,1,137,6,6,0,1,19,23 Apr 2026 09:33:34,A55FA5FD39C544A8FD33
SD NEGERI 314 SIMPANGNUNUR,10208378,SD,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,9,1,94,6,6,0,0,15,29 Apr 2026 14:05:14,EBE8CA406A7502D87425
SD NEGERI 315 SIMPANG TALAP,10207990,SD,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,13,1,157,7,7,0,0,11,28 Apr 2026 10:58:09,DD2DBC88B2028BA1FA71
SD NEGERI 316 RANTO PANJANG,10208246,SD,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,18,1,246,12,12,1,1,21,24 Apr 2026 01:19:24,40CDF856B08E5B5DD5D6
SD NEGERI 317 GONTING,10208130,SD,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,0,121,6,6,0,0,12,05 Mar 2026 15:11:58,D05BC36017F102FF0469
SD NEGERI 318 BANGUN SAROHA,10208183,SD,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,2,138,6,8,0,1,20,23 Apr 2026 14:30:08,B39A7CF50EAC374C86CC
SD NEGERI 319 PADANGSILOJONGAN,10257598,SD,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,9,0,131,6,6,0,0,10,05 Mar 2026 15:05:37,17932BF360A269DE68DE
SMP NEGERI 1 RANTO BAEK,10208117,SMP,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,19,5,251,9,11,2,1,24,25 Apr 2026 21:50:08,4EB89CAB2DCFDD3C16A0
SMP NEGERI 2 RANTO BAEK,10260756,SMP,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,19,3,250,9,9,0,1,30,12 Mar 2026 12:36:38,D1376DBFD232F2EBBDCF
SMP NEGERI 3 RANTO BAEK SATAP,10260763,SMP,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,13,0,35,3,4,0,0,18,04 Apr 2026 14:34:41,BB501D0AB456C556AD4A
SMA NEGERI 1 RANTO BAEK,69899996,SMA,Negeri,Kec. Ranto Baek,071518,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,34,6,331,12,13,4,1,63,29 Apr 2026 11:54:12,7EB7F50DE824C1236710
