nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD NEGERI 001 SIHEPENG,10208189,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,19,1,237,12,15,0,1,16,29 Apr 2026 19:39:30,7CB9125A0B1CC71A6213
SD NEGERI 003 SIHEPENG,10208191,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,17,2,143,7,8,0,1,11,04 Apr 2026 16:41:40,2CE3EB1CF3A2EE125D43
SD NEGERI 004 SIHEPENG,10208028,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,16,2,247,12,12,0,3,24,29 Apr 2026 11:56:09,8A9DCE7E23058DA5FF02
SD NEGERI 005 SIBARUANG,10208192,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,12,0,77,6,6,0,0,26,02 May 2026 17:11:46,CD44C3E48BB1AF21B416
SD NEGERI 008 HUTARAJA,10208193,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,8,2,110,6,6,0,0,34,11 Apr 2026 00:42:46,14FEE91F64B690B63DE7
SD NEGERI 009 HUTARAJA,10259614,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,12,1,116,6,6,0,0,31,20 Apr 2026 18:59:30,A9C67CF5E2EEBD52F92F
SD NEGERI 010 HUTAPULI,10208194,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,21,1,257,13,14,0,0,52,24 Apr 2026 19:47:53,475EB7032DC54B47893C
SD NEGERI 011 HUTAPULI,10207947,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,2,134,7,8,0,1,23,10 Apr 2026 01:05:37,EBBDC559F256C936E8F7
SD NEGERI 012 SIMANGAMBAT,10208195,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,21,3,209,12,10,0,1,13,18 Apr 2026 22:55:14,EC4BC8D7D597A24FBA51
SD NEGERI 013 SIMANGAMBAT,10208196,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,13,4,64,6,6,0,2,9,23 Apr 2026 09:09:24,85BC20CEA58CAAEE901F
SD NEGERI 014 SIMANGAMBAT,10207948,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,15,5,236,12,12,0,1,41,02 May 2026 18:35:32,22AF5FA2A39B1389EE97
SD NEGERI 015 SIMANGAMBAT,10208363,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,16,4,278,12,12,0,1,23,20 Apr 2026 21:47:17,396FF5B092BEBFFC6A8A
SD NEGERI 016 SIMANGAMBAT,10208141,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,11,2,91,6,6,1,1,13,30 Apr 2026 08:04:05,DB88B116F944A14D71AA
SD NEGERI 019 BONANDOLOK,10208198,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,15,2,244,11,8,0,1,12,12 Apr 2026 05:37:44,2B74B751A5753059DA53
SD NEGERI 020 BONANDOLOK,10257861,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,9,3,104,6,10,0,1,10,02 Apr 2026 20:58:04,97A3DDB5BB8AD159515E
SD NEGERI 021 SIABU,10208201,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,3,139,6,6,1,1,23,11 Apr 2026 11:07:37,4C4A5D3B091BB2765CC8
SD NEGERI 022 SIABU,10208188,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,13,1,162,6,6,0,1,19,25 Apr 2026 11:49:03,8D1C0C16B040F0313C83
SD NEGERI 023 SIABU,10207992,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,11,2,117,6,7,0,1,13,21 Apr 2026 11:59:56,05DA460727C5E4A1556F
SD NEGERI 024 SIMANINGGIR,10259613,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,9,2,98,6,6,0,1,15,17 Apr 2026 09:31:04,35F387D515C30B8E79B4
SD NEGERI 025 HURABA,10208199,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,17,4,249,11,14,0,0,50,30 Apr 2026 11:08:19,B7862D5CDA16822BF6F9
SD NEGERI 026 HURABA,10208200,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,17,2,179,10,9,0,1,14,21 Apr 2026 11:47:48,C1F605B804D8B70271BA
SD NEGERI 027 HURABA,10208142,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,14,1,97,7,7,0,0,36,29 Apr 2026 11:04:33,7C09DE7A4FF818B32CC4
SD NEGERI 029 LUMBANDOLOK,10208218,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,11,1,85,6,6,0,0,12,25 Apr 2026 06:18:33,73C4BE459CEA804AC264
SD NEGERI 030 LUMBANDOLOK,10257862,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,11,2,152,8,8,0,0,9,06 Mar 2026 09:26:12,4E0EDC7CF27058D00DFC
SD NEGERI 031 AEKMUAL,10207945,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,3,55,6,6,0,1,29,16 Apr 2026 21:42:22,DF5FCE052ECCD5E70CC2
SD NEGERI 032 SINONOAN,10208219,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,1,102,6,6,0,0,8,29 Apr 2026 12:34:11,922AF3FA8F72E3A9FCDE
SD NEGERI 033 HUTABARINGIN,10259536,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,12,2,112,6,6,0,1,10,24 Apr 2026 23:05:42,5E9EAC3DD20C8457B2F1
SD NEGERI 034 PINTU PADANG JULU,10208241,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,14,2,160,8,8,0,1,7,02 Mar 2026 21:48:55,489E20B4B3F6B31A13F2
SD NEGERI 035 PINTUPADANG JAE,10208361,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,9,3,125,6,6,0,0,19,21 Apr 2026 17:22:01,3F924E78BE35723371D6
SD NEGERI 036 TANGGABOSI,10208238,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,1,123,6,6,0,1,28,14 Apr 2026 23:09:08,B6313E7C11C7B285797F
SD NEGERI 038 TANGGABOSI,10259537,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,9,3,101,6,6,0,1,1,06 Apr 2026 09:59:52,D3EBD3F590473BC9CDCC
SD NEGERI 040 HUTAGODANG MUDA,10207993,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,14,3,168,9,10,0,1,24,08 Apr 2026 09:35:53,955EBFDCAFB807237DAF
SD NEGERI 041 TANJUNG SIALANG,10207980,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,1,109,6,7,1,1,13,07 Apr 2026 10:18:42,1774BD98B44E8DD625D9
SD NEGERI 042 AEK GARUT,10208040,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,13,1,80,6,6,0,1,9,23 Apr 2026 19:26:45,70E6A40FFECA60B44D7C
SD NEGERI 043 MUARA BATANG ANGKOLA,10258003,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,13,1,132,7,7,0,0,24,23 Apr 2026 18:09:19,B535B10523633F6A094F
SD NEGERI NO 028 LUMBANDOLOK,10208217,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,2,131,7,8,0,1,11,14 Apr 2026 23:21:15,CF89748F79D1C0A51851
SD NEGERI NO. 002 SIHEPENG,10208190,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,16,1,222,12,12,0,1,37,05 Apr 2026 07:16:02,10A469C7649FC4E033C6
SD NEGERI NO. 018 LUMBANPINASA,10208197,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,8,2,77,6,6,0,1,1,07 Apr 2026 08:27:35,B6B127CDB386BB0B4771
SD NEGERI No. 037 TANGGABOSI,10208239,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,14,2,170,10,10,0,1,17,27 Apr 2026 18:01:23,3F2E07047CE1FD36DC3D
SD NEGERI NO. 039 HUTAGODANGMUDA,10208240,SD,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,20,2,322,14,11,0,3,16,02 May 2026 08:55:00,D7A31BEB73723EDC2177
SD 007 NU SIBARUANG,10259610,SD,Swasta,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,8,1,41,6,6,0,0,59,06 Apr 2026 11:54:55,7CDE2DAF8BE2361245FF
SD 017 MUHAMMADIYAH SIMANGAMBAT,10208213,SD,Swasta,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,10,2,185,6,6,0,1,20,21 Apr 2026 10:41:56,84A08ED8089728C13C2A
SD MUHAMMADIYAH SIBARUANG,10208212,SD,Swasta,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,7,2,54,6,6,0,0,22,17 Apr 2026 15:25:23,F9071B2300BE282BB2BB
SMP N 7 Siabu Satu Atap,60729017,SMP,Negeri,Kec. Siabu,071508,Kab. Mandailing Natal,071500,Prov. Sumatera Utara,070000,13,3,53,3,3,0,0,29,20 Apr 2026 22:00:22,8AEE990FD04F44D8B9B1
