nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN 101530 PADANG MANJOIR,10220771,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,7,2,78,6,7,0,1,7,16 Mar 2026 11:47:56,9D07E48EA1F4397468BD
SDN 101540 MANGALEDANG LAMA,10206874,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,7,1,119,6,7,1,1,39,02 May 2026 09:18:48,19B040D43BD4D268607D
SDN 101560 SIHAMBENG,10206872,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,6,1,39,6,6,0,1,8,15 Apr 2026 10:47:20,9843B9DF926B065E4383
SDN 101570 HOTANG SASA,10206871,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,9,1,125,6,6,0,1,23,01 Apr 2026 22:39:20,E2D405AB7949E905E93E
SDN 101580 AEK HARUAYA,10206870,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,15,2,196,11,7,0,1,38,15 Apr 2026 09:37:26,9E7C3FBA77ACA7D7D73B
SDN 101590 PURBABANGUN,10206869,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,14,2,211,11,8,0,1,36,21 Apr 2026 11:26:00,B97463DDEB3016FEDED3
SDN 101600 PURBABANGUN,10206868,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,9,2,102,6,6,0,1,9,21 Apr 2026 11:39:56,650AD50E8DC155C37B6B
SDN 101610 PURBABANGUN,10206879,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,18,1,283,12,9,0,1,27,14 Apr 2026 11:10:08,932B89CAC19CA44FC34B
SDN 101620 GUNUNG MANAON,10206880,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,8,1,127,6,7,0,1,1,06 Apr 2026 12:30:52,3D0623245F0FE18383EF
SDN 101630 PORTIBI,10206881,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,15,2,275,12,9,0,0,25,15 Apr 2026 09:11:33,A2D103F3F2ED0C4ECED6
SDN 101640 PORTIBI,10206894,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,10,1,181,7,9,0,1,15,27 Apr 2026 09:45:00,96AE697B597970B187C3
SDN 101650 ALOBAN,10206893,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,11,1,98,6,13,0,1,15,16 Apr 2026 11:09:01,D77489E843446FA83090
SDN 101660 BAHAL,10206892,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,16,1,338,14,7,0,1,28,27 Apr 2026 22:24:48,B8D1CE6B05FD7962E71E
SDN 101670 AEK HARUAYA,10206891,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,10,1,158,8,10,0,1,25,29 Apr 2026 21:00:16,F7EC7EB7C07881D90F2C
SDN 101690 DOLOK PARDOMUAN,10206887,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,8,1,53,6,6,0,0,22,30 Apr 2026 15:27:22,161FBD55B599F6CBB10A
SDN 101700 SIPIROK BANGUN,10258386,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,9,0,84,6,6,0,1,25,21 Apr 2026 09:36:37,E144C31E9BEDFB653F5F
SDN 101710 NAPAHALAS,10206886,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,9,1,124,6,7,0,1,41,18 Apr 2026 10:41:13,B6C8611B6E697487299D
SDN 101720 MANGALEDANG,10206885,SD,Negeri,Kec. Portibi,072305,Kab. Padang Lawas utara,072300,Prov. Sumatera Utara,070000,9,1,116,6,6,0,1,34,12 Apr 2026 05:48:56,AB3E9DA22ED125D173BE
