nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SDN No. 101401 INGUL JAE,10259714,SD,Negeri,Kec. Tantom Angkola,071034,Kab. Tapanuli Selatan,071000,Prov. Sumatera Utara,070000,10,1,136,6,6,0,1,9,22 Apr 2026 12:06:25,894FE32D2D544497F63C
SDN No. 101402 TANJUNG MEDAN,10207339,SD,Negeri,Kec. Tantom Angkola,071034,Kab. Tapanuli Selatan,071000,Prov. Sumatera Utara,070000,10,4,155,6,7,0,1,27,30 Apr 2026 06:42:33,1D63810876B6D6A94461
SDN No. 101403 AEK UNCIM,10207332,SD,Negeri,Kec. Tantom Angkola,071034,Kab. Tapanuli Selatan,071000,Prov. Sumatera Utara,070000,10,3,67,6,6,0,0,9,28 Apr 2026 08:55:01,6BE41F3582EE5E8F258C
SDN No. 101404 AEK KAHOMBU,10207331,SD,Negeri,Kec. Tantom Angkola,071034,Kab. Tapanuli Selatan,071000,Prov. Sumatera Utara,070000,12,3,159,8,12,0,0,10,03 Mar 2026 13:05:42,4BB6F50268B0BB15FFA6
SDN No. 101405 PANABARI,10207637,SD,Negeri,Kec. Tantom Angkola,071034,Kab. Tapanuli Selatan,071000,Prov. Sumatera Utara,070000,9,3,118,7,7,0,1,48,01 May 2026 21:00:36,30F98AD1272D42A5C1B1
SDN No. 101406 PURBA TUA,10207636,SD,Negeri,Kec. Tantom Angkola,071034,Kab. Tapanuli Selatan,071000,Prov. Sumatera Utara,070000,11,3,150,6,8,0,1,34,01 May 2026 12:13:36,53FF5410B164B7AEDDE0
SDN No. 101407 SISOMA,10207635,SD,Negeri,Kec. Tantom Angkola,071034,Kab. Tapanuli Selatan,071000,Prov. Sumatera Utara,070000,10,3,116,6,6,0,1,17,07 Mar 2026 21:47:02,6D66F10589694459350F
SDN No. 101408 KOTA TUA,10207634,SD,Negeri,Kec. Tantom Angkola,071034,Kab. Tapanuli Selatan,071000,Prov. Sumatera Utara,070000,9,5,147,6,6,0,1,9,25 Apr 2026 11:00:44,39EA5D71A577862034C9
SDN No. 101409 HUTA RAJA,10207632,SD,Negeri,Kec. Tantom Angkola,071034,Kab. Tapanuli Selatan,071000,Prov. Sumatera Utara,070000,11,1,123,6,6,0,1,36,28 Apr 2026 12:47:16,D6E1C4360CF86FFC6B7A
SDN No. 101410 LUMBAN RATUS,10207628,SD,Negeri,Kec. Tantom Angkola,071034,Kab. Tapanuli Selatan,071000,Prov. Sumatera Utara,070000,9,2,119,6,6,0,1,8,17 Apr 2026 10:24:28,3E4664E182363697BB5E
