nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
SD N 174562 SIBISA,10212700,SD,Negeri,Kec. Ajibata,071618,Kab. Toba,071600,Prov. Sumatera Utara,070000,13,0,270,11,7,1,0,20,02 May 2026 11:08:41,DF7068DA2FD42CA7A29C
SD N 177075 MOTUNG,10212707,SD,Negeri,Kec. Ajibata,071618,Kab. Toba,071600,Prov. Sumatera Utara,070000,6,1,76,6,6,1,1,5,28 Jan 2026 09:48:30,44760B42F994F0885E81
SD N 178496 JANJI MARIA,10214743,SD,Negeri,Kec. Ajibata,071618,Kab. Toba,071600,Prov. Sumatera Utara,070000,5,1,37,6,6,0,1,15,04 Mar 2026 06:21:09,A137F1FBBADBDEB8188A
SD N NO.173670 AJIBATA,10212692,SD,Negeri,Kec. Ajibata,071618,Kab. Toba,071600,Prov. Sumatera Utara,070000,9,1,40,6,6,0,1,24,27 Apr 2026 11:19:00,FD1383FE586C123BF711
SD N NO.173671 SIGAPITON,10212693,SD,Negeri,Kec. Ajibata,071618,Kab. Toba,071600,Prov. Sumatera Utara,070000,7,2,68,6,6,0,0,14,14 Apr 2026 11:16:26,01B9DFD7B1EC620C35B2
SD N NO.173672 HORSIK,10212694,SD,Negeri,Kec. Ajibata,071618,Kab. Toba,071600,Prov. Sumatera Utara,070000,5,0,23,6,6,0,0,4,03 Mar 2026 19:27:35,E7FFF1E4F7E24BFE1B03
SD N NO.173673 SIRUNGKUNGON,10212695,SD,Negeri,Kec. Ajibata,071618,Kab. Toba,071600,Prov. Sumatera Utara,070000,6,2,61,6,5,0,0,10,05 Mar 2026 10:26:18,09898EBF1F0B28FBF609
SD N NO.174561 AJIBATA,10212699,SD,Negeri,Kec. Ajibata,071618,Kab. Toba,071600,Prov. Sumatera Utara,070000,7,2,65,6,6,0,1,12,14 Apr 2026 21:24:20,9757C7DA1FF74497488F
SD NEGERI 173669 MOTUNG,10212691,SD,Negeri,Kec. Ajibata,071618,Kab. Toba,071600,Prov. Sumatera Utara,070000,6,1,128,6,6,0,1,5,04 Mar 2026 23:44:57,1FE332954DD341E65882
SD SWASTA KRISTEN YOBEL AJIBATA,69734150,SD,Swasta,Kec. Ajibata,071618,Kab. Toba,071600,Prov. Sumatera Utara,070000,5,3,40,6,6,0,1,28,16 Apr 2026 11:30:24,C5DA2FF1716F708BFC63
SMP NEGERI 1 AJIBATA,10208512,SMP,Negeri,Kec. Ajibata,071618,Kab. Toba,071600,Prov. Sumatera Utara,070000,14,4,132,6,11,1,1,26,22 Apr 2026 12:23:32,6DA772A0C7E7039DCEA9
SMP NEGERI 2 SATU ATAP SIBISA,10212713,SMP,Negeri,Kec. Ajibata,071618,Kab. Toba,071600,Prov. Sumatera Utara,070000,14,3,201,8,8,2,1,9,08 Apr 2026 12:00:58,3AD278675304F8193BAD
SMAN 1 AJIBATA,69774815,SMA,Negeri,Kec. Ajibata,071618,Kab. Toba,071600,Prov. Sumatera Utara,070000,13,5,208,7,7,2,1,24,29 Apr 2026 11:09:17,033A5D96DAA2D22C379A
