nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPT SD NEGERI 060954,10209830,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,26,2,490,21,11,0,3,20,13 Apr 2026 14:15:16,A13CBE402AFB3FDB8A2D
UPT SD NEGERI 060955,10209829,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,16,4,261,12,9,0,1,18,27 Apr 2026 14:00:57,E1F27E1A277AE7551C61
UPT SD NEGERI 064006,10209783,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,20,5,353,14,6,0,1,18,15 Apr 2026 08:24:49,591C01C04A4A29642CF2
UPT SD NEGERI 064007,10220830,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,19,4,329,14,15,0,1,19,24 Apr 2026 11:10:06,E216312D46E024A0780D
UPT SD NEGERI 064009,10209793,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,20,2,396,16,9,0,1,30,13 Mar 2026 08:16:54,1690B5E3B15404143D37
UPT SD NEGERI 064994,10209845,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,15,3,297,11,6,0,1,20,13 Apr 2026 11:00:27,C3B094B183F4768044E0
UPT SD NEGERI 064996,10209844,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,22,2,507,18,10,0,1,25,31 Mar 2026 08:30:30,F764E7741A79B431F8A6
UPT SD NEGERI 064998,10220831,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,21,4,357,15,8,0,1,23,30 Apr 2026 09:03:55,E622E215BD2422383CBE
UPT SD NEGERI 064999,10220832,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,19,3,358,14,15,1,1,30,22 Apr 2026 08:57:02,E7481898EE10EDCEE090
UPT SD NEGERI 065000,10220833,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,16,3,304,13,6,0,1,18,07 Mar 2026 00:17:59,F2735546135E630FC312
UPT SD NEGERI 065004,10220834,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,27,2,503,20,10,0,0,27,28 Apr 2026 07:30:25,1DE5E4D2E73F3B861F91
UPT SD NEGERI 066039,10220835,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,13,4,184,8,8,0,1,38,27 Apr 2026 08:28:03,D716D5FBCF66683D7442
UPT SD NEGERI 066040,10220836,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,19,1,333,15,6,0,1,27,09 Apr 2026 10:38:40,34503878596E720A04A5
UPT SD NEGERI 066429,10220852,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,20,2,467,16,7,0,1,21,20 Apr 2026 13:44:59,1CC78C57868B2D752117
UPT SD NEGERI 066430,10220837,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,16,4,311,13,9,0,1,13,15 Apr 2026 11:35:52,0F3C903F34FD98FC66B3
UPT SD NEGERI 066435,10257431,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,18,3,422,15,6,0,1,19,06 Mar 2026 09:16:31,93F4EE9BDE35BBF1EBE8
UPT SD NEGERI 066658,10220839,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,25,2,423,17,8,0,1,40,04 Mar 2026 10:26:22,16A5DC81AB9B6E97B8F1
UPT SD NEGERI 066659,10220840,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,14,5,255,11,6,0,1,32,08 Apr 2026 09:22:53,6CF5FF728CE00D3EB1DB
UPT SD NEGERI 067248,10220841,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,17,2,334,12,6,0,1,24,20 Apr 2026 09:47:28,4DFA847BC13DEAB9840F
UPT SD NEGERI 067249,10220843,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,23,4,423,16,7,0,1,15,13 Apr 2026 13:44:16,89B62F0434DD22EE30EB
UPT SD NEGERI 067256,10220844,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,24,1,495,18,8,0,1,6,12 Mar 2026 12:24:10,E2A10EEB2F2D98194C18
UPT SD NEGERI 067260,10220845,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,18,1,214,12,6,0,1,19,13 Apr 2026 08:24:54,64CB43DDB0A06E8D4C21
UPT SD NEGERI 067261,10220846,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,16,3,302,12,6,0,1,17,16 Mar 2026 09:42:53,03905C6AA04CFF5FC6D7
UPT SD NEGERI 067262,10220847,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,19,1,340,14,6,0,1,25,28 Apr 2026 07:28:19,75B5711C3FBE0079FA15
UPT SD NEGERI 067263,10220848,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,9,3,215,8,6,1,1,9,06 Mar 2026 10:23:30,D7D30B6FCA3765016D19
UPT SD NEGERI 067264,10220849,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,21,2,443,18,8,0,1,30,24 Apr 2026 08:28:46,6A37D8608109CE912F88
UPT SD NEGERI 067773,10220850,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,8,3,166,6,6,0,1,53,03 Mar 2026 20:13:53,95609B492B6529921A5D
UPT SD NEGERI 067777,10220851,SD,Negeri,Kec. Medan Marelan,076020,Kota Medan,076000,Prov. Sumatera Utara,070000,10,1,190,8,9,0,1,27,20 Apr 2026 12:04:46,968801C17FE3949E0F2D
