nama_sekolah,npsn,bentuk_pendidikan,status_sekolah,kecamatan,kode_kecamatan,kabupaten,kode_kabupaten,provinsi,kode_provinsi,jumlah_guru_ptk,jumlah_pegawai,jumlah_peserta_didik,jumlah_rombel,jumlah_ruang_kelas,jumlah_lab,jumlah_perpustakaan,jumlah_kirim_sinkron,sinkron_terakhir,sekolah_id_enkrip
UPTD SD NEGERI 122353,10211933,SD,Negeri,Kec. Siantar Utara,076304,Kota Pematangsiantar,076300,Prov. Sumatera Utara,070000,25,4,320,15,20,0,1,29,30 Apr 2026 09:56:19,088C075E4628BD1DA6FE
UPTD SD NEGERI 122355,10211931,SD,Negeri,Kec. Siantar Utara,076304,Kota Pematangsiantar,076300,Prov. Sumatera Utara,070000,9,3,104,6,12,0,1,28,02 May 2026 09:13:26,52E9A271CA8E179F2B91
UPTD SD NEGERI 122357,10211929,SD,Negeri,Kec. Siantar Utara,076304,Kota Pematangsiantar,076300,Prov. Sumatera Utara,070000,23,4,308,13,20,0,1,50,01 May 2026 05:42:06,1C5DCFA4FE39AC046F66
UPTD SD NEGERI 122365,10211960,SD,Negeri,Kec. Siantar Utara,076304,Kota Pematangsiantar,076300,Prov. Sumatera Utara,070000,17,2,243,12,16,0,1,24,07 Apr 2026 11:56:28,4D7C8C5E0EC5A03BEF09
UPTD SD NEGERI 122380,10211906,SD,Negeri,Kec. Siantar Utara,076304,Kota Pematangsiantar,076300,Prov. Sumatera Utara,070000,14,2,140,8,8,0,2,20,10 Apr 2026 19:39:22,4BBF1D96061BDD34B714
UPTD SD NEGERI 122381,10211905,SD,Negeri,Kec. Siantar Utara,076304,Kota Pematangsiantar,076300,Prov. Sumatera Utara,070000,10,3,107,6,7,0,1,12,02 Feb 2026 21:43:08,D933051EFD8E37E2E3DA
UPTD SD NEGERI 122383,10211903,SD,Negeri,Kec. Siantar Utara,076304,Kota Pematangsiantar,076300,Prov. Sumatera Utara,070000,12,2,237,9,10,0,1,23,28 Apr 2026 13:49:46,0A39B5ADFC2C853098AD
UPTD SD NEGERI 124392,10211912,SD,Negeri,Kec. Siantar Utara,076304,Kota Pematangsiantar,076300,Prov. Sumatera Utara,070000,10,2,100,6,6,0,1,28,17 Apr 2026 23:45:43,3379B73F97E275A2C94D
UPTD SD NEGERI 124395,10211748,SD,Negeri,Kec. Siantar Utara,076304,Kota Pematangsiantar,076300,Prov. Sumatera Utara,070000,9,1,91,6,7,0,1,18,08 Apr 2026 07:53:39,526B4E5F1BA8E107F8E0
UPTD SD NEGERI 124400,10211726,SD,Negeri,Kec. Siantar Utara,076304,Kota Pematangsiantar,076300,Prov. Sumatera Utara,070000,18,4,228,11,12,0,1,32,21 Apr 2026 20:02:40,4744309039D4B6AB0070
UPTD SD NEGERI 125549,10211738,SD,Negeri,Kec. Siantar Utara,076304,Kota Pematangsiantar,076300,Prov. Sumatera Utara,070000,19,2,294,13,15,0,1,24,09 Apr 2026 20:33:10,F3EEB72D4F9672BA8505
